,https://roic.ai/company/WD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,49172000,88761000,121834000,152350000,256770000,319039000,360772000,468198000,575276000,711857000,725246000,817219000,1083707000,1259178000
2,COGS,- -,- -,- -,- -,109037000,133667000,149374000,184590000,227491000,289277000,297303000,346168000,- -,603487000
3,Gross Profit,49172000,88761000,121834000,152350000,147733000,185372000,211398000,283608000,347785000,422580000,427943000,471051000,1083707000,655691000
4,Gross Profit Ratio,1.0000,1.0000,1.0000,1.0000,0.5754,0.5810,0.5860,0.6057,0.6046,0.5936,0.5901,0.5764,1.0000,0.5207
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,17008000,32177000,42459000,51162000,23420000,21432000,23998000,27443000,30036000,34025000,42503000,50763000,50876000,60441000
7,Selling and Marketing Exp.,- -,- -,- -,- -,2755000,3873000,3693000,4599000,5607000,7819000,7951000,8534000,- -,12526000
8,"Selling, General and Administrative Exp.",17008000,32177000,42459000,51162000,26175000,25305000,27691000,32042000,35643000,41844000,50454000,59297000,60015000,72967000
9,Other Expenses,15453000,26296000,37899000,43704000,64139000,89537000,89484000,106282000,116510000,137330000,154509000,167044000,9567000,222685000
10,Operating Expenses,32461000,58473000,80358000,94866000,90314000,114842000,117175000,138324000,152153000,179174000,204963000,226341000,69582000,295652000
11,COGS and Expenses,32461000,58473000,80358000,94866000,199351000,248509000,266549000,322914000,379644000,468451000,502266000,572509000,69582000,899139000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),2679000,1684000,1334000,823000,1649000,3743000,10311000,9918000,9851000,9745000,10130000,14359000,-8550000,7981000
14,Depreciation and Amortization,6759000,12917000,16959000,22514000,53925000,75955000,80138000,98173000,111427000,131246000,142134000,152472000,169011000,210284000
15,EBITDA,23470000,54127000,58435000,79998000,111344000,146485000,174361000,242990000,306645000,373945000,365611000,397325000,499277000,570455000
16,EBITDA ratio,0.4773,0.6098,0.4796,0.5251,0.4336,0.4591,0.4833,0.5190,0.5330,0.5253,0.5041,0.4862,0.4607,0.4530
17,Operating Income,14032000,28604000,40142000,56661000,55770000,66787000,83912000,135366000,185781000,233661000,212850000,230351000,330266000,352058000
18,Operating Income ratio,0.2854,0.3223,0.3295,0.3719,0.2172,0.2093,0.2326,0.2891,0.3229,0.3282,0.2935,0.2819,0.3048,0.2796
