,https://roic.ai/company/TECK,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,469000000,542200000,698800000,702300000,688000000,695400000,622100000,1206000000,2379000000,2187000000,2410000000,3428000000,4415000000,6538909599,6371039825,6903836814,7674000000,9339000000,11514000000,10343000000,9382000000,8599000000,8259000000,9300000000,12048000000,12564000000,11934000000,8948000000,13481000000
2,COGS,- -,301400000,357300000,457300000,475900000,487600000,501900000,451400000,833000000,1751000000,1805000000,1887000000,2029000000,2135000000,2714352283,3300228424,4009227780,4940000000,5784000000,6637000000,7277000000,6956000000,7071000000,6980000000,6904000000,7419000000,7943000000,8594000000,7615000000,8400000000
3,Gross Profit,- -,167600000,184900000,241500000,226400000,200400000,193500000,170700000,373000000,628000000,382000000,523000000,1399000000,2280000000,3824557316,3070811401,2894609034,2734000000,3555000000,4877000000,3066000000,2426000000,1528000000,1279000000,2396000000,4629000000,4621000000,3340000000,1333000000,5081000000
4,Gross Profit Ratio,- -,0.3574,0.3410,0.3456,0.3224,0.2913,0.2783,0.2744,0.3093,0.2640,0.1747,0.2170,0.4081,0.5164,0.5849,0.4820,0.4193,0.3563,0.3807,0.4236,0.2964,0.2586,0.1777,0.1549,0.2576,0.3842,0.3678,0.2799,0.1490,0.3769
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15000000,21000000,17000000,19000000,18000000,20000000,47000000,30000000,55000000,35000000,67000000,97000000,129000000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-146000000,170000000,151000000,131000000,121000000,270000000,241000000,201000000,165000000,179000000,299000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-146000000,170000000,151000000,131000000,121000000,270000000,241000000,201000000,165000000,179000000,299000000
9,Other Expenses,- -,78400000,91900000,125500000,140500000,146500000,140900000,141100000,202000000,358000000,305000000,321000000,399000000,446000000,263280522,332704340,1499514327,221000000,319000000,761000000,190000000,350000000,369000000,555000000,221000000,252000000,510000000,677000000,651000000,133000000
10,Operating Expenses,- -,78400000,91900000,125500000,140500000,146500000,140900000,141100000,202000000,358000000,305000000,321000000,399000000,446000000,263280522,332704340,1499514327,236000000,340000000,632000000,379000000,519000000,520000000,723000000,521000000,548000000,746000000,909000000,927000000,561000000
11,COGS and Expenses,- -,379800000,449200000,582800000,616400000,634100000,642800000,592500000,1035000000,2109000000,2110000000,2208000000,2428000000,2581000000,2977632805,3632932764,5508742107,5176000000,6124000000,7269000000,7656000000,7475000000,7591000000,7703000000,7425000000,7967000000,8689000000,9503000000,8542000000,8961000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8000000,6000000,113000000,135000000,13000000,4000000,5000000,16000000,17000000,- -,48000000,10000000,5000000
