,https://roic.ai/company/LXP-PC,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,25900000,26000000,28100000,31675355,43569000,65117000,77300000,80005000,82862000,100619000,120520000,151225000,197132000,207391000,431747000,441231000,376621000,342855000,326914000,344879000,398440000,424372000,430839000,429496000,391641000,395339000,325969000,330448000,343997000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,257462000,235262000,62361000,222089000,236467000,218510000,222853000,213403000,223162000,210866000,42018000,203506000,224460000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,441231000,119159000,107593000,264553000,122790000,161973000,205862000,207986000,216093000,168479000,184473000,283951000,126942000,119537000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1.0000,0.3164,0.3138,0.8092,0.3560,0.4065,0.4851,0.4827,0.5031,0.4302,0.4666,0.8711,0.3842,0.3475
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,800000,- -,2700000,3125100,3920000,4518000,4687000,4902000,4952000,5741000,10043000,13939000,17612000,35530000,39389000,- -,- -,- -,- -,23956000,28973000,28255000,29276000,31104000,34158000,31662000,30785000,30371000,35458000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",800000,- -,2700000,3125100,3920000,4518000,4687000,4902000,4952000,5741000,10043000,13939000,17612000,35530000,39389000,112702000,23586000,22487000,22211000,23956000,28973000,28255000,29276000,31104000,34158000,31662000,30785000,30371000,35458000
9,Other Expenses,-10200000,-9500000,-9600000,9576841,12298000,17486000,20856000,20514000,21588000,- -,- -,- -,- -,- -,- -,239899000,- -,- -,162284000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,-9400000,-9500000,-6900000,12701941,16218000,22004000,25543000,25416000,26540000,- -,- -,- -,- -,- -,- -,352601000,23586000,22487000,184495000,23956000,28973000,28255000,29276000,31104000,34158000,31662000,30785000,30371000,35458000
11,COGS and Expenses,-9400000,-9500000,-6900000,12701941,16218000,22004000,25543000,25416000,26540000,31473000,50827000,49381000,94400000,112855000,259933000,352601000,281048000,257749000,246856000,246045000,265440000,246765000,252129000,244507000,257320000,242528000,72803000,233877000,259918000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10726000,24410000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,163628000,156063000,131629000,123115000,107515000,98803000,91271000,97303000,89739000,88032000,77883000,79880000,65095000,55201000,46708000
14,Depreciation and Amortization,6200000,6300000,6300000,8246594,11484000,16070000,18991000,19010000,19952000,23375000,29572000,41710000,73034000,84734000,253535000,248928000,185208000,172301000,168288000,171969000,183833000,167289000,167186000,170038000,177561000,172088000,154085000,168023000,183249000
15,EBITDA,10700000,11800000,9700000,13712418,20077000,31807000,40338000,40962000,38014000,53970000,63221000,85336000,105579000,92249000,497388000,416464000,109063000,264012000,195396000,452029000,279993000,358805000,369196000,355133000,342944000,481111000,500469000,408110000,613898000
16,EBITDA ratio,0.4131,0.4538,0.3452,0.4329,0.4608,0.4885,0.5218,0.5120,0.4588,0.5364,0.5246,0.5643,0.5356,0.4448,1.1520,0.9439,0.2896,0.7700,0.5977,1.3107,0.7027,0.8455,0.8569,0.8269,0.8757,1.2170,1.5353,1.2350,1.7846
