,https://roic.ai/company/CNGT,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,7500,826370,2220760,2329900,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,7500,792170,2040280,2150400,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,34200,180480,179500,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0414,0.0813,0.0770,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,180000,- -,- -,- -,- -,10000,70000,642260,51790040,449420,866480,2293900,96161,559892
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",183938,- -,- -,- -,- -,5779,68176,642263,51755987,449424,866475,1238116,1536992,559892
9,Other Expenses,- -,- -,- -,- -,-320000,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,183938,- -,- -,- -,-320000,5779,68176,642263,51755987,449424,866475,1238116,1536992,559892
11,COGS and Expenses,370000,- -,- -,- -,-320000,10000,80000,642260,65288840,5199370,2906760,4444300,1695943,559892
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45893,88471,87037,87036
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,-18930,4238149,35209,-891280,253206,464812,760576
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15802,8806,52413,- -
15,EBITDA,-370000,- -,- -,- -,320000,-10000,-90000,-680130,-60688491,-13152071,-2686978,-3413848,-1643530,-472856
16,EBITDA ratio,-Infinity,- -,- -,- -,Infinity,-Infinity,-Infinity,-Infinity,-8091.7988,-15.9155,-1.2099,-1.4652,-Infinity,-Infinity
17,Operating Income,-209075,- -,- -,- -,320000,-5779,-68176,-642263,-62531164,-415224,-686000,-2114398,-1695943,-646928
18,Operating Income ratio,-Infinity,- -,- -,- -,Infinity,-Infinity,-Infinity,-Infinity,-8337.4885,-0.5025,-0.3089,-0.9075,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),-160925,- -,- -,- -,- -,-4221,-21824,-18937,-2395476,-12792986,-1125500,-1561462,-986557,-1743425
20,Income Before Tax,-370000,- -,- -,- -,320000,-10000,-90000,-661200,-64926640,-13208210,-1811500,-3675860,-2682500,-2390353
21,Income Before Tax Ratio,-Infinity,- -,- -,- -,Infinity,-Infinity,-Infinity,-Infinity,-8656.8853,-15.9834,-0.8157,-1.5777,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-370000,- -,- -,- -,320000,-10000,-90000,-661200,-64926640,-13187280,-1811500,-3675860,-2682500,-2390353
