,https://roic.ai/company/IRIX,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,8800000,12400000,18100000,- -,23600000,33437000,27275000,30634000,- -,31699000,37029000,35904000,55532000,- -,48528000,43212000,33159000,33859000,38273000,- -,42814000,46158000,41593000,42600000,43447000,- -,36347000
2,COGS,2700000,4700000,7200000,- -,9600000,13745000,14205000,17046000,- -,17628000,18854000,17099000,31248000,- -,28849000,22939000,16869000,17513000,19686000,- -,21409000,25319000,26090000,25129000,25508000,- -,20789000
3,Gross Profit,6100000,7700000,10900000,- -,14000000,19692000,13070000,13588000,- -,14071000,18175000,18805000,24284000,- -,19679000,20273000,16290000,16346000,18587000,- -,21405000,20839000,15503000,17471000,17939000,- -,15558000
4,Gross Profit Ratio,0.6932,0.6210,0.6022,- -,0.5932,0.5889,0.4792,0.4436,- -,0.4439,0.4908,0.5238,0.4373,- -,0.4055,0.4692,0.4913,0.4828,0.4856,- -,0.5000,0.4515,0.3727,0.4101,0.4129,- -,0.4280
5,Research and Development Exp.,- -,1300000,1700000,- -,3100000,5265000,4808000,4315000,- -,4032000,4195000,5511000,5779000,- -,4009000,3609000,3913000,4385000,3684000,- -,4629000,5365000,5730000,4006000,3682000,- -,3282000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18059000,27930000,- -,17842000,-4400000,4259000,-2969000,-2697000,- -,6034000,7638000,8260000,9551000,8379000,- -,-5619000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9273000,7458000,7895000,7720000,- -,8155000,10281000,14541000,16782000,14852000,- -,12239000
8,"Selling, General and Administrative Exp.",4600000,5200000,6100000,- -,8400000,10747000,10251000,9454000,- -,10087000,12171000,18059000,27930000,- -,17842000,4873000,11717000,4926000,5023000,- -,14189000,17919000,22801000,26333000,23231000,- -,6620000
9,Other Expenses,100000,200000,400000,- -,700000,893000,- -,- -,- -,- -,- -,- -,14690000,- -,5364000,9273000,-1274000,7895000,7720000,- -,-0,- -,-140000,0,- -,- -,12239000
10,Operating Expenses,4700000,6700000,8200000,- -,12200000,16905000,15059000,13769000,- -,14119000,16366000,23570000,48399000,- -,27215000,17755000,14356000,17206000,16427000,- -,18818000,23284000,28391000,30339000,26913000,- -,22141000
11,COGS and Expenses,7400000,11400000,15400000,- -,21800000,30650000,29264000,30815000,- -,31747000,35220000,40669000,79647000,- -,56064000,40694000,31225000,34719000,36113000,- -,40227000,48603000,54481000,55468000,52421000,- -,42930000
12,Interest Income ,- -,- -,- -,- -,- -,552000,378000,151000,- -,159000,528000,733000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,644000,- -,507000,237000,296000,210000,371000,- -,1255000,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,100000,200000,400000,- -,700000,893000,859000,869000,- -,703000,435000,542000,3818000,- -,3221000,899000,410000,427000,490000,- -,420000,648000,858000,809000,688000,- -,504000
15,EBITDA,1600000,1900000,3700000,- -,3000000,4249000,-1376000,810000,- -,867000,2772000,-3490000,-17823000,- -,-3769000,4217000,3613000,1975000,3123000,- -,3007000,-2008000,-12137000,-11967000,-8077000,- -,-5799000
16,EBITDA ratio,0.1818,0.1532,0.2044,- -,0.1271,0.1271,-0.0504,0.0264,- -,0.0274,0.0749,-0.0972,-0.3210,- -,-0.0777,0.0976,0.1090,0.0583,0.0816,- -,0.0702,-0.0435,-0.2918,-0.2809,-0.1859,- -,-0.1595
17,Operating Income,1400000,1000000,2700000,- -,1800000,2787000,-1989000,-181000,- -,-48000,1809000,-4765000,-24115000,- -,-7536000,2518000,1934000,-860000,2633000,- -,2587000,-2565000,-12888000,-12868000,-8974000,- -,-6583000
18,Operating Income ratio,0.1591,0.0806,0.1492,- -,0.0763,0.0834,-0.0729,-0.0059,- -,-0.0015,0.0489,-0.1327,-0.4343,- -,-0.1553,0.0583,0.0583,-0.0254,0.0688,- -,0.0604,-0.0556,-0.3099,-0.3021,-0.2066,- -,-0.1811
19,Total Other Income Expenses (Gains),100000,700000,600000,- -,500000,569000,426000,122000,- -,212000,528000,733000,1856000,- -,293000,563000,504000,590000,-371000,- -,-1255000,-91000,-107000,92000,209000,- -,280000
20,Income Before Tax,1500000,1700000,3300000,- -,2300000,3356000,-1563000,-59000,- -,164000,2337000,-4032000,-22259000,- -,-7243000,3081000,2438000,-270000,2262000,- -,1332000,-2656000,-12995000,-12776000,-8765000,- -,-6303000
21,Income Before Tax Ratio,0.1705,0.1371,0.1823,- -,0.0975,0.1004,-0.0573,-0.0019,- -,0.0052,0.0631,-0.1123,-0.4008,- -,-0.1493,0.0713,0.0735,-0.0080,0.0591,- -,0.0311,-0.0575,-0.3124,-0.2999,-0.2017,- -,-0.1734
22,Income Tax expense (Gain),500000,700000,1200000,- -,600000,940000,-962000,-209000,- -,-207000,666000,-1721000,-13000,- -,-127000,496000,297000,-100000,31000,- -,-8706000,9057000,-128000,37000,48000,- -,26000
23,Net Income,1000000,1000000,2100000,- -,1700000,2416000,-1273000,150000,- -,371000,1671000,-2311000,-22272000,- -,-7370000,2585000,2610000,1438000,2231000,- -,10038000,-11713000,-12867000,-12813000,-8813000,- -,-6329000
24,Net Income ratio,0.1136,0.0806,0.1160,- -,0.0720,0.0723,-0.0467,0.0049,- -,0.0117,0.0451,-0.0644,-0.4011,- -,-0.1519,0.0598,0.0787,0.0425,0.0583,- -,0.2345,-0.2538,-0.3094,-0.3008,-0.2028,- -,-0.1741
25,EPS,0.78,0.16,0.33,- -,0.27,0.36,-0.19,0.02,- -,0.05,0.23,-0.75,-2.69,- -,-0.84,0.29,0.29,0.16,0.24,- -,1.01,-1.15,-1.11,-1.05,-0.64,- -,-0.46
26,EPS Diluted,0.23,0.16,0.31,- -,0.26,0.33,-0.19,0.02,- -,0.05,0.21,-0.75,-2.69,- -,-0.84,0.29,0.26,0.16,0.22,- -,0.97,-1.15,-1.11,-1.05,-0.64,- -,-0.46
27,Weighted Average Shares Outstanding,4285714,6478000,6406000,- -,6480000,6637000,6757000,6870000,- -,6933000,7405000,7713000,8293000,- -,8824000,8840000,8958000,8935000,9245000,- -,9892000,10173000,11555000,12199000,13707000,- -,13842000
28,Weighted Average Shares Outstanding Diluted,4285714,6478000,6755000,- -,6765000,7285000,6757000,6928000,- -,7072000,7880000,7713000,8293000,- -,8824000,8940000,10225000,8935000,10104000,- -,10357000,10173000,11555000,12199000,13707000,- -,13842000
29,SEC Link,- -,- -,- -,undefined,- -,- -,- -,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/1006045/000095013406006565/0000950134-06-006565-index.htm,https://www.sec.gov/Archives/edgar/data/1006045/000089161807000207/0000891618-07-000207-index.htm,https://www.sec.gov/Archives/edgar/data/1006045/000089161808000211/0000891618-08-000211-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1006045/000119312509070788/0001193125-09-070788-index.html,https://www.sec.gov/Archives/edgar/data/1006045/000119312510073378/0001193125-10-073378-index.html,https://www.sec.gov/Archives/edgar/data/1006045/000119312512143973/0001193125-12-143973-index.html,https://www.sec.gov/Archives/edgar/data/1006045/000119312513132256/0001193125-13-132256-index.html,https://www.sec.gov/Archives/edgar/data/1006045/000156459014001025/0001564590-14-001025-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1006045/000156459015002365/0001564590-15-002365-index.html,https://www.sec.gov/Archives/edgar/data/1006045/000156459017004462/0001564590-17-004462-index.html,https://www.sec.gov/Archives/edgar/data/1006045/000156459018005593/0001564590-18-005593-index.html,https://www.sec.gov/Archives/edgar/data/1006045/000156459019010196/0001564590-19-010196-index.html,https://www.sec.gov/Archives/edgar/data/1006045/000156459020010869/0001564590-20-010869-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1006045/000156459021014859/0001564590-21-014859-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,5000000,9900000,- -,5790000,10000000,4610000,9190000,- -,10540000,12655000,21050000,5810000,- -,5310000,9380000,10789000,11900000,13440000,- -,13303000,23747000,21707000,21194000,12653000,- -,11626000
32,Short-Term Investments,- -,- -,- -,- -,5090000,3000000,4490000,2360000,- -,5750000,8779000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,5000000,9900000,- -,10880000,13000000,9100000,11550000,- -,16290000,21434000,21050000,5810000,- -,5310000,9380000,10789000,11900000,13440000,- -,13303000,23747000,21707000,21194000,12653000,- -,11626000
