,https://roic.ai/company/SGLB,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1267,- -,- -,- -,- -,- -,- -,- -,- -,498504,797354,986499,1071439,548723,1234810,966422,641049,388574,402446,807488,1651765
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,107063,412396,554828,488627,158936,214004,228902,272372,270107,574301,591957,559965
3,Gross Profit,1267,- -,- -,- -,- -,- -,- -,- -,- -,391441,384958,431671,582812,389787,1020806,737520,368677,118467,-171855,215531,1091800
4,Gross Profit Ratio,1.0000,- -,- -,- -,- -,- -,- -,- -,- -,0.7852,0.4828,0.4376,0.5440,0.7104,0.8267,0.7631,0.5751,0.3049,-0.4270,0.2669,0.6610
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,219132,330554,92992,302043,493410,647994,351404,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,8984,801387,1296200,1117668,1230242,2006866,2387096,3158494,3783691,4866660,5212561,5172425,915530
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,503823
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,8984,801387,1296200,1117668,1230242,2006866,2387096,3158494,3783691,4866660,5212561,5172425,1419353
9,Other Expenses,7250,- -,5955,6504,6192,5753,6073,6457,- -,- -,- -,- -,- -,- -,- -,- -,180365,327201,299398,238813,7591867
10,Operating Expenses,7250,- -,5955,6504,6192,5753,6073,6457,8984,801387,1296200,1117668,1230242,2225998,2717650,3251486,4266099,5687271,6159953,5762642,9011220
11,COGS and Expenses,7250,5366,5955,6504,6192,5753,6073,6457,8984,908450,1708596,1672496,1718869,2384934,2931654,3480388,4538471,5957378,6734254,6354599,9571185
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1236,543,653,3464,1340,355,40107,35178,18760,1058,13866
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,1185,1200,17000,123,112,- -,- -,- -,- -,161852,3966,8685,13908,-11264
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,13939,21162,110179,100100,22649,169052,178841,196943,192374,192569,105175,94105
15,EBITDA,-5983,-5366,-5955,-6504,-6192,-5753,-6073,-6457,-8984,-391007,-888844,-575275,-634017,-3093431,-1527230,-2017993,-4218721,-5377823,-6119595,-5081056,-7301764
