,https://roic.ai/company/CANB,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,22897,2067,24095,16356,32570,103043,95145,122746,668603,2305503,1709669
2,COGS,14342,15405,404,2239,404,- -,- -,44466,405534,598584,278062
3,Gross Profit,8555,-13338,23691,14117,32166,- -,- -,78280,263069,1706919,1431607
4,Gross Profit Ratio,0.3736,-6.4528,0.9832,0.8631,0.9876,- -,- -,0.6377,0.3935,0.7404,0.8374
5,Research and Development Exp.,9045,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,1084315,1130374,1672008,328333,58758,1612341,424810,599753,3589054,5802875,4610708
7,Selling and Marketing Exp.,17181,- -,- -,- -,- -,- -,11901,28322,84316,333441,519922
8,"Selling, General and Administrative Exp.",1101496,1130374,1672008,328333,58758,1612341,436711,628075,3673370,6136316,5130630
9,Other Expenses,2559,266,- -,- -,- -,4960,7241,162991,5473,154720,665385
10,Operating Expenses,1113100,1130640,1672008,328333,58758,1617301,443952,791066,3678843,6291036,5796015
11,COGS and Expenses,1127442,1146045,1672412,330572,59162,1617301,443952,835532,4084377,6889620,6074077
12,Interest Income ,- -,- -,58,1,1,127,1170,2842,10325,2524,- -
13,Interest Expense (Gain),9721,5537,10735,6283,- -,48666,56234,279221,263510,8793,934683
14,Depreciation and Amortization,18951,15671,- -,2991,3395,4960,7241,7199,5473,231872,783298
15,EBITDA,-1088144,-1128307,-1647855,-311224,-23196,-3794781,-601575,-1853299,-3843294,-4349721,-3995226
16,EBITDA ratio,-47.5234,-545.8670,-68.3899,-19.0281,-0.7122,-36.8272,-6.3227,-15.0987,-5.7482,-1.8867,-2.3368
17,Operating Income,-1116816,-1149515,-1659052,-320499,-26592,-1832727,-411548,-712786,-3415774,-4584117,-4374408
18,Operating Income ratio,-48.7756,-556.1272,-68.8546,-19.5952,-0.8165,-17.7860,-4.3255,-5.8070,-5.1088,-1.9883,-2.5586
19,Total Other Income Expenses (Gains),- -,- -,462,1,1,-2015680,-253502,-1426933,-696503,-6269,-1338799
20,Income Before Tax,-1116816,-1149515,-1658590,-320498,-26591,-3848407,-665050,-2139719,-4112277,-4590386,-5713207
21,Income Before Tax Ratio,-48.7756,-556.1272,-68.8354,-19.5951,-0.8164,-37.3476,-6.9899,-17.4321,-6.1506,-1.9911,-3.3417
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,2084,3304
23,Net Income,-1116816,-1149515,-1658590,-320498,-26591,-3848407,-665050,-2139719,-4112277,-4592470,-5716511
24,Net Income ratio,-48.7756,-556.1272,-68.8354,-19.5951,-0.8164,-37.3476,-6.9899,-17.4321,-6.1506,-1.9920,-3.3436
25,EPS,-9545.44,-32.67,-42.70,-8.13,-0.55,-90.01,-20.55,-58.28,-45.00,-45.00,-24.30
26,EPS Diluted,-9545.44,-32.67,-42.70,-8.13,-0.55,-90.01,-20.55,-58.28,-45.00,-45.00,-24.30
27,Weighted Average Shares Outstanding,117,35191,38847,39425,48532,47705,32369,36714,61333,137221,235650
28,Weighted Average Shares Outstanding Diluted,117,35191,38847,39425,48532,47705,32369,56949,94187,179141,280096
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1509957/000151116417000176/0001511164-17-000176-index.htm,https://www.sec.gov/Archives/edgar/data/1509957/000151116418000217/0001511164-18-000217-index.htm,https://www.sec.gov/Archives/edgar/data/1509957/000149315219005487/0001493152-19-005487-index.htm,https://www.sec.gov/Archives/edgar/data/1509957/000149315220005643/0001493152-20-005643-index.htm,https://www.sec.gov/Archives/edgar/data/1509957/000149315221008687/0001493152-21-008687-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,9072,59296,19084,5523,100475,14984,30193,1652,807747,46540,457798
