,https://roic.ai/company/ERF,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,55600000,50500000,41500000,54300000,181268746,639379179,621449481,935818627,1149764819,1550568671,1595323858,1539152845,2331884410,1292561000,1351915000,1363726000,1457537000,1310602000,1760567000,1027116000,693335000,935003000,1699131000,1506884000,1054516000,1319549000
2,COGS,17100000,15100000,16700000,16000000,31298740,120082776,134387787,170476620,196450684,216807768,251239515,274150362,332621418,561085000,539955000,526447000,1125802000,1046942000,1097975000,1013330000,721445000,613458000,1071447000,1193757000,925358000,794031000
3,Gross Profit,38500000,35400000,24800000,38300000,149970006,519296403,487061694,765342007,953314135,1333760903,1344084343,1265002483,1999262992,731476000,811960000,837279000,331735000,263660000,662592000,13786000,-28110000,321545000,627684000,313127000,129158000,525518000
4,Gross Profit Ratio,0.6924,0.7010,0.5976,0.7053,0.8273,0.8122,0.7838,0.8178,0.8291,0.8602,0.8425,0.8219,0.8574,0.5659,0.6006,0.6140,0.2276,0.2012,0.3764,0.0134,-0.0405,0.3439,0.3694,0.2078,0.1225,0.3983
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,93844000,110260000,105041000,103870000,86319000,74301000,75783000,72853000,57583000,56807000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,93844000,110260000,105041000,103870000,86319000,74301000,75783000,72853000,57583000,56807000
9,Other Expenses,21100000,18900000,21100000,16600000,31093281,221095193,257006610,334624501,391863451,460320968,567539609,553737213,733756678,679095000,723291000,548456000,13522000,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,21100000,18900000,21100000,16600000,31093281,221095193,257006610,334624501,391863451,460320968,567539609,553737213,733756678,679095000,723291000,548456000,107366000,110260000,105041000,103870000,86319000,74301000,75783000,72853000,57583000,56807000
11,COGS and Expenses,38200000,34000000,37800000,32600000,62392021,341177969,391394397,505101121,588314135,677128736,818779124,827887575,1066378096,1240180000,1263246000,1074903000,1233168000,1157202000,1203016000,1117200000,807764000,687759000,1147230000,1266610000,982941000,850838000
