,https://roic.ai/company/EMMA,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,20000,14257,8277,7894,6796,- -,- -,- -,238400,773500,700100,638500,745900,115000,130900,135100,100100,85100,128500,1315500,22752000,23167000,20610000
2,COGS,10000,5776,1146,1211,885,- -,- -,- -,166200,163200,131600,135100,147100,132000,142600,73000,4900,5500,53500,827400,1094000,2248000,3312000
3,Gross Profit,10000,8481,7131,6683,5911,- -,- -,- -,72200,610300,568500,503400,598800,-17000,-11700,62100,95200,79600,75000,488100,21658000,20919000,17298000
4,Gross Profit Ratio,0.5000,0.5949,0.8615,0.8466,0.8698,- -,- -,- -,0.3029,0.7890,0.8120,0.7884,0.8028,-0.1478,-0.0894,0.4597,0.9510,0.9354,0.5837,0.3710,0.9519,0.9030,0.8393
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,1442600,2097300,2137200,1120500,924800,853700,1287400,1454700,783800,794200,1361100,1377500,2183000,2408000,4110000
6,General and Administrative Exp.,20000,15553,16400,- -,- -,- -,- -,- -,- -,- -,3887400,5017000,4271900,2938100,2535200,2034000,1619900,2501700,4417800,7363300,17012000,13678000,13438000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,915800,870900,1231500,997100,366300,390200,347900,550500,1399700,1992200,6975000,4865000,5878000
8,"Selling, General and Administrative Exp.",20000,15553,16400,17059,144540,261088,28579,416209,1899200,3987100,4803200,5887900,5503400,3935200,2901500,2424200,1967800,3052200,5817500,9355500,23987000,18543000,19316000
9,Other Expenses,-0,- -,- -,-1,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,20000,15553,16400,17058,144540,261088,28579,416209,3341800,6084400,6940400,7008400,6428200,4788900,4188900,3878900,2751600,3846400,7178600,10733000,26170000,20951000,23426000
11,COGS and Expenses,30000,21329,17546,18269,145425,261088,28579,416209,3508000,6247600,7072000,7143500,6575300,4920900,4331500,3951900,2756500,3851900,7232100,11560400,27264000,23199000,26738000
12,Interest Income ,- -,11,6,- -,- -,- -,- -,- -,- -,104000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),-10000,- -,203,458,725,4510,30567,18530,115600,- -,- -,- -,7567000,4123200,1288200,- -,257400,2721500,6600,86300,27393000,3686000,3101000
14,Depreciation and Amortization,- -,231,65,- -,- -,- -,- -,225000,19900,6300,9100,9400,11900,18800,13000,10300,7600,7200,48700,117900,73000,60000,59000
15,EBITDA,-30000,-6830,-9198,-10375,-138533,-261088,-67906,-191209,-3142800,-5363800,-8505900,-8163800,-1286400,737100,-9605400,-2647300,-3109400,-3210200,-7054900,-9392600,-27212000,4465000,-12761000
16,EBITDA ratio,-1.5000,-0.4791,-1.1113,-1.3143,-20.3845,-Infinity,-Infinity,-Infinity,-13.1829,-6.9345,-12.1496,-12.7859,-1.7246,6.4096,-73.3797,-19.5951,-31.0629,-37.7227,-54.9019,-7.1399,-1.1960,0.1927,-0.6192
17,Operating Income,-10000,-7072,-9269,-10375,-138629,-261088,-28579,-416209,-3269600,-5474100,-6692100,-6505000,-5829400,-4805900,-4200600,-3816800,-2656400,-3766800,-7103600,-10244900,-4512000,-32000,-6128000
18,Operating Income ratio,-0.5000,-0.4960,-1.1199,-1.3143,-20.3986,-Infinity,-Infinity,-Infinity,-13.7148,-7.0771,-9.5588,-10.1879,-7.8153,-41.7904,-32.0901,-28.2517,-26.5375,-44.2632,-55.2809,-7.7878,-0.1983,-0.0014,-0.2973
19,Total Other Income Expenses (Gains),-10000,11,-197,-458,-629,-4510,8760,-18530,-8700,104000,-1822900,-1668200,-3035900,1891500,-6686600,1161900,-724600,-2172100,-6600,-86300,-50166000,751000,-9793000
20,Income Before Tax,-20000,-7061,-9466,-10833,-139258,-265598,-19819,-434739,-3278300,-5370100,-8515000,-8173200,-8865300,-2914400,-10887200,-2654900,-3381000,-5938900,-7110200,-10331200,-54678000,719000,-15921000
21,Income Before Tax Ratio,-1.0000,-0.4953,-1.1437,-1.3723,-20.4912,-Infinity,-Infinity,-Infinity,-13.7513,-6.9426,-12.1625,-12.8006,-11.8854,-25.3426,-83.1719,-19.6514,-33.7762,-69.7873,-55.3323,-7.8534,-2.4032,0.0310,-0.7725
22,Income Tax expense (Gain),- -,800,800,800,800,800,800,800,800,1400,7200,800,1300,1900,800,5200,5000,2000,2600,1900,164000,-381000,25000
23,Net Income,-20000,-7861,-10266,-11633,-140058,-266398,-20619,-435539,-3279100,-5371500,-8522200,-8174000,-8866600,-3406800,-10907400,-2662800,-3379400,-5940900,-7112800,-9598700,-54842000,1100000,-15946000
24,Net Income ratio,-1.0000,-0.5514,-1.2403,-1.4737,-20.6089,-Infinity,-Infinity,-Infinity,-13.7546,-6.9444,-12.1728,-12.8019,-11.8871,-29.6243,-83.3262,-19.7098,-33.7602,-69.8108,-55.3525,-7.2966,-2.4104,0.0475,-0.7737
25,EPS,-0.00,-5.05,-6.60,-7.48,-90.01,-171.21,-13.25,-279.91,-2107.39,-7651.71,-7346.72,-5760.05,-5760.05,-2172.00,-168.00,-36.00,-36.00,-55.56,-15.12,-11.16,-1.30,0.02,-0.33
26,EPS Diluted,-0.00,-5.05,-6.60,-7.48,-90.01,-171.21,-13.25,-279.91,-2107.39,-7651.71,-7346.72,-5760.05,-5760.05,-2172.00,-168.00,-36.00,-36.00,-55.56,-15.12,-11.16,-1.30,0.02,-0.33
27,Weighted Average Shares Outstanding,49311900,1556,1556,1556,1556,1556,1556,1556,1556,702,1160,1452,1557,1572,63166,82772,84844,106974,469570,866596,42259460,48897004,48897004
28,Weighted Average Shares Outstanding Diluted,49311900,1556,1556,1556,1556,1556,1556,1556,1556,702,1160,1452,1557,1572,63166,82772,84844,106974,469570,866596,42259460,48897004,48897004
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/822370/000107704804000110/ageresearch-10ksb_123103.htm,https://www.sec.gov/Archives/edgar/data/822370/000107704805000238/salestactix-10ksb_123104.htm,https://www.sec.gov/Archives/edgar/data/822370/000107704806000243/strativation-10ksb_123105.htm,https://www.sec.gov/Archives/edgar/data/822370/000114420407008228/v065077_10ksb.htm,- -,https://www.sec.gov/Archives/edgar/data/822370/000117091809000004/0001170918-09-000004-index.htm,https://www.sec.gov/Archives/edgar/data/822370/000114420409066813/0001144204-09-066813-index.html,https://www.sec.gov/Archives/edgar/data/822370/000114420410067655/0001144204-10-067655-index.html,https://www.sec.gov/Archives/edgar/data/822370/000114420411071226/0001144204-11-071226-index.html,https://www.sec.gov/Archives/edgar/data/822370/000114420413002514/v331712_10k.htm,https://www.sec.gov/Archives/edgar/data/822370/000114420413068769/0001144204-13-068769-index.html,https://www.sec.gov/Archives/edgar/data/822370/000114420414076185/0001144204-14-076185-index.html,https://www.sec.gov/Archives/edgar/data/822370/000161577416003804/s102374_10k.htm,https://www.sec.gov/Archives/edgar/data/822370/000161577416009049/0001615774-16-009049-index.html,https://www.sec.gov/Archives/edgar/data/822370/000161577417007691/0001615774-17-007691-index.html,https://www.sec.gov/Archives/edgar/data/822370/000161577418014245/0001615774-18-014245-index.html,- -,https://www.sec.gov/Archives/edgar/data/822370/000156459021022930/0001564590-21-022930-index.htm,https://www.sec.gov/Archives/edgar/data/822370/000156459022013054/0001564590-22-013054-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
