,https://roic.ai/company/NMGX,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,600000,900000,900000,1300000,2000000,3000000,5772620,3568164,721841,6800000,2724830,3084196,1414848,742038,382522,565660,1116670,3989803,3957832,4052746,8043795,6487461,3593368,3918362,9950477,9685072,8115657,7878099,4330752,2436010,4759240,5039613
2,COGS,400000,700000,1000000,1200000,1800000,2400000,5317186,4388747,1592225,500000,1404248,2277629,925328,420087,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5650116,6344133,5309970,5610063,3451969,2112109,3120414,3347922
3,Gross Profit,200000,200000,-100000,100000,200000,600000,455434,-820583,-870384,6300000,1320582,806567,489520,321951,382522,565660,1116670,3989803,3957832,4052746,8043795,6487461,3593368,3918362,4300361,3340939,2805687,2268036,878783,323901,1638826,1691691
4,Gross Profit Ratio,0.3333,0.2222,-0.1111,0.0769,0.1000,0.2000,0.0789,-0.2300,-1.2058,0.9265,0.4846,0.2615,0.3460,0.4339,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.4322,0.3450,0.3457,0.2879,0.2029,0.1330,0.3443,0.3357
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,6185943,605105,1167673,1500000,2620623,2368744,1616634,1441573,2611583,2525292,3590148,4526166,4614644,3662323,4839556,5652631,4471208,3324195,607049,744346,290402,286395,12294,68539,56816,34875
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3814752,3868572,3042276,2416371,1148096,1219553,2478938,1563201
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,235234,280173,220029,285147,36891,66892,29218,161194
8,"Selling, General and Administrative Exp.",200000,300000,1500000,7100000,7300000,14100000,6924068,3790072,2149018,3400000,3881141,3286352,3119401,3084112,1903363,2732658,5229014,3858720,3897939,2540816,2781483,3037700,3800296,2517036,4049986,4148745,3262305,2701518,1184987,1286445,2508156,1724395
9,Other Expenses,- -,- -,- -,200000,400000,1000000,- -,480164,- -,200000,544794,- -,176286,-31921,500000,- -,-1100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-133950,2330435
10,Operating Expenses,200000,300000,1500000,7300000,7700000,15100000,13110011,4875341,3316691,5100000,7046558,5655096,4912321,4493764,5014946,5257950,7719162,8384886,8512583,6203139,7621039,8690331,8271504,5841231,4657035,4893091,3552707,2987913,1197281,1354984,2431022,4089705
11,COGS and Expenses,600000,1000000,2500000,8500000,9500000,17500000,18427197,9264088,4908916,5600000,8450806,7932725,5837649,4913851,5014946,5257950,7719162,8384886,8512583,6203139,7621039,8690331,8271504,5841231,10307151,11237224,8862677,8597976,4649250,3467093,5551436,7437627
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8981,24857,33346,9204,139118,46493,1877,2031,16714,1587,3803,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,210937,711331,56065,4584,2590,604,926,7180,10089,421704,384092,452601,1222622,28967,117879,105090,70293,90262,8637,6891,19077
14,Depreciation and Amortization,- -,- -,- -,-200000,-400000,-1000000,1062192,759939,449445,200000,544794,821591,740647,44419,54928,56260,49172,50498,70536,64353,63356,317680,111327,95721,324433,252899,182986,121267,64665,84547,38609,106
15,EBITDA,- -,-100000,-1600000,-7700000,-7700000,-15400000,-12646814,-5560962,-3108103,1900000,-7126220,-4049031,-3456878,-4113718,-4552514,-4602684,-6544116,-4205467,-2608151,-2078163,1515114,-1868476,-4565222,-1822545,-1932671,-1474749,-267925,-495508,101792,-871803,-735555,-1555381
16,EBITDA ratio,- -,-0.1111,-1.7778,-5.9231,-3.8500,-5.1333,-2.1908,-1.5585,-4.3058,0.2794,-2.6153,-1.3128,-2.4433,-5.5438,-11.9013,-8.1368,-5.8604,-1.0541,-0.6590,-0.5128,0.1884,-0.2880,-1.2705,-0.4651,-0.1942,-0.1523,-0.0330,-0.0629,0.0235,-0.3579,-0.1546,-0.3086
