,https://roic.ai/company/DYSL,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,3981395,2807309,3726953,4894094,2670469,2340397,2296264,5078436,6936631,10794650,17116341,34363674,42969762,46951666,47887150,42752832,42309000,40536000,43442000,37284000,40681000,43701000
2,COGS,2711148,1958802,2340262,3449109,2202061,1849291,1759736,3519845,4500791,7498691,11307034,20629501,25205960,27683729,28381407,24667087,25579000,25284000,27839000,23386000,25445000,27627000
3,Gross Profit,1270247,848507,1386691,1444985,468408,491106,536528,1558591,2435840,3295959,5809307,13734173,17763802,19267937,19505743,18085745,16730000,15252000,15603000,13898000,15236000,16074000
4,Gross Profit Ratio,0.3190,0.3022,0.3721,0.2953,0.1754,0.2098,0.2337,0.3069,0.3512,0.3053,0.3394,0.3997,0.4134,0.4104,0.4073,0.4230,0.3954,0.3763,0.3592,0.3728,0.3745,0.3678
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2307407,1343000,1715000,998000,903000,823000,626000
6,General and Administrative Exp.,- -,- -,704004,848237,705207,657465,676976,1341834,1911283,2708886,4359493,10891096,12971640,17021191,20926935,15371494,12581000,12366000,12777000,12365000,12733000,13741000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1746865,1408000,1215000,1153000,1152000,1336000,1695000
8,"Selling, General and Administrative Exp.",- -,- -,704004,848237,705207,657465,676976,1341834,1911283,2708886,4359493,10891096,12971640,17021191,20926935,17118359,13989000,13581000,13930000,13517000,14069000,15436000
9,Other Expenses,874962,970238,337522,- -,677676,158333,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,874962,970238,1041526,848237,1382883,815798,676976,1341834,1911283,2708886,4359493,10891096,12971640,17021191,20926935,19425766,15332000,15296000,14928000,14420000,14892000,16062000
11,COGS and Expenses,3586110,2929040,3381788,4297346,3584944,2665089,2436712,4861679,6412074,10207577,15666527,31520597,38177600,44704920,49308342,44092853,40911000,40580000,42767000,37806000,40337000,43689000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),188150,194437,192512,144490,68364,43989,- -,- -,64376,153523,214090,735317,628120,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,349469,335313,337522,315967,296940,191351,147715,194782,222185,368771,504836,946932,1040132,1272985,1669719,1596451,1123000,1196000,1267000,1238000,1257000,1420000
15,EBITDA,768401,214195,674240,679804,-617534,-133341,-28166,357051,746742,955844,1954650,3790009,5832294,2917828,-2675068,-7433680,3174000,956000,2006000,690000,1409000,1232000
16,EBITDA ratio,0.1930,0.0763,0.1809,0.1389,-0.2312,-0.0570,-0.0123,0.0703,0.1077,0.0885,0.1142,0.1103,0.1357,0.0621,-0.0559,-0.1739,0.0750,0.0236,0.0462,0.0185,0.0346,0.0282
17,Operating Income,395285,-121731,345165,596748,-914475,-324692,-140448,216757,524557,587073,1449814,2843077,4792162,2246746,-3705691,-8169093,2695000,134000,679000,-582000,162000,12000
18,Operating Income ratio,0.0993,-0.0434,0.0926,0.1219,-0.3424,-0.1387,-0.0612,0.0427,0.0756,0.0544,0.0847,0.0827,0.1115,0.0479,-0.0774,-0.1911,0.0637,0.0033,0.0156,-0.0156,0.0040,0.0003
19,Total Other Income Expenses (Gains),-164503,613,-8447,-377401,-68364,-43989,-35433,-54488,-64376,-153523,-214090,-735317,-628120,-601903,-639096,-861038,-713000,-493000,-294000,-212000,-180000,-222000
20,Income Before Tax,230782,- -,- -,219347,-982839,-368681,-175881,162269,460181,433550,1235724,2107760,4164042,1644843,-4344787,-9030131,1982000,-359000,385000,-794000,-18000,-210000
21,Income Before Tax Ratio,0.0580,- -,- -,0.0448,-0.3680,-0.1575,-0.0766,0.0320,0.0663,0.0402,0.0722,0.0613,0.0969,0.0350,-0.0907,-0.2112,0.0468,-0.0089,0.0089,-0.0213,-0.0004,-0.0048
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,-10750,25,-108460,73757,556462,929661,293198,-41021,-302960,-21000,-6000,51000,-2741000,-1608000,182000
23,Net Income,230782,-315555,144206,219347,-982838,-368681,-175881,173019,460156,542010,1161967,1551298,3234381,1351645,-4303766,-8727171,2072000,-234000,688000,2193000,1760000,-370000
24,Net Income ratio,0.0580,-0.1124,0.0387,0.0448,-0.3680,-0.1575,-0.0766,0.0341,0.0663,0.0502,0.0679,0.0451,0.0753,0.0288,-0.0899,-0.2041,0.0490,-0.0058,0.0158,0.0588,0.0433,-0.0085
25,EPS,0.10,-0.14,0.06,0.09,-0.41,-0.16,-0.08,0.04,0.10,0.08,0.12,0.08,0.22,0.08,-0.29,-0.59,0.13,-0.01,0.04,0.13,0.10,-0.02
26,EPS Diluted,0.10,-0.14,0.06,0.09,-0.41,-0.16,-0.08,0.03,0.07,0.07,0.11,0.08,0.22,0.08,-0.29,-0.59,0.13,-0.01,0.04,0.13,0.10,-0.02
27,Weighted Average Shares Outstanding,2307820,2253964,2403433,2437189,2397166,2304256,2238832,4325475,4601560,6775125,8412935,11373837,12404701,14932226,14811294,14812858,15415408,16402893,16657563,16909412,17161825,17161825
28,Weighted Average Shares Outstanding Diluted,2307820,2253964,2403433,2437189,2397166,2309809,2238832,4325475,4601560,7743000,10563336,12328261,14937575,15127004,14811294,14812858,15429664,16402893,16693501,16911504,17171523,17161825
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/30831/000126041509000060/0001260415-09-000060-index.html,https://www.sec.gov/Archives/edgar/data/30831/000114420410067029/0001144204-10-067029-index.html,https://www.sec.gov/Archives/edgar/data/30831/000114420411072216/0001144204-11-072216-index.html,https://www.sec.gov/Archives/edgar/data/30831/000114420413002465/v329471_10k.htm,https://www.sec.gov/Archives/edgar/data/30831/000114420413068455/0001144204-13-068455-index.html,https://www.sec.gov/Archives/edgar/data/30831/000114420414074131/0001144204-14-074131-index.html,https://www.sec.gov/Archives/edgar/data/30831/000114420415071496/0001144204-15-071496-index.html,https://www.sec.gov/Archives/edgar/data/30831/000114420416140662/0001144204-16-140662-index.html,https://www.sec.gov/Archives/edgar/data/30831/000114420417064430/0001144204-17-064430-index.html,https://www.sec.gov/Archives/edgar/data/30831/000114420418065969/0001144204-18-065969-index.html,https://www.sec.gov/Archives/edgar/data/30831/000110465919075906/0001104659-19-075906-index.html
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,249695,473385,172118,323321,254908,308210,352139,496948,3882955,3104778,4111966,4479840,3414880,2436828,3842000,1295000,2607000,2415000,2327000,268000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,249695,473385,172118,323321,254908,308210,352139,496948,3882955,3104778,4111966,4479840,3414880,2436828,3842000,1295000,2607000,2415000,2327000,268000
34,Net Receivables,- -,- -,608488,469030,343227,242919,309276,877375,1086394,1284844,3390703,4053742,6360583,6245379,7210940,5194638,4475000,4900000,4710000,4724000,5284000,6940000
35,Inventory,- -,- -,909223,768707,581104,435820,369813,842149,1131648,1832720,2909730,2371516,3097219,3250539,3271700,3140244,2954000,3066000,3726000,4326000,4106000,4646000
36,Other Current Assets,- -,- -,32596,26577,40567,38935,16656,124548,190457,346648,493396,596948,998620,1915363,1460836,1291942,919000,1167000,1078000,973000,664000,816000
37,Total Current Assets,- -,- -,1800002,1737699,1137016,1040995,950653,2152282,2760638,3961160,10676784,10126984,14568388,15891121,15358356,12063652,12190000,10428000,12121000,12438000,12381000,12670000
38,PP&E,- -,- -,1838599,1701730,891261,558191,419718,744764,626790,2436517,2694290,2744724,3953319,4860328,4984150,4773779,6518000,6662000,7223000,7032000,8098000,7593000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11014240,11054396,13591287,13330182,10254160,6240983,6247000,6131000,5898000,5940000,5900000,5821000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7807414,7232035,6671149,6374329,6703305,3484583,1383000,1225000,1067000,987000,755000,627000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18821654,18286431,20262436,19704511,16957465,9725566,7630000,7356000,6965000,6927000,6655000,6448000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,694800,- -,- -,- -,- -,- -,2642000,4333000,4044000
44,Other Non-Current Assets,- -,- -,20534,218873,215465,10654,3321,87735,78812,88698,89496,64637,190568,150656,165457,114229,39000,70000,60000,58000,65000,72000
45,Total Non-Current Assets,- -,- -,1859133,1920603,1106726,568845,423039,832499,705602,2525215,21605440,21095792,24406323,25410295,22107072,14613574,14187000,14088000,14248000,16659000,19151000,18157000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,3659135,3658302,2243742,1609840,1373692,2984781,3466240,6486375,32282224,31222776,38974711,41301416,37465428,26677226,26377000,24516000,26369000,29097000,31532000,30827000
48,Accounts Payable,- -,- -,101871,139736,163903,131518,184214,322094,390110,684208,1026675,773837,1482250,2088395,2416397,2056262,1602000,1886000,1627000,2380000,2355000,2491000
49,Short-Term Debt,- -,- -,147859,419493,202477,140925,120000,434403,262482,411107,2139218,1749524,1870779,1859728,11984492,9943431,3896000,3776000,5667000,2098000,1286000,2150000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,507122,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,694672,515790,103000,109000,238000,129000,253000,163000
52,Other Current Liabilities,- -,- -,165751,120527,77460,73624,114959,232476,368977,587872,1657168,1828062,2045722,2506172,2809580,2846850,2503000,2650000,2955000,2667000,2803000,3032000
