,https://roic.ai/company/GRPN,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,14540000,713365000,1610430000,2334472000,2573655000,3191688000,3119516000,3143354000,2843877000,2636746000,2218915000,1416868000,967108000
2,COGS,4716000,433411000,258879000,718940000,1072122000,1642502000,1734451000,1786451000,1510016000,1316145000,1032786000,739574000,229992000
3,Gross Profit,9824000,279954000,1351551000,1615532000,1501533000,1549186000,1385065000,1356903000,1333861000,1320601000,1186129000,677294000,737116000
4,Gross Profit Ratio,0.6757,0.3924,0.8392,0.6920,0.5834,0.4854,0.4440,0.4317,0.4690,0.5008,0.5346,0.4780,0.7622
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,5848000,233913000,821002000,1179080000,1210966000,1293716000,1192792000,1066168000,901781000,870961000,806945000,603185000,- -
7,Selling and Marketing Exp.,5053000,263202000,768472000,336854000,214824000,269043000,254335000,362951000,400918000,395737000,339355000,154534000,188780000
8,"Selling, General and Administrative Exp.",10901000,497115000,1589474000,1515934000,1425790000,1562759000,1447127000,1429119000,1302699000,1266698000,1146300000,757719000,511096000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,196673000,230675000
10,Operating Expenses,10901000,497115000,1589474000,1515934000,1425790000,1562759000,1447127000,1429119000,1302699000,1266698000,1146300000,954392000,741771000
11,COGS and Expenses,15617000,930526000,1848353000,2234874000,2497912000,3205261000,3181578000,3215570000,2812715000,2582843000,2179086000,1693966000,971763000
12,Interest Income ,- -,- -,- -,- -,1721000,1564000,1219000,2053000,3287000,6420000,7744000,6351000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,291000,907000,3001000,15684000,20680000,21909000,23593000,33192000,- -
14,Depreciation and Amortization,80000,12952000,32055000,55801000,89449000,144921000,132970000,137668000,137827000,115828000,105765000,77792,72819000
15,EBITDA,-1013000,-383362000,-203675000,147001000,64384000,88462000,137494000,-43782000,180091000,125701000,107742000,-260414208,160844000
16,EBITDA ratio,-0.0697,-0.5374,-0.1265,0.0630,0.0250,0.0277,0.0441,-0.0139,0.0633,0.0477,0.0486,-0.1838,0.1663
17,Operating Income,-1077000,-420344000,-233386000,98701000,75754000,-14842000,-79777000,-109763000,29435000,54039000,39798000,-277098000,-4655000
18,Operating Income ratio,-0.0741,-0.5892,-0.1449,0.0423,0.0294,-0.0047,-0.0256,-0.0349,0.0104,0.0205,0.0179,-0.1956,-0.0048
19,Total Other Income Expenses (Gains),-16000,284000,-20679000,-3759000,-94663000,-33353000,-28539000,-76107000,6710000,-53008000,-53329000,-16968000,92680000
20,Income Before Tax,-1093000,-420060000,-254065000,94942000,-18909000,-48195000,-108316000,-185870000,36145000,1031000,-13531000,-294066000,88025000
21,Income Before Tax Ratio,-0.0752,-0.5888,-0.1578,0.0407,-0.0073,-0.0151,-0.0347,-0.0591,0.0127,0.0004,-0.0061,-0.2075,0.0910
22,Income Tax expense (Gain),248000,-6674000,43697000,145973000,70037000,15724000,-19145000,-2547000,7544000,-957000,761000,-7504000,-32323000
23,Net Income,-1341000,-389640000,-279427000,-54773000,-95393000,-73090000,20668000,-194587000,14040000,-11079000,-22377000,-286180000,120348000
24,Net Income ratio,-0.0922,-0.5462,-0.1735,-0.0235,-0.0371,-0.0229,0.0066,-0.0619,0.0049,-0.0042,-0.0101,-0.2020,0.1244
25,EPS,-0.45,-29.89,-19.40,-2.00,-2.80,-2.20,0.60,-6.80,0.60,-0.40,-0.80,-10.07,4.04
26,EPS Diluted,-0.45,-29.89,-19.40,-2.00,-2.80,-2.20,0.60,-6.80,0.40,-0.40,-0.80,-10.07,3.68
27,Weighted Average Shares Outstanding,15264425,15264425,18113066,32510705,33195509,33741619,32505311,28817712,27968353,28325555,28370417,28604115,29365880
28,Weighted Average Shares Outstanding Diluted,15264425,15264425,18113066,32510705,33195509,33741619,32505311,28817712,28420918,28325555,28370417,28604115,33513440
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1490281/000149028113000008/0001490281-13-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1490281/000149028114000024/0001490281-14-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1490281/000149028115000014/0001490281-15-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1490281/000149028116000087/0001490281-16-000087-index.htm,https://www.sec.gov/Archives/edgar/data/1490281/000149028117000024/0001490281-17-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1490281/000149028118000018/0001490281-18-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1490281/000149028119000014/0001490281-19-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1490281/000149028120000021/0001490281-20-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1490281/000149028121000023/0001490281-21-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1490281/000149028122000027/0001490281-22-000027-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,12313000,118833000,1122935000,1209289000,1240472000,1071913000,853362000,891846000,880129000,841021000,750887000,850587000,498726000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37671000,- -
33,Cash and Short-Term Investments,12313000,118833000,1122935000,1209289000,1240472000,1071913000,853362000,891846000,880129000,841021000,750887000,888258000,498726000
34,Net Receivables,601000,42407000,108747000,113152000,136633000,164688000,114963000,106640000,114976000,76210000,59744000,42998000,36755000
35,Inventory,- -,- -,- -,39733000,57097000,57134000,42305000,35610000,25528000,33739000,25426000,- -,- -
36,Other Current Assets,1293000,12615000,91645000,125612000,128296000,107594000,64612000,57840000,51815000,47659000,51856000,2770000,52570000
37,Total Current Assets,14207000,173855000,1323327000,1487786000,1562498000,1401329000,1075242000,1091936000,1072448000,998629000,887913000,934026000,588051000
38,PP&E,274000,16490000,51800000,121072000,134423000,182475000,198897000,171006000,151145000,143117000,233340000,85284000,121539000
39,Goodwill,- -,132038000,166903000,206684000,220827000,447810000,287332000,283962000,286989000,325491000,325017000,214699000,216393000
40,Intangible Assets,239000,40775000,45667000,42597000,28443000,110557000,36483000,42915000,19196000,45401000,35292000,30151000,24310000
41,Intangible Assets,239000,172813000,212570000,249281000,249270000,558367000,323815000,326877000,306185000,370892000,360309000,244850000,240703000
42,Investments,- -,- -,50604000,84209000,20652000,24298000,178236000,141882000,135189000,108515000,76576000,37671000,- -
43,Tax Assets,- -,14544000,46104000,29916000,35941000,41835000,3454000,5231000,- -,- -,- -,- -,62945000
44,Other Non-Current Assets,242000,3868000,90071000,59210000,39226000,19293000,16620000,24445000,12538000,20989000,28605000,-37671000,144643000
45,Total Non-Current Assets,755000,207715000,451149000,543688000,479512000,826268000,721022000,669441000,605057000,643513000,698830000,330134000,569830000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,14962000,381570000,1774476000,2031474000,2042010000,2227597000,1796264000,1761377000,1677505000,1642142000,1586743000,1264160000,1157881000
