,https://roic.ai/company/OXBR,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,- -,5559000,6380000,19062000,23841000,3810000,981000,1214000,10225000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,1214000,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,1.0000,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,1128000,1435000,1420000,1325000,1282000,1067000,1028000,1305000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,1128000,1435000,1420000,1325000,1282000,1067000,1028000,1305000
9,Other Expenses,- -,- -,565000,580000,675000,-1274000,-67000,- -,- -
10,Operating Expenses,- -,- -,2000000,2000000,2000000,8000,1000000,1028000,1305000
11,COGS and Expenses,- -,1559000,1779000,16481000,44433000,11559000,1131000,1028000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,13000,18000,21000,24000,18000,10000,10000,7
15,EBITDA,- -,4013000,4619000,2602000,-20568000,-7731000,-140000,-40000,8565007
16,EBITDA ratio,- -,0.7219,0.7240,0.1365,-0.8627,-2.0291,-0.1427,-0.0329,0.8377
17,Operating Income,- -,4000000,4601000,2581000,- -,- -,- -,-50000,- -
18,Operating Income ratio,- -,0.7196,0.7212,0.1354,- -,- -,- -,-0.0412,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,106000,- -,- -
20,Income Before Tax,- -,4000000,4601000,2581000,-20592000,-7749000,-150000,-50000,8565000
21,Income Before Tax Ratio,- -,0.7196,0.7212,0.1354,-0.8637,-2.0339,-0.1529,-0.0412,0.8377
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,4000000,4601000,2581000,-20592000,-7749000,-150000,-50000,8565000
24,Net Income ratio,- -,0.7196,0.7212,0.1354,-0.8637,-2.0339,-0.1529,-0.0412,0.8377
25,EPS,- -,0.82,0.76,0.43,-3.55,-1.00,-0.05,-0.01,1.49
26,EPS Diluted,- -,0.82,0.76,0.43,-3.55,-1.00,-0.05,-0.01,1.49
27,Weighted Average Shares Outstanding,- -,4862479,6053947,6002326,5800563,5749000,6100000,5733587,5733587
28,Weighted Average Shares Outstanding Diluted,- -,4862479,6053947,6002326,5800563,5749000,6100000,5733587,5733587
29,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1584831/000165495416000181/0001654954-16-000181-index.htm,https://www.sec.gov/Archives/edgar/data/1584831/000165495417001925/0001654954-17-001925-index.htm,https://www.sec.gov/Archives/edgar/data/1584831/000165495418002491/0001654954-18-002491-index.htm,https://www.sec.gov/Archives/edgar/data/1584831/000165495419002948/0001654954-19-002948-index.htm,https://www.sec.gov/Archives/edgar/data/1584831/000165495420002991/0001654954-20-002991-index.htm,https://www.sec.gov/Archives/edgar/data/1584831/000165495421003408/0001654954-21-003408-index.htm,https://www.sec.gov/Archives/edgar/data/1584831/000165495422004186/0001654954-22-004186-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,695215,5317000,8584000,12242000,7763000,8074000,5962000,5562000,3527000
32,Short-Term Investments,- -,- -,- -,- -,- -,993000,- -,- -,11173000
33,Cash and Short-Term Investments,695215,5317000,8584000,12242000,7763000,9067000,5962000,5562000,14700000
34,Net Receivables,- -,4103000,4142000,4086000,3837000,15000,518000,- -,284000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,-4142000,-4086000,-3837000,-1008000,-518000,- -,- -
37,Total Current Assets,- -,- -,8584000,12242000,7763000,8074000,5962000,5562000,14984000
38,PP&E,- -,46000,- -,- -,- -,- -,- -,13000,144000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,11838000,9348000,10992000,6469000,1155000,692000,787000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,27542000,17677000,-1070000,2177000,-683000,-787000,- -
45,Total Non-Current Assets,- -,- -,36890000,28669000,5399000,3332000,9000,13000,144000
46,Other Assets,11362798,49694000,- -,- -,- -,- -,- -,- -,2849000
47,Total Assets,11362798,49694000,45474000,40911000,13162000,11406000,5971000,5575000,17689000
48,Accounts Payable,1878186,7242000,176000,204000,106000,139000,279000,209000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,216000,216000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,573000,- -,- -
53,Total Current Liabilities,- -,- -,176000,204000,106000,139000,852000,425000,216000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,600000,- -,135000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,687000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,600000,- -,822000
59,Other Liabilities,4181916,12986000,15484000,13633000,7369000,4108000,- -,633000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,133000,222000,- -
61,Total Liabilities,4181916,12986000,15660000,13837000,7475000,4247000,1452000,1058000,1038000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1115,6000,6000,6000,6000,6000,6000,- -,- -
64,Retained Earnings,585247,3145000,4838000,4534000,-18149000,-23920000,-24225000,- -,-15710000
65,Other Comprehensive Income/Loss,- -,17000,-1000000,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,33183000,32623000,32061000,32228000,32262000,8025000,32361000
67,Total Stockholders Equity,7180882,36708000,37027000,37163000,13918000,8314000,8043000,8025000,16651000
68,Total Liabilities And Stockholders Equity,11362798,49694000,52687000,51000000,21393000,12561000,9495000,9083000,17689000
69,Minority Interest,- -,- -,-7213000,-10089000,-8231000,-1155000,-3524000,-3508000,- -
70,Total Liabilities & Equity,11362798,49694000,45474000,40911000,13162000,11406000,5971000,5575000,17689000
