,https://roic.ai/company/GTHX,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,522000,- -,- -,- -,- -,45285000,31476000
2,COGS,- -,- -,- -,- -,- -,- -,2016000
3,Gross Profit,- -,- -,- -,- -,- -,- -,29460000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,0.9360
5,Research and Development Exp.,12730000,25161300,53881000,70683000,89002000,73271000,76225000
6,General and Administrative Exp.,3216000,5229640,7087000,18603000,40039000,68490000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",3216000,5229640,7087000,18603000,40039000,68490000,95692000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,15946000,30390940,60968000,89286000,129041000,141761000,171917000
11,COGS and Expenses,15946000,30390940,60968000,89286000,129041000,141761000,173933000
12,Interest Income ,- -,- -,- -,- -,- -,952000,43000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,1778000,4667000
14,Depreciation and Amortization,42000,67226,89000,175000,356000,582000,469000
15,EBITDA,-20221000,-30241483,-60879000,-89111000,-128685000,-95484000,-142291000
16,EBITDA ratio,-38.7375,-Infinity,-Infinity,-Infinity,-Infinity,-2.1085,-4.5206
17,Operating Income,-15424000,-30390940,-60968000,-89286000,-129041000,-96476000,-142457000
18,Operating Income ratio,-29.5479,-Infinity,-Infinity,-Infinity,-Infinity,-2.1304,-4.5259
19,Total Other Income Expenses (Gains),-4839000,100141,847000,3998000,6594000,-1368000,-4970000
20,Income Before Tax,-20263000,-30290799,-60121000,-85288000,-122447000,-97844000,-147427000
21,Income Before Tax Ratio,-38.8180,-Infinity,-Infinity,-Infinity,-Infinity,-2.1606,-4.6838
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,1410000,925000
23,Net Income,-20263000,-30290799,-60121000,-85288000,-122447000,-99254000,-148352000
24,Net Income ratio,-38.8180,-Infinity,-Infinity,-Infinity,-Infinity,-2.1918,-4.7132
25,EPS,-1.06,-1.63,-3.57,-2.56,-3.27,-2.62,-3.50
26,EPS Diluted,-1.06,-1.63,-3.57,-2.56,-3.27,-2.62,-3.50
27,Weighted Average Shares Outstanding,20429389,18549167,18197970,33316719,37499256,37878026,42383573
28,Weighted Average Shares Outstanding Diluted,20429389,18549167,18197970,33316719,37499256,37878026,42383573
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1560241/000156459018002706/0001564590-18-002706-index.html,https://www.sec.gov/Archives/edgar/data/1560241/000156459019005520/0001564590-19-005520-index.html,https://www.sec.gov/Archives/edgar/data/1560241/000156459020006846/0001564590-20-006846-index.html,https://www.sec.gov/Archives/edgar/data/1560241/000156459021008171/0001564590-21-008171-index.htm,https://www.sec.gov/Archives/edgar/data/1560241/000156459022006299/0001564590-22-006299-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,22937720,47304820,103812000,369290000,269208000,207306000,221186000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,22937720,47304820,103812000,369290000,269208000,207306000,221186000
34,Net Receivables,- -,- -,- -,- -,- -,237000,5688000
35,Inventory,- -,- -,- -,- -,- -,- -,3471000
36,Other Current Assets,812020,596228,849000,843000,1795000,8849000,13220000
37,Total Current Assets,23749740,47901048,104661000,370133000,271003000,216392000,243565000
38,PP&E,146885,310873,510000,1137000,13391000,10508000,9048000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,437000,1652000,1481000
45,Total Non-Current Assets,146885,310873,510000,1137000,13828000,12160000,10529000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,23896625,48211921,105171000,371270000,284831000,228552000,254094000
48,Accounts Payable,1128652,2604799,4184000,3377000,3684000,3572000,2897000
49,Short-Term Debt,- -,- -,- -,- -,682000,- -,1115000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,237000,31000
52,Other Current Liabilities,1038721,3020513,7520000,8985000,15403000,19634000,23570000
53,Total Current Liabilities,2167373,5625312,11704000,12362000,19769000,23443000,27613000
54,Long-Term Debt,- -,- -,- -,- -,- -,27758000,81940000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,1000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,79000,88000,9535000,- -,- -
58,Total Non-Current Liabilities,- -,- -,79000,88000,9535000,27758000,82940000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,10217000,7865000,7865000
61,Total Liabilities,2167373,5625312,11783000,12450000,29304000,51201000,110553000
62,Preferred Stock,53424060,107580149,- -,- -,- -,- -,- -
63,Common Stock,148,150,3000,4000,4000,4000,4000
64,Retained Earnings,-31686956,-64985690,-129118000,-214406000,-336853000,-436107000,-584459000
65,Other Comprehensive Income/Loss,-69402,-107249,-181000,-322000,-677000,- -,- -
66,Other Total Stockholders Equity,61402,99249,222684000,573544000,593053000,613454000,- -
67,Total Stockholders Equity,21729252,42586609,93388000,358820000,255527000,177351000,143541000
68,Total Liabilities And Stockholders Equity,23896625,48211921,105171000,371270000,284831000,228552000,254094000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,23896625,48211921,105171000,371270000,284831000,228552000,254094000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1560241/000156459018002706/0001564590-18-002706-index.html,https://www.sec.gov/Archives/edgar/data/1560241/000156459019005520/0001564590-19-005520-index.html,https://www.sec.gov/Archives/edgar/data/1560241/000156459020006846/0001564590-20-006846-index.html,https://www.sec.gov/Archives/edgar/data/1560241/000156459021008171/0001564590-21-008171-index.htm,https://www.sec.gov/Archives/edgar/data/1560241/000156459022006299/0001564590-22-006299-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-20263000,-30290799,-60121000,-85288000,-122447000,-99254000,-148352000
74,Depreciation and Amortization,42000,67226,89000,175000,356000,582000,469000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,389000,1390555,3394000,10225000,16449000,18770000,22319000
77,Change in Working Capital,946000,20693369,50681264,264814000,-106537000,-58285000,-8838000
78,Accounts Receivable,- -,- -,- -,- -,- -,-237000,-5451000
79,Inventory,- -,- -,- -,- -,- -,- -,-3471000
80,Accounts Payable,- -,- -,- -,-1002000,248000,-244000,-675000
81,Other Working Capital,21582367,42275736,92957000,357771000,251234000,192949000,794000
82,Other Non-Cash Items,5041000,-17001110,-44562264,-264233000,112608000,54445000,2294000
83,Cash Provided by Operating Activities,-13845000,-25140759,-50519000,-74307000,-99571000,-83742000,-132108000
84,CAPEX,-87000,-249742,-294000,-709000,-2716000,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -
