,https://roic.ai/company/UNIT,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,63478000,45126000,36015000,- -,770408000,916032000,1017634000,1057611000,1067041000,1100522000
2,COGS,32362000,23239000,19060000,- -,49668000,102176000,137065000,160024000,159337000,- -
3,Gross Profit,31116000,21887000,16955000,- -,720740000,813856000,880569000,897587000,907704000,- -
4,Gross Profit Ratio,0.4902,0.4850,0.4708,- -,0.9355,0.8885,0.8653,0.8487,0.8507,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,80000,- -,35402000,72045000,85198000,102900000,104975000,101176000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,80000,- -,35402000,72045000,85198000,102900000,104975000,101176000
9,Other Expenses,6603000,5374000,4586000,269000000,375970000,434205000,451750000,405754000,329403000,437811000
10,Operating Expenses,6603000,5374000,4666000,269000000,411372000,506250000,536948000,508654000,434378000,538987000
11,COGS and Expenses,38965000,28613000,23726000,- -,461040000,608426000,674013000,668678000,593715000,538987000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,275394000,305994000,319591000,390112000,497128000,446296000
14,Depreciation and Amortization,5921000,5253000,4586000,238748000,375970000,434205000,451750000,405754000,329403000,290942000
15,EBITDA,30434000,21766000,16875000,- -,651669000,691911000,782107000,811111000,105027000,855982000
16,EBITDA ratio,0.4794,0.4823,0.4686,- -,0.8459,0.7553,0.7686,0.7669,0.0984,0.7778
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,-309063000,-355283000,-332497000,-373362000,-1207439000,- -
20,Income Before Tax,24513000,16513000,12289000,- -,305000,-47677000,11124000,15571000,-734113000,117727000
21,Income Before Tax Ratio,0.3862,0.3659,0.3412,- -,0.0004,-0.0520,0.0109,0.0147,-0.6880,0.1070
22,Income Tax expense (Gain),- -,- -,- -,- -,517000,-38849000,-5421000,4663000,-15203000,-4916000
23,Net Income,24513000,16513000,12289000,- -,-212000,-9439000,16187000,10582000,-706301000,123660000
24,Net Income ratio,0.3862,0.3659,0.3412,- -,-0.0003,-0.0103,0.0159,0.0100,-0.6619,0.1124
25,EPS,0.16,0.11,0.08,- -,-0.04,-0.10,0.05,0.04,-3.47,0.61
26,EPS Diluted,0.16,0.11,0.08,- -,-0.04,-0.13,0.04,0.04,-3.47,0.61
27,Weighted Average Shares Outstanding,150366000,150366000,150366000,152473000,152473000,168693000,176169000,187358000,203600000,203600000
28,Weighted Average Shares Outstanding Diluted,150366000,150366000,150366000,152473000,152473000,168989000,177071000,187358000,203600000,203600000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1620280/000156459016014126/0001564590-16-014126-index.htm,https://www.sec.gov/Archives/edgar/data/1620280/000156459017002252/0001564590-17-002252-index.htm,https://www.sec.gov/Archives/edgar/data/1620280/000156459018004145/0001564590-18-004145-index.htm,https://www.sec.gov/Archives/edgar/data/1620280/000156459019008290/0001564590-19-008290-index.htm,https://www.sec.gov/Archives/edgar/data/1620280/000156459020010520/0001564590-20-010520-index.htm,https://www.sec.gov/Archives/edgar/data/1620280/000156459021011266/0001564590-21-011266-index.htm,https://www.sec.gov/Archives/edgar/data/1620280/000156459022007221/0001564590-22-007221-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,142498000,171754000,59765000,38026000,142813000,77534000,58903000
