,https://roic.ai/company/ATKR,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,1475897000,1702838000,1729168000,1523384000,1503934000,1835139000,1916538000,1765421000,2928014000
2,COGS,1264348000,1475728000,1456375000,1154702000,1141302000,1397055000,1419338000,1274107000,1802401000
3,Gross Profit,211549000,227110000,272793000,368682000,362632000,438084000,497200000,491314000,1125613000
4,Gross Profit Ratio,0.1433,0.1334,0.1578,0.2420,0.2411,0.2387,0.2594,0.2783,0.3844
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,160749000,180783000,185815000,219397000,182768000,226282000,240660000,219496000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",160749000,180783000,185815000,219397000,182768000,226282000,240660000,219496000,293019000
9,Other Expenses,15317000,20857000,22103000,22238000,22407000,32104000,32876000,32262000,33644000
10,Operating Expenses,176066000,201640000,207918000,241635000,205175000,258386000,273536000,251758000,326663000
11,COGS and Expenses,1440414000,1677368000,1664293000,1396337000,1346477000,1655441000,1692874000,1525865000,2129064000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),47869000,44266000,44809000,41798000,26598000,40694000,50473000,40062000,32899000
14,Depreciation and Amortization,48412000,58695000,59465000,55017000,54727000,66890000,72347000,89273000,93072000
15,EBITDA,32080000,-3926000,96403000,183596000,207450000,273936000,307489000,331333000,905972000
16,EBITDA ratio,0.0217,-0.0023,0.0558,0.1205,0.1379,0.1493,0.1604,0.1877,0.3094
17,Operating Income,26322000,-18954000,36938000,126918000,157457000,179698000,223664000,239556000,798950000
18,Operating Income ratio,0.0178,-0.0111,0.0214,0.0833,0.1047,0.0979,0.1167,0.1357,0.2729
19,Total Other Income Expenses (Gains),-47869000,-87933000,-44809000,-40137000,-31332000,-13346000,-38995000,-37558000,-18949000
20,Income Before Tax,-21547000,-106887000,-7871000,86781000,126125000,166352000,184669000,201998000,780001000
21,Income Before Tax Ratio,-0.0146,-0.0628,-0.0046,0.0570,0.0839,0.0906,0.0964,0.1144,0.2664
22,Income Tax expense (Gain),-2966000,-32939000,-2916000,27985000,41486000,29707000,45618000,49696000,192144000
23,Net Income,-61235000,-73948000,-4955000,58796000,84639000,136645000,139051000,152302000,587857000
24,Net Income ratio,-0.0415,-0.0434,-0.0029,0.0386,0.0563,0.0745,0.0726,0.0863,0.2008
25,EPS,-1.74,-1.65,-0.08,0.94,1.33,2.59,2.91,3.15,12.38
26,EPS Diluted,-1.74,-1.65,-0.08,0.94,1.27,2.48,2.83,3.10,12.19
27,Weighted Average Shares Outstanding,62458367,62478000,62458367,62486000,63420000,52758687,47783849,48349841,46569000
28,Weighted Average Shares Outstanding Diluted,62458367,62478000,62458367,62820000,66585000,54089000,47783849,48349841,47306000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1666138/000166613816000021/0001666138-16-000021-index.html,https://www.sec.gov/Archives/edgar/data/1666138/000166613817000105/0001666138-17-000105-index.html,https://www.sec.gov/Archives/edgar/data/1666138/000166613818000129/0001666138-18-000129-index.html,https://www.sec.gov/Archives/edgar/data/1666138/000166613819000094/0001666138-19-000094-index.html,https://www.sec.gov/Archives/edgar/data/1666138/000166613820000123/0001666138-20-000123-index.htm,- -
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,- -,33360000,80598000,200279000,45718000,126662000,123415000,284471000,576289000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,33360000,80598000,200279000,45718000,126662000,123415000,284471000,576289000
34,Net Receivables,- -,220012000,216992000,192090000,224427000,265147000,315353000,298242000,524926000
35,Inventory,- -,226101000,161924000,161465000,200003000,221753000,226090000,199095000,285989000
36,Other Current Assets,- -,30556000,21978000,29087000,35611000,33576000,34679000,46868000,34248000
37,Total Current Assets,- -,510029000,481492000,582921000,505759000,647138000,699537000,828676000,1421452000
38,PP&E,- -,253287000,224284000,202692000,208619000,213108000,260703000,282583000,316735000
39,Goodwill,- -,114442000,115829000,115829000,147716000,170129000,186231000,188239000,199048000
40,Intangible Assets,- -,288058000,277175000,254937000,344289000,291916000,285684000,255349000,241204000
41,Intangible Assets,- -,402500000,393004000,370766000,492005000,462045000,471915000,443588000,440252000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,2260000,1087000,945000,1657000,162000,577000,687000,29693000
44,Other Non-Current Assets,- -,17343000,13932000,7244000,7052000,1607000,4263000,2991000,1967000
45,Total Non-Current Assets,- -,675390000,632307000,581647000,709333000,676922000,737458000,729849000,788647000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,1185419000,1113799000,1164568000,1215092000,1324060000,1436995000,1558525000,2210099000
48,Accounts Payable,- -,154681000,109847000,114118000,125618000,156525000,150681000,142601000,243164000
49,Short-Term Debt,- -,42887000,2864000,1267000,4215000,26561000,- -,15786000,11785000
50,Tax Payable,- -,778000,515000,2326000,2581000,542000,2157000,1360000,72953000
51,Deferred Revenue,- -,4560000,9121000,9088000,- -,- -,44983000,35802000,80324000
52,Other Current Liabilities,- -,71659000,88666000,80349000,82004000,89661000,91870000,81981000,189663000
53,Total Current Liabilities,- -,273787000,210498000,204822000,211837000,272747000,287534000,276170000,524936000
54,Long-Term Debt,- -,649980000,649344000,629046000,571863000,877686000,845317000,803736000,788622000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,23095000,14557000,12834000,17464000,16510000,19986000,22525000,16746000
57,Other Non-Current Liabilities,- -,62088000,83123000,60620000,53057000,35058000,51222000,77684000,15059000
58,Total Non-Current Liabilities,- -,735163000,747024000,702500000,642384000,929254000,916525000,903945000,820427000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,39929000,42021000
61,Total Liabilities,- -,1008950000,957522000,907322000,854221000,1202001000,1204059000,1180115000,1345363000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,626000,626000,626000,634000,472000,471000,475000,461000
64,Retained Earnings,- -,-168286000,-173241000,-113142000,-42433000,-317373000,-200396000,-64154000,388660000
65,Other Comprehensive Income/Loss,- -,-6630000,-21033000,-25950000,-17982000,-16438000,-41698000,-42554000,-28726000
66,Other Total Stockholders Equity,- -,350759000,349925000,395712000,420652000,455398000,474559000,484643000,- -
67,Total Stockholders Equity,- -,176469000,156277000,257246000,360871000,122059000,232936000,378410000,864736000
68,Total Liabilities And Stockholders Equity,- -,1185419000,1113799000,1164568000,1215092000,1324060000,1436995000,1558525000,2210099000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,1185419000,1113799000,1164568000,1215092000,1324060000,1436995000,1558525000,2210099000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1666138/000166613816000021/0001666138-16-000021-index.html,https://www.sec.gov/Archives/edgar/data/1666138/000166613817000105/0001666138-17-000105-index.html,https://www.sec.gov/Archives/edgar/data/1666138/000166613818000129/0001666138-18-000129-index.html,https://www.sec.gov/Archives/edgar/data/1666138/000166613819000094/0001666138-19-000094-index.html,https://www.sec.gov/Archives/edgar/data/1666138/000166613820000123/0001666138-20-000123-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-61235000,-73948000,-4955000,58796000,84639000,136645000,139051000,152302000,587857000
74,Depreciation and Amortization,48412000,58695000,59465000,55017000,54727000,66890000,72347000,89273000,93072000
75,Deferred Income Tax,-5962000,-36510000,-3650000,2556000,938000,-9008000,-796000,4483000,-43306000
76,Stock Based Compensation,2199000,8398000,13523000,21127000,12788000,14664000,11798000,13064000,17047000
77,Change in Working Capital,-7556000,- -,34752000,107105000,-84177000,80469000,37612000,140503000,-88904000
78,Accounts Receivable,20363000,-12124000,7038000,24538000,-13445000,-44419000,6026000,16920000,-219659000
79,Inventory,-21792000,7675000,67509000,-2437000,-10301000,-36528000,9002000,24642000,-81544000
80,Accounts Payable,-7709000,26804000,-43710000,4061000,8673000,31667000,-21981000,-5835000,98444000
81,Other Working Capital,236242000,236242000,270994000,378099000,293922000,374391000,412003000,552506000,-23433000
82,Other Non-Cash Items,59566000,129698000,41938000,-87955000,52739000,-143957000,-50318000,-150863000,7136000
83,Cash Provided by Operating Activities,35424000,86333000,141073000,156646000,121654000,145703000,209694000,248762000,572902000
84,CAPEX,-14999000,-24362000,-26849000,-16830000,-25122000,-38501000,-34860000,-33770000,-64474000
85,Acquisitions Net,-102473000,-39787000,-30549000,- -,-183923000,39164000,-97999000,- -,-43195000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,2736000,4844000,1328000,- -,- -,- -,- -,- -
88,Other Investing Activites,15221000,-11809000,-20936000,-14223000,-21910000,-36650000,-35102000,-27513000,-54766000
89,Cash Used for Investing Activites,-87252000,-48860000,-46641000,-12895000,-205833000,2514000,-133101000,-27513000,-97961000
90,Debt Repayment,-250995000,-1120383000,-833861000,-23794000,-657300000,-452367000,-99980000,-40000000,-839120000
91,Common Stock Issued,587000,674000,49000,52000,12168000,20110000,7374000,- -,2660000
92,Common Stock Repurchased,-253000,-252765000,-882000,- -,-13938000,-411775000,-24419000,-17983000,-135066000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,306484000,1314890000,790588000,-166000,591310000,778101000,38845000,-3196000,787070000
95,Cash Used/Provided by Financing Activities,55823000,-57584000,-44106000,-23908000,-67760000,-65931000,-78180000,-61179000,-184456000
96,Effect of Forex Changes on Cash,-1152000,-1299000,-3088000,-162000,-2622000,-1342000,-1660000,986000,1333000
97,Net Change In Cash,2843000,-21410000,47238000,119681000,-154561000,80944000,-3247000,161056000,291818000
98,Cash at the End of Period,54770000,33360000,80598000,200279000,45718000,126662000,123415000,284471000,576289000
99,Cash at the Beginning of Period,51927000,54770000,33360000,80598000,200279000,45718000,126662000,123415000,284471000
100,Free Cash Flow,20425000,61971000,114224000,139816000,96532000,107202000,174834000,214992000,508428000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1666138/000166613816000021/0001666138-16-000021-index.html,https://www.sec.gov/Archives/edgar/data/1666138/000166613817000105/0001666138-17-000105-index.html,https://www.sec.gov/Archives/edgar/data/1666138/000166613818000129/0001666138-18-000129-index.html,https://www.sec.gov/Archives/edgar/data/1666138/000166613819000094/0001666138-19-000094-index.html,https://www.sec.gov/Archives/edgar/data/1666138/000166613820000123/0001666138-20-000123-index.htm,- -
102,false,,,,,,,,,
