,https://roic.ai/company/PCSA,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,140000,20000,192145,312480,200201,113425,5000,- -,- -,- -,- -,- -
2,COGS,150000,- -,133255,188002,113251,125876,- -,- -,- -,- -,- -,- -
3,Gross Profit,-10000,20000,58890,124478,86950,-12451,5000,- -,- -,- -,- -,- -
4,Gross Profit Ratio,-0.0714,1.0000,0.3065,0.3984,0.4343,-0.1098,1.0000,- -,- -,- -,- -,- -
5,Research and Development Exp.,110000,170000,448028,267062,189745,29246,6558,926117,3085317,2320573,3172385,6878021000
6,General and Administrative Exp.,40000,610000,- -,- -,- -,945460,69968,876316,1439623,1614909,3264474,4688939000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,945460,69968,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",40000,610000,- -,- -,- -,1890920,139936,876316,1439623,1614909,3264474,4688939000
9,Other Expenses,- -,10000,1883635,2818736,2844784,-945460,-69968,- -,- -,- -,- -,- -
10,Operating Expenses,150000,790000,2331663,3085798,3034529,974706,76526,1802433,4524940,3935482,6436859,11566960000
11,COGS and Expenses,300000,790000,2464918,3273800,3147780,1100582,76526,1802433,4524940,3935482,6436859,- -
12,Interest Income ,- -,- -,3131,2394,249,4651,- -,5181,18297,11548,3174,11989000
13,Interest Expense (Gain),- -,-170000,170715,109725,365956,235644,245384,35693,161205,36658,281122,362000
14,Depreciation and Amortization,- -,- -,108467,414906,461260,238822,159,1865,630092,803773,803774,484
15,EBITDA,-160000,-1110000,-2161175,-2544020,-3698934,-2879661,-90439,-1800568,-3894848,-3131709,-5629911,-10896560516
16,EBITDA ratio,-1.1429,-55.5000,-11.2476,-8.1414,-18.4761,-25.3882,-18.0878,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-160000,-770000,-2272773,-2961320,-4160443,2691084,71526,-1802433,-4524940,-3935482,-15136859,- -
18,Operating Income ratio,-1.1429,-38.5000,-11.8284,-9.4768,-20.7813,23.7257,14.3052,-Infinity,-Infinity,-Infinity,-Infinity,- -
19,Total Other Income Expenses (Gains),- -,-170000,-167584,-107331,-365707,-5673904,-408705,-53882,-142908,-25110,-277948,- -
20,Income Before Tax,-160000,-940000,-2440357,-3068651,-4526150,-2982820,-337179,-1856315,-4667848,-3960592,-15414807,-11958145000
21,Income Before Tax Ratio,-1.1429,-47.0000,-12.7006,-9.8203,-22.6080,-26.2977,-67.4358,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,181,50,100,100,- -,- -,-902801,-602716,-1001019,530611000
23,Net Income,-160000,-940000,-2440538,-3068701,-4526250,-3354227,-335982,-1856315,-3765047,-3357876,-14413788,-11427534000
24,Net Income ratio,-1.1429,-47.0000,-12.7015,-9.8205,-22.6085,-29.5722,-67.1964,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-0.17,-1.02,-13.72,-29.89,-33.32,-15.19,-1.47,-0.42,-0.70,-0.70,-2.54,-1523.74
26,EPS Diluted,-0.17,-1.02,-13.72,-29.89,-33.32,-15.19,-1.47,-0.42,-0.70,-0.70,-2.54,-1523.74
27,Weighted Average Shares Outstanding,920000,920000,201224,102803,180771,224745,224844,4656521,5332032,5525635,7499678,7499678
28,Weighted Average Shares Outstanding Diluted,920000,920000,201224,102803,180771,224745,224844,4656521,5332032,5525635,7499678,7499678
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1533743/000139390514000131/0001393905-14-000131-index.htm,https://www.sec.gov/Archives/edgar/data/1533743/000139390515000193/0001393905-15-000193-index.htm,https://www.sec.gov/Archives/edgar/data/1533743/000139390517000190/0001393905-17-000190-index.htm,https://www.sec.gov/Archives/edgar/data/1533743/000139390517000290/0001393905-17-000290-index.htm,https://www.sec.gov/Archives/edgar/data/1533743/000149315218005248/0001493152-18-005248-index.htm,https://www.sec.gov/Archives/edgar/data/1533743/000149315219004137/0001493152-19-004137-index.html,https://www.sec.gov/Archives/edgar/data/1533743/000149315220003534/0001493152-20-003534-index.html,https://www.sec.gov/Archives/edgar/data/1533743/000149315221006807/0001493152-21-006807-index.htm,https://www.sec.gov/Archives/edgar/data/1533743/000149315222008156/0001493152-22-008156-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,2794937,1027475,186864,21234,2090,3237,2847429,1740961,691536,15416224,16497581
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,2794937,1027475,186864,21234,2090,3237,2847429,1740961,691536,15416224,16497581
34,Net Receivables,- -,9500,30451,19200,4095,- -,- -,62709,21583,- -,231754,- -
35,Inventory,- -,- -,48749,228256,222018,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,50368,80386,131862,102072,- -,41446,257832,315605,554708,1829570
37,Total Current Assets,- -,2804437,1157043,514706,379209,104162,3237,2951584,2020376,1007141,16202686,18327151
38,PP&E,20000,- -,- -,- -,- -,- -,- -,- -,- -,- -,159042,74181
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,2500000,2410715,2053572,1696430,- -,- -,- -,10437782,9642454,8847126,8056638
41,Intangible Assets,- -,2500000,2410715,2053572,1696430,- -,- -,- -,10437782,9642454,8847126,8056638
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,1201,316357,369775,466413,159,- -,31356,22910,233539,5535,5535
