,https://roic.ai/company/EOSS,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , 
1,Revenue,- -,- -,1509880,1777945,2289543,563751
2,COGS,- -,- -,277707,216505,275463,81717
3,Gross Profit,- -,- -,1232173,1561440,2014080,482034
4,Gross Profit Ratio,- -,- -,0.8161,0.8782,0.8797,0.8550
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,150000,157718,351040,547680,905822,1913683
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",150000,157718,351040,547680,905822,1913683
9,Other Expenses,- -,- -,- -,- -,- -,- -
10,Operating Expenses,150000,157718,351040,547680,905822,1913683
11,COGS and Expenses,150000,157718,628747,764185,1181285,1995400
12,Interest Income ,- -,55,41,81,74,- -
13,Interest Expense (Gain),10,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,- -,1143,2510,1916,2269
15,EBITDA,-149980,-157718,931823,1049630,1083683,-1436889
16,EBITDA ratio,-Infinity,-Infinity,0.6172,0.5904,0.4733,-2.5488
17,Operating Income,-150000,-157718,881133,1013760,1108258,-1431649
18,Operating Income ratio,-Infinity,-Infinity,0.5836,0.5702,0.4841,-2.5395
19,Total Other Income Expenses (Gains),10,55,49547,33360,-26491,-7509
20,Income Before Tax,-149990,-157663,930680,1047120,1081767,-1439158
21,Income Before Tax Ratio,-Infinity,-Infinity,0.6164,0.5889,0.4725,-2.5528
22,Income Tax expense (Gain),- -,- -,39708,17795,- -,92357
23,Net Income,-149990,-157663,890972,1029325,1081767,-1531515
24,Net Income ratio,-Infinity,-Infinity,0.5901,0.5789,0.4725,-2.7167
25,EPS,-0.00,-2.52,10.00,20.00,20.00,-20.66
26,EPS Diluted,-0.00,-2.52,10.00,20.00,20.00,-20.66
27,Weighted Average Shares Outstanding,64123000,62670,64122,64122,70177,74122
28,Weighted Average Shares Outstanding Diluted,64123000,62670,64122,64122,70177,74122
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1651958/000164033416000857/0001640334-16-000857-index.html,https://www.sec.gov/Archives/edgar/data/1651958/000164033418000269/0001640334-18-000269-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1651958/000164033419000610/0001640334-19-000610-index.htm,https://www.sec.gov/Archives/edgar/data/1651958/000164033420000856/0001640334-20-000856-index.htm,https://www.sec.gov/Archives/edgar/data/1651958/000164033421000944/0001640334-21-000944-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,54132,35696,24610,36130,295594,122482
32,Short-Term Investments,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,54132,35696,24610,36130,295594,122482
34,Net Receivables,- -,- -,786181,1830258,2177124,175766
35,Inventory,- -,- -,88,7211,10541,449227
36,Other Current Assets,- -,82,22754,53939,336429,218092
