,https://roic.ai/company/OKTA,2015,2016,2017,2018,2019,2020,2021,2022
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,41010000,85907000,160326000,259990000,399254000,586067000,835424000,1300201000
2,COGS,18730000,36024000,55949000,80755000,113421000,159382000,217681000,396405000
3,Gross Profit,22280000,49883000,104377000,179235000,285833000,426685000,617743000,903796000
4,Gross Profit Ratio,0.5433,0.5807,0.6510,0.6894,0.7159,0.7280,0.7394,0.6951
5,Research and Development Exp.,18370000,28761000,38659000,70821000,102385000,159269000,222826000,469259000
6,General and Administrative Exp.,13596000,19195000,30099000,51803000,75110000,112892000,171726000,431314000
7,Selling and Marketing Exp.,49096000,77915000,118742000,172973000,227960000,340356000,427350000,770326000
8,"Selling, General and Administrative Exp.",62692000,97110000,148841000,224776000,303070000,453248000,599076000,1201640000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,81062000,125871000,187500000,295597000,405455000,612517000,821902000,1670899000
11,COGS and Expenses,99792000,161895000,243449000,376352000,518876000,771899000,1039583000,2067304000
12,Interest Income ,- -,- -,- -,- -,- -,17089000,12891000,9768000
13,Interest Expense (Gain),- -,- -,- -,- -,15072000,27017000,72660000,92182000
14,Depreciation and Amortization,1923000,2889000,4568000,7001000,8001000,17815000,36865000,107612000
15,EBITDA,-57058000,-73118000,-78516000,-107679000,-102441000,-165500000,-156666000,-649902000
16,EBITDA ratio,-1.3913,-0.8511,-0.4897,-0.4142,-0.2566,-0.2824,-0.1875,-0.4998
17,Operating Income,-58782000,-75988000,-83123000,-116362000,-119622000,-185832000,-204159000,-767103000
18,Operating Income ratio,-1.4334,-0.8845,-0.5185,-0.4476,-0.2996,-0.3171,-0.2444,-0.5900
19,Total Other Income Expenses (Gains),-199000,-19000,39000,1682000,-5892000,-24500000,-62032000,-82593000
20,Income Before Tax,-58981000,-76007000,-83084000,-114680000,-125514000,-210332000,-266191000,-849696000
21,Income Before Tax Ratio,-1.4382,-0.8848,-0.5182,-0.4411,-0.3144,-0.3589,-0.3186,-0.6535
22,Income Tax expense (Gain),130000,295000,425000,-321000,-17000,-1419000,141000,-1285000
23,Net Income,-59111000,-76302000,-83509000,-114359000,-125497000,-208913000,-266332000,-848411000
24,Net Income ratio,-1.4414,-0.8882,-0.5209,-0.4399,-0.3143,-0.3565,-0.3188,-0.6525
25,EPS,-0.65,-0.84,-0.92,-1.38,-1.17,-1.78,-2.09,-5.52
26,EPS Diluted,-0.65,-0.84,-0.92,-1.38,-1.17,-1.78,-2.09,-5.52
27,Weighted Average Shares Outstanding,90758777,90758777,90758777,83004000,107504000,117221000,127212000,153756000
28,Weighted Average Shares Outstanding Diluted,90758777,90758777,90758777,83004000,107504000,117221000,127212000,153756000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1660134/000166013418000007/0001660134-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/1660134/000166013419000006/0001660134-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1660134/000166013420000006/0001660134-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1660134/000166013421000007/0001660134-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1660134/000166013422000010/0001660134-22-000010-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,18197000,54408000,23282000,127949000,298394000,520048000,434607000,260134000
32,Short-Term Investments,41845000,33537000,14390000,101765000,265374000,882976000,2121584000,2241657000
33,Cash and Short-Term Investments,60042000,87945000,37672000,229714000,563768000,1403024000,2556191000,2501791000
34,Net Receivables,13085000,23009000,34544000,52248000,91926000,130115000,194818000,397509000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,9409000,14714000,20574000,33454000,53636000,66586000,127558000,141333000
37,Total Current Assets,82536000,125668000,92790000,315416000,709330000,1599725000,2878567000,3040633000
38,PP&E,1492000,5249000,11026000,12540000,52921000,178739000,212387000,213428000
39,Goodwill,2630000,2630000,2630000,6282000,18089000,48023000,48023000,5401343000
40,Intangible Assets,2093000,4053000,9155000,11761000,13896000,32529000,27009000,316968000
41,Intangible Assets,4723000,6683000,11785000,18043000,31985000,80552000,75032000,5718311000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -
