,https://roic.ai/company/SNOA,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,2000000,2470000,902000,1356000,2584000,4543000,3835000,5388000,7364000,9754000,12744000,15452000,13668000,13854000,15084000,12825000,16658000,18970000,18936000,18629000
2,COGS,815000,1768000,- -,3522000,4902000,2999000,2751000,2586000,3486000,3613000,4030000,4709000,5271000,6566000,7874000,7157000,9348000,10090000,10603000,12070000
3,Gross Profit,1185000,702000,- -,-2166000,-2318000,1544000,1084000,2802000,3878000,6141000,8714000,10743000,8397000,7288000,7210000,5668000,7310000,8880000,8333000,6559000
4,Gross Profit Ratio,0.5925,0.2842,- -,-1.5973,-0.8971,0.3399,0.2827,0.5200,0.5266,0.6296,0.6838,0.6952,0.6144,0.5261,0.4780,0.4419,0.4388,0.4681,0.4401,0.3521
5,Research and Development Exp.,6000,68000,- -,1654000,2600000,4508000,9778000,6252000,1996000,2046000,1981000,2223000,2887000,1533000,1806000,1576000,1575000,1518000,1339000,555000
6,General and Administrative Exp.,1326000,2102000,- -,12492000,15933000,16520000,13731000,13857000,9898000,11600000,13200000,11894000,11561000,12414000,15556000,17066000,19924000,18620000,13665000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1326000,2102000,- -,12492000,15933000,16520000,13731000,13857000,9898000,11600000,13200000,11894000,11561000,12414000,15556000,17066000,19924000,18620000,13665000,9453000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,1332000,2170000,- -,14146000,18533000,21028000,23509000,20109000,11894000,13646000,15181000,14117000,14448000,13947000,17362000,18642000,21499000,20138000,15004000,10008000
11,COGS and Expenses,2147000,3938000,- -,17668000,23435000,24027000,26260000,22695000,15380000,17259000,19211000,18826000,19719000,20513000,25236000,25799000,30847000,30228000,25607000,22078000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,152000,2000,3000,4000,7000,1000,1000,2000,22000,258000,190000,50000,16000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,437000,9000,406000,931000,1107000,1058000,3000,3000,3000,40000,33000,16000,12000
14,Depreciation and Amortization,- -,- -,160000,434000,651000,672000,740000,768000,433000,395000,326000,268000,284000,253000,244000,248000,490000,453000,312000,227000
15,EBITDA,-167000,-1595000,-7138000,-16096000,-22448000,-19111000,-19599000,-16451000,-7790000,-7147000,-6072000,-4056000,5077000,-7947000,-9915000,5257000,-13798000,-10854000,-2497000,-2998000
