,https://roic.ai/company/CRC,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,3938000000,4073000000,4285000000,4173000000,2403000000,1753000000,2096000000,3063000000,2693000000,38000000,2565000000
2,COGS,1749000000,2145000000,2210000000,2221000000,1955000000,1359000000,1420000000,1414000000,1366000000,10000000,1290000000
3,Gross Profit,2189000000,1928000000,2075000000,1952000000,448000000,394000000,676000000,1649000000,1327000000,28000000,1275000000
4,Gross Profit Ratio,0.5559,0.4734,0.4842,0.4678,0.1864,0.2248,0.3225,0.5384,0.4928,0.7368,0.4971
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,287000000,273000000,326000000,336000000,354000000,248000000,259000000,299000000,290000000,-40000000,200000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",287000000,273000000,326000000,336000000,354000000,248000000,259000000,299000000,290000000,-40000000,200000000
9,Other Expenses,261000000,445000000,302000000,563000000,392000000,246000000,264000000,582000000,549000000,35000000,202000000
10,Operating Expenses,548000000,718000000,628000000,899000000,746000000,494000000,523000000,881000000,839000000,-5000000,402000000
11,COGS and Expenses,2297000000,2863000000,2838000000,3120000000,2701000000,1853000000,1943000000,2295000000,2205000000,5000000,1692000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,72000000,326000000,328000000,343000000,379000000,383000000,11000000,54000000
14,Depreciation and Amortization,- -,- -,- -,- -,1004000000,- -,- -,- -,- -,-34000000,- -
15,EBITDA,1641000000,1181000000,1447000000,-2349000000,-4146000000,529000000,77000000,707000000,356000000,-148000000,270000000
16,EBITDA ratio,0.4167,0.2900,0.3377,-0.5629,-1.7253,0.3018,0.0367,0.2308,0.1322,-3.8947,0.1053
17,Operating Income,- -,1181000000,1447000000,-2349000000,-122000000,-306000000,63000000,769000000,429000000,-1885000000,293000000
18,Operating Income ratio,- -,0.2900,0.3377,-0.5629,-0.0508,-0.1746,0.0301,0.2511,0.1593,-49.6053,0.1142
19,Total Other Income Expenses (Gains),- -,- -,- -,-72000000,-5354000000,507000000,-325000000,-340000000,-329000000,1760000000,-64000000
20,Income Before Tax,1641000000,1181000000,1447000000,-2421000000,-5476000000,201000000,-262000000,429000000,100000000,-125000000,229000000
21,Income Before Tax Ratio,0.4167,0.2900,0.3377,-0.5802,-2.2788,0.1147,-0.1250,0.1401,0.0371,-3.2895,0.0893
