,https://roic.ai/company/RDGL,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,130055,268242,320363,360613,390000,250000,140000,24110,24110,8110,4050,- -,9500,7000,14887
2,COGS,55841,155457,125685,70130,60000,70000,110000,- -,470,- -,- -,- -,6030,5608,12000
3,Gross Profit,74214,112785,194678,290483,330000,180000,30000,- -,23640,8110,- -,- -,3470,1392,2887
4,Gross Profit Ratio,0.5706,0.4205,0.6077,0.8055,0.8462,0.7200,0.2143,- -,0.9805,1.0000,- -,- -,0.3653,0.1989,0.1939
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,149650,328030,203040,104210,67580,84668,286848
6,General and Administrative Exp.,933948,2366598,1695005,2891023,2350000,5560000,3400088,1964730,2445920,3829472,1729788,2260740,1265870,589245,1950360
7,Selling and Marketing Exp.,2385,39348,6627,29072,- -,- -,9912,1300,- -,284138,111662,11500,- -,- -,- -
8,"Selling, General and Administrative Exp.",936333,2405946,1701632,2920095,2350000,5560000,3410000,1966030,2445920,4113610,1841450,2272240,1265870,589245,1950360
9,Other Expenses,1728288,3646141,1042695,945727,541430,485841,204890,11995,5674,2938,576478,95604,1,- -,267477
10,Operating Expenses,2664621,6052087,2744327,3865822,2891430,6045841,3614890,1978025,2601244,4444578,2620968,2472054,1333451,673913,2504685
11,COGS and Expenses,2720462,6207544,2870012,3935952,2960000,6180000,4150000,2617620,2601720,1380190,2931050,1884040,1358220,679521,2516685
12,Interest Income ,- -,- -,- -,599,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),238984,219453,839627,860252,408474,1102137,1600761,2458322,2659806,6259467,3903015,5649546,261374,287471,-25375
14,Depreciation and Amortization,1158154,1531214,562671,545192,546388,483200,208632,11992,5672,2947,1473,- -,- -,- -,- -
15,EBITDA,-1472253,-4408088,-2589696,-2649582,-1795138,-7004663,-1660607,-15638396,8898168,-3592486,-2514242,-2053304,-1348726,-669521,-2553141
16,EBITDA ratio,-11.3202,-16.4333,-8.0836,-7.3474,-4.6029,-28.0187,-11.8615,-648.6270,369.0655,-442.9699,-620.8005,-Infinity,-141.9712,-95.6459,-171.5014
17,Operating Income,-2590407,-5939302,-2549649,-3725339,-2561869,-5870693,-3579618,-1955021,-2577610,-4436470,-2616914,-2489637,-1329979,-672521,-2501798
18,Operating Income ratio,-19.9178,-22.1416,-7.9586,-10.3306,-6.5689,-23.4828,-25.5687,-81.0876,-106.9104,-547.0370,-646.1516,-Infinity,-139.9978,-96.0744,-168.0525
19,Total Other Income Expenses (Gains),-278984,-219453,-602718,379966,-188131,-2719307,109618,-16153689,8810300,-5418430,-3801816,-5213213,-280121,-284471,-25968
20,Income Before Tax,-2869391,-6158755,- -,- -,-2750000,-8590000,-3470000,-18108710,6232690,-9854900,-6418730,-7702850,-1610100,-956992,-2527766
21,Income Before Tax Ratio,-22.0629,-22.9597,- -,- -,-7.0513,-34.3600,-24.7857,-751.0871,258.5106,-1215.1541,-1584.8716,-Infinity,-169.4842,-136.7131,-169.7969
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-2869391,-6158755,-3991994,-4055026,-2750000,-8590000,-3470000,-18108710,6232690,-9854900,-6418730,-7702850,-1610100,-956992,-2527766
24,Net Income ratio,-22.0629,-22.9597,-12.4608,-11.2448,-7.0513,-34.3600,-24.7857,-751.0871,258.5106,-1215.1541,-1584.8716,-Infinity,-169.4842,-136.7131,-169.7969
25,EPS,-80.00,-144.00,-64.00,-56.00,-32.00,-88.00,-24.00,-45.60,2.40,-3.68,-1.04,-0.16,-0.01,-0.00,-0.01
26,EPS Diluted,-80.00,-144.00,-64.00,-56.00,-32.00,-88.00,-24.00,-45.60,2.40,-3.68,-1.04,-0.16,-0.01,-0.00,-0.01
27,Weighted Average Shares Outstanding,35930,43432,60210,70216,86690,94590,125859,399086,2313183,2687133,6048373,55501248,175195600,222804039,335506200
28,Weighted Average Shares Outstanding Diluted,35930,43432,60210,70216,86690,94590,125859,399086,2313183,2687133,6048373,55501248,175195600,222804039,335506200
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1449349/000119983512000130/0001199835-12-000130-index.html,https://www.sec.gov/Archives/edgar/data/1449349/000119983513000143/0001199835-13-000143-index.html,https://www.sec.gov/Archives/edgar/data/1449349/000119983514000135/0001199835-14-000135-index.htm,https://www.sec.gov/Archives/edgar/data/1449349/000119983515000146/0001199835-15-000146-index.htm,https://www.sec.gov/Archives/edgar/data/1449349/000149315216010305/0001493152-16-010305-index.htm,https://www.sec.gov/Archives/edgar/data/1449349/000165495417001788/0001654954-17-001788-index.html,https://www.sec.gov/Archives/edgar/data/1449349/000149315218004456/0001493152-18-004456-index.html,https://www.sec.gov/Archives/edgar/data/1449349/000149315219003838/0001493152-19-003838-index.html,https://www.sec.gov/Archives/edgar/data/1449349/000149315220009545/0001493152-20-009545-index.htm,https://www.sec.gov/Archives/edgar/data/1449349/000149315221006723/0001493152-21-006723-index.htm,https://www.sec.gov/Archives/edgar/data/1449349/000149315222006171/0001493152-22-006171-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,54508,86631,37562,589390,50000,10000,- -,200,179030,27890,8320,5490,20380,903704,1606123
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,54508,86631,37562,589390,50000,10000,- -,200,179030,27890,8320,5490,20380,903704,1606123
34,Net Receivables,12000,35747,19030,440874,10000,20000,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,28400,7100,1550,1400,10000,- -,10000,- -,8480,- -,- -,- -,- -,- -,- -
36,Other Current Assets,239250,143579,151432,136924,40000,- -,110000,30190,26210,11990,6710,11000,23490,33835,28175
37,Total Current Assets,334158,273057,209574,1168588,110000,30000,120000,30390,213720,39880,15030,16490,43870,937539,1634298
