,https://roic.ai/company/KFS,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,37394416,86601248,137174882,229370939,333693922,396739000,588865438,1155342976,1939731024,2027376179,1923217000,1916355000,2035685000,1475594000,452698000,248077000,228547000,122600000,168200000,151567000,155861000,168183000,44598000,52078000,59948000,64750000,91766000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1843000,3880000,4044000,4193000,6535000,7370000,4701000,2692000,7052000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,122600000,166357000,147687000,151817000,163990000,38063000,44708000,55247000,62058000,84714000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1.0000,0.9890,0.9744,0.9741,0.9751,0.8535,0.8585,0.9216,0.9584,0.9232
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,2786251,8463138,13417003,29363126,42443827,44626000,51469240,77978289,109974012,160248390,155773000,182256000,243082000,256483000,110484000,83990000,77936000,73900000,79800000,41613000,41760000,41629000,26097000,29188000,36338000,41950000,48733000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,266594000,73714000,27378000,24305000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2786251,8463138,13417003,29363126,42443827,44626000,51469240,77978289,109974012,160248390,155773000,182256000,243082000,523077000,184198000,111368000,102241000,73931000,79812000,67233000,41760000,41629000,46269000,29732000,36261000,41950000,48733000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,120769000,121588000,89546000,124164000,133463000,12018000,28718000,26667000,24243000,39794000
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,194700000,201400000,156779000,165924000,175092000,58287000,58450000,62928000,66193000,88527000
11,COGS and Expenses,2932895,8463138,13417003,29363126,49747473,52233000,550630033,1110411545,1879857646,1905758897,1768870000,1776501000,2057096000,1831472000,589448000,315320000,254794000,194700000,201400000,156779000,165924000,175092000,58287000,58450000,62928000,71287000,95579000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3253000,1870000,1287000,1609000,1476000,- -,595000,747000,463000,- -
13,Interest Expense (Gain),146645,- -,- -,- -,7303646,7607000,7160266,7796431,16180973,22870880,25921000,30247000,38867000,35022000,23912000,14825000,7478000,- -,- -,- -,- -,7395000,11241000,13578000,15057000,13669000,6164000
14,Depreciation and Amortization,-1393125,-437749,-279521,2864695,5649990,4901000,4192264,454802,658559,573976,18504000,4961000,15542000,67763000,10650000,6621000,2271000,2955000,3838000,1787000,1845000,2780000,5572000,6711000,6917000,6728000,8627000
15,EBITDA,3519474,11089629,19566463,36329544,21015207,34421000,45909496,53182664,76712910,145062139,198772000,175062000,32998000,-229706000,-286135000,-22915000,-10558000,-46145000,-33162000,-12254000,3045000,1258000,2483000,-9415000,15881000,12557000,9007000
16,EBITDA ratio,0.0941,0.1281,0.1426,0.1584,0.0630,0.0868,0.0780,0.0460,0.0395,0.0716,0.1034,0.0914,0.0162,-0.1557,-0.6321,-0.0924,-0.0462,-0.3764,-0.1972,-0.0808,0.0195,0.0075,0.0557,-0.1808,0.2649,0.1939,0.0982
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-41600000,-36400000,-9508000,-4490000,-2026000,-13383000,-6389000,-2184000,-5422000,3239000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.3393,-0.2164,-0.0627,-0.0288,-0.0120,-0.3001,-0.1227,-0.0364,-0.0837,0.0353
19,Total Other Income Expenses (Gains),3592797,8025389,15233889,24480123,26665197,36688000,- -,- -,- -,- -,- -,- -,- -,- -,9501000,- -,9501000,-8700000,-7000000,-6379000,-6832000,-8427000,869000,-15560000,-948000,-1115000,-9023000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,38235405,44931430,59873378,121617283,154347000,139854000,-21411000,-355878000,-136750000,-67243000,-26247000,-50300000,-43400000,-15887000,-11322000,-10453000,-12514000,-21949000,-3132000,-6537000,-5784000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,0.0649,0.0389,0.0309,0.0600,0.0803,0.0730,-0.0105,-0.2412,-0.3021,-0.2711,-0.1148,-0.4103,-0.2580,-0.1048,-0.0726,-0.0622,-0.2806,-0.4215,-0.0522,-0.1010,-0.0630
22,Income Tax expense (Gain),1979704,3356072,4332574,13281769,-1309144,3596000,6333622,-5587210,-5892332,12640791,19339000,16545000,-2885000,73374000,-30410000,-6118000,-169000,3000000,-100000,-1221000,93000,-9720000,1364000,397000,-207000,-1115000,-7644000
23,Net Income,2786251,8171306,15513410,20183080,9370715,18317000,28223345,50518640,65765710,108976492,135008000,123309000,-18526000,-405865000,-290287000,-38243000,-20138000,-52100000,-36900000,-12820000,1107000,803000,-15694000,-30101000,-5886000,-6725000,1860000
24,Net Income ratio,0.0745,0.0944,0.1131,0.0880,0.0281,0.0462,0.0479,0.0437,0.0339,0.0538,0.0702,0.0643,-0.0091,-0.2751,-0.6412,-0.1542,-0.0881,-0.4250,-0.2194,-0.0846,0.0071,0.0048,-0.3519,-0.5780,-0.0982,-0.1039,0.0203
25,EPS,0.33,0.96,1.82,2.37,1.10,2.16,3.04,4.14,5.03,7.75,9.56,8.76,-1.32,-29.40,-21.52,-2.92,-1.55,-3.98,-2.62,-0.74,0.06,0.04,-0.73,-1.39,-0.27,-0.31,0.08
