,https://roic.ai/company/PAHC,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,323000000,319700000,328700000,337800000,354400000,364400000,398400000,453000000,511400000,537100000,594200000,618333000,654101000,653151000,691914000,748591000,751526000,764281000,819982000,827995000,800354000,833350000
2,COGS,249600000,250300000,247400000,248600000,265200000,293100000,307300000,341800000,389700000,407500000,439500000,471668000,489962000,474187000,484139000,512219000,512494000,516038000,553103000,563371000,543472000,561973000
3,Gross Profit,73400000,69400000,81300000,89200000,89200000,71300000,91100000,111200000,121700000,129600000,154700000,146665000,164139000,178964000,207775000,236372000,239032000,248243000,266879000,264624000,256882000,271377000
4,Gross Profit Ratio,0.2272,0.2171,0.2473,0.2641,0.2517,0.1957,0.2287,0.2455,0.2380,0.2413,0.2604,0.2372,0.2509,0.2740,0.3003,0.3158,0.3181,0.3248,0.3255,0.3196,0.3210,0.3256
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,59300000,63900000,70600000,63300000,63400000,66900000,68100000,76200000,81300000,84600000,101900000,105429000,114814000,122233000,143981000,148704000,153288000,150309000,167953000,181398000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",59300000,63900000,70600000,63300000,63400000,66900000,68100000,76200000,81300000,84600000,101900000,105429000,114814000,122233000,143981000,148704000,153288000,150309000,167953000,181398000,- -,- -
9,Other Expenses,-1500000,-0,- -,-0,-17900000,-0,-0,14000000,11100000,3600000,-0,- -,- -,- -,- -,- -,- -,- -,- -,- -,187688000,196509000
10,Operating Expenses,57800000,63900000,70600000,63300000,45500000,66900000,68100000,90200000,92400000,88200000,101900000,105429000,114814000,122233000,143981000,148704000,153288000,150309000,167953000,181398000,187688000,196509000
11,COGS and Expenses,307400000,314200000,318000000,311900000,310700000,360000000,375400000,432000000,482100000,495700000,541400000,577097000,604776000,596420000,628120000,660923000,665782000,666347000,721056000,744769000,731160000,758482000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,307000,281000,142000,119000,249000,256000,1966000,1693000,1901000,1757000,838000
13,Interest Expense (Gain),-14200000,-17700000,-17700000,-17400000,-20600000,-26900000,-32600000,-27300000,-26900000,-43400000,-33100000,34595000,35700000,35771000,33081000,14554000,16848000,16872000,13603000,13677000,13731000,12698000
14,Depreciation and Amortization,11870000,10410000,12360000,10990000,10660000,18110000,13990000,10720000,- -,- -,- -,16696000,17527000,19023000,21453000,21604000,23452000,26001000,26943000,27564000,32341000,31885000
15,EBITDA,11670000,-22590000,-42340000,-14210000,10760000,-28790000,-26510000,-22880000,-22100000,-48300000,12800000,43402000,66341000,72642000,60842000,114921000,117061000,123416000,128616000,112746000,101584000,111051000
16,EBITDA ratio,0.0361,-0.0707,-0.1288,-0.0421,0.0304,-0.0790,-0.0665,-0.0505,-0.0432,-0.0899,0.0215,0.0702,0.1014,0.1112,0.0879,0.1535,0.1558,0.1615,0.1569,0.1362,0.1269,0.1333
17,Operating Income,15700000,5400000,10600000,25900000,43700000,4400000,23000000,21100000,29300000,41400000,52800000,41236000,49325000,56731000,63794000,87668000,85744000,97934000,98926000,83226000,69194000,74868000
18,Operating Income ratio,0.0486,0.0169,0.0322,0.0767,0.1233,0.0121,0.0577,0.0466,0.0573,0.0771,0.0889,0.0667,0.0754,0.0869,0.0922,0.1171,0.1141,0.1281,0.1206,0.1005,0.0865,0.0898
19,Total Other Income Expenses (Gains),-1700000,-17100000,-21000000,-18900000,-19800000,-25800000,-30900000,-27400000,-27400000,-43500000,-33200000,-49125000,-36211000,-38883000,-57486000,-8905000,-8983000,-17391000,-10856000,-11721000,-13682000,-8400000
20,Income Before Tax,14000000,-11700000,-10400000,7000000,23900000,-21400000,-7900000,-6300000,1900000,-2100000,19600000,-7889000,13114000,17848000,6308000,78763000,76761000,80543000,88070000,71505000,55512000,66468000
21,Income Before Tax Ratio,0.0433,-0.0366,-0.0316,0.0207,0.0674,-0.0587,-0.0198,-0.0139,0.0037,-0.0039,0.0330,-0.0128,0.0200,0.0273,0.0091,0.1052,0.1021,0.1054,0.1074,0.0864,0.0694,0.0798
22,Income Tax expense (Gain),3900000,-400000,14800000,9800000,7800000,2100000,5200000,400000,2600000,3400000,3800000,5033000,6138000,-7043000,9435000,18483000,-5967000,15928000,23187000,16792000,21960000,12083000
23,Net Income,10100000,-14900000,-51800000,-17600000,12900000,-22100000,-13100000,-6700000,2200000,-8300000,42100000,-12922000,6976000,24891000,-3127000,60280000,82728000,64615000,64883000,54713000,33552000,54385000
24,Net Income ratio,0.0313,-0.0466,-0.1576,-0.0521,0.0364,-0.0606,-0.0329,-0.0148,0.0043,-0.0155,0.0709,-0.0209,0.0107,0.0381,-0.0045,0.0805,0.1101,0.0845,0.0791,0.0661,0.0419,0.0653
25,EPS,0.17,-0.25,-0.86,-0.29,0.21,-0.37,-0.22,-0.17,0.06,-0.21,1.09,-0.42,0.23,0.82,-0.10,1.55,2.11,1.63,1.61,1.35,0.83,1.34
26,EPS Diluted,0.17,-0.25,-0.86,-0.29,0.21,-0.37,-0.22,-0.17,0.06,-0.21,1.09,-0.42,0.23,0.82,-0.10,1.51,2.07,1.61,1.61,1.35,0.83,1.34
27,Weighted Average Shares Outstanding,60000000,60000000,60000000,60000000,60000000,60000000,60000000,38800000,38800000,38800000,38800000,30458000,30458000,30458000,32200000,38969000,39300000,39500000,40200000,40400000,40500000,40500000
28,Weighted Average Shares Outstanding Diluted,60000000,60000000,60000000,60000000,60000000,60000000,60000000,38800000,38800000,38800000,38800000,30458000,30525000,30458000,32200000,39815000,40000000,40000000,40400000,40500000,40500000,40500000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1069899/000095012303010897/0000950123-03-010897-index.html,https://www.sec.gov/Archives/edgar/data/1069899/000089109204004563/0000891092-04-004563-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1069899/000157104914004664/0001571049-14-004664-index.html,https://www.sec.gov/Archives/edgar/data/1069899/000157104915007431/0001571049-15-007431-index.html,https://www.sec.gov/Archives/edgar/data/1069899/000157104916017853/0001571049-16-017853-index.html,https://www.sec.gov/Archives/edgar/data/1069899/000157104917007711/0001571049-17-007711-index.html,https://www.sec.gov/Archives/edgar/data/1069899/000114420418046489/0001144204-18-046489-index.html,https://www.sec.gov/Archives/edgar/data/1069899/000114420419041832/0001144204-19-041832-index.html,https://www.sec.gov/Archives/edgar/data/1069899/000110465920098687/0001104659-20-098687-index.htm,https://www.sec.gov/Archives/edgar/data/1069899/000110465921109354/0001104659-21-109354-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2400000,14800000,6400000,11200000,5600000,13000000,8700000,12000000,- -,- -,- -,- -,53900000,27369000,11821000,29216000,33605000,56083000,29168000,57573000,36343000,50212000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50000000,24000000,55000000,43000000
33,Cash and Short-Term Investments,2400000,14800000,6400000,11200000,5600000,13000000,8700000,12000000,- -,- -,- -,- -,53900000,27369000,11821000,29216000,33605000,56083000,79168000,81573000,91343000,93212000
34,Net Receivables,87900000,82700000,61100000,56200000,60000000,56400000,59000000,76100000,- -,- -,- -,- -,99140000,99137000,113858000,111099000,123790000,125847000,135742000,159022000,126522000,146852000
35,Inventory,50400000,83800000,85400000,87800000,78600000,96600000,96800000,89400000,- -,- -,- -,- -,120123000,140032000,143184000,149786000,167691000,161233000,178170000,198322000,196659000,216312000
36,Other Current Assets,9100000,17500000,32100000,19200000,10400000,12800000,12100000,14000000,- -,- -,- -,- -,28724000,29848000,30426000,23627000,17745000,20502000,22381000,27245000,37313000,42533000
37,Total Current Assets,149800000,198800000,185000000,174400000,154600000,178800000,176600000,191500000,- -,- -,- -,- -,301887000,296386000,299289000,313728000,342831000,363665000,415461000,466162000,451837000,498909000
38,PP&E,76200000,102300000,65700000,63900000,55400000,50000000,51300000,53600000,- -,- -,- -,- -,101661000,104422000,109159000,104414000,127323000,127351000,130108000,140235000,170982000,187668000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1717000,12613000,12613000,12613000,21121000,23982000,27348000,27348000,52679000,52679000
40,Intangible Assets,6300000,5600000,9600000,8700000,11700000,10200000,8800000,7400000,- -,- -,- -,- -,15049000,35155000,29803000,37281000,60095000,54602000,51978000,47478000,70997000,62282000
41,Intangible Assets,6300000,5600000,9600000,8700000,11700000,10200000,8800000,7400000,- -,- -,- -,- -,16766000,47768000,42416000,49894000,81216000,78584000,79326000,74826000,123676000,114961000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10245000,9513000,9413000,9332000,9179000,9627000,10020000,10105000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,112000,4755000,3486000,221000,28019000,23269000,15424000,23794000,11430000,9861000
44,Other Non-Current Assets,26200000,23300000,36100000,27300000,19700000,14100000,11600000,19400000,- -,- -,- -,- -,20482000,20811000,7728000,15548000,21571000,21196000,22181000,12027000,16155000,19821000
45,Total Non-Current Assets,108700000,131200000,111400000,99900000,86800000,74300000,71700000,80400000,- -,- -,- -,- -,139021000,177756000,173034000,179590000,267542000,259732000,256218000,260509000,332263000,342416000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,258500000,330000000,296400000,274300000,241400000,253100000,248300000,271900000,- -,- -,- -,- -,440908000,474142000,472323000,493318000,610373000,623397000,671679000,726671000,784100000,841325000
48,Accounts Payable,32600000,51300000,38200000,55400000,46800000,36300000,41600000,46000000,- -,- -,- -,- -,67932000,57902000,59608000,63061000,60167000,56894000,59498000,73189000,66091000,68362000
49,Short-Term Debt,10800000,32700000,49300000,39600000,11900000,8200000,8500000,- -,- -,- -,- -,- -,5350000,64000,2969000,2809000,2803000,6250000,12579000,12540000,25189000,15993000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3821000,6107000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
