,https://roic.ai/company/CNHI,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,33480000000,32801000000,33836000000,32555000000,25912000000,24872000000,27361000000,29706000000,28079000000,26032000000,33428000000
2,COGS,26270000000,25569000000,26551000000,25534000000,20357000000,19539000000,21621000000,22958000000,21832000000,21327000000,25951000000
3,Gross Profit,7210000000,7232000000,7285000000,7021000000,5555000000,5333000000,5740000000,6748000000,6247000000,4705000000,7477000000
4,Gross Profit Ratio,0.2154,0.2205,0.2153,0.2157,0.2144,0.2144,0.2098,0.2272,0.2225,0.1807,0.2237
5,Research and Development Exp.,1026000000,1129000000,1222000000,1106000000,856000000,860000000,957000000,1061000000,1030000000,932000000,1236000000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2443000000
9,Other Expenses,3214000000,3036000000,3094000000,2925000000,2317000000,2262000000,2330000000,2351000000,2216000000,2155000000,- -
10,Operating Expenses,4240000000,4165000000,4316000000,4031000000,3173000000,3122000000,3287000000,3412000000,3246000000,3087000000,3679000000
11,COGS and Expenses,30510000000,29734000000,30867000000,29565000000,23530000000,22661000000,24908000000,26370000000,25078000000,24414000000,29630000000
12,Interest Income ,- -,- -,56615759,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),1324000000,1209000000,1196000000,1318000000,1106000000,1028000000,942000000,812000000,798000000,678000000,596000000
14,Depreciation and Amortization,1023000000,1039000000,1103000000,1140000000,1146000000,1261000000,1350000000,1337000000,1215000000,1172000000,- -
15,EBITDA,3544000000,3568000000,3647000000,3635000000,2865000000,2335000000,3042000000,3634000000,3164000000,1307000000,2661000000
16,EBITDA ratio,0.1059,0.1088,0.1078,0.1117,0.1106,0.0939,0.1112,0.1223,0.1127,0.0502,0.0796
17,Operating Income,- -,- -,2579469193,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,0.0762,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-1790000000,-1720000000,-1205469193,-1901000000,-1815000000,-2220000000,-1773000000,-1870000000,-1831000000,-2123000000,-1818000000
20,Income Before Tax,1180000000,1347000000,1374000000,1089000000,567000000,-9000000,680000000,1466000000,1170000000,-505000000,1980000000
