,https://roic.ai/company/FTLF,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,- -,9414,11530,2530424,8734590,8148053,12091611,18093202,19684030,19960376,17931464,25313601,17799345,17077000,19497000,21744000
2,COGS,- -,8318,7845,1617503,6491367,6119371,7944433,11568240,12548637,12867466,11653057,15242537,12708460,10332000,11436000,12350000
3,Gross Profit,- -,1096,3685,912921,2243223,2028682,4147178,6524962,7135393,7092910,6278407,10071064,5090885,6745000,8061000,9394000
4,Gross Profit Ratio,- -,0.1164,0.3196,0.3608,0.2568,0.2490,0.3430,0.3606,0.3625,0.3553,0.3501,0.3979,0.2860,0.3950,0.4134,0.4320
5,Research and Development Exp.,11923,82454,272469,120634,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,546251,3648293,4275707,12140087,3170625,2059719,2190343,3100320,2636326,4141937,5002149,4179945,3333000,3049000,3047000
7,Selling and Marketing Exp.,- -,- -,- -,3108936,607812,1684628,1615739,2209207,2415183,2378413,2926063,4118414,3525202,2690000,2379000,2105000
8,"Selling, General and Administrative Exp.",140199,546251,3648293,7384643,12747899,4855253,3675458,4399550,5515503,5014739,7068000,9120563,7705147,6023000,5428000,5152000
9,Other Expenses,- -,1575,14596,69553,278927,274209,263056,244059,232338,226046,300141,478235,409476,69000,52000,38000
10,Operating Expenses,152122,630280,3935358,7574830,13026826,5129462,3938514,4643609,5747841,5240785,7368141,9598798,8114623,6092000,5480000,5190000
11,COGS and Expenses,140199,638598,3943203,9192333,19518193,11248833,11882947,16211849,18296478,18108251,19021198,24841335,20823083,16424000,16916000,17540000
12,Interest Income ,- -,1772,6702,36984,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9000
13,Interest Expense (Gain),1613,22296,42631,8566,40564,139794,30862,18404,40906,94667,90410,109391,112128,133000,47000,15000
14,Depreciation and Amortization,- -,1575,14596,69553,278927,274209,263056,244059,232338,226046,300141,478235,409476,69000,52000,38000
15,EBITDA,-140199,-625837,-3904375,-6547872,-10463224,-2764028,620570,2137996,1656169,2165671,-803361,955704,-8551102,722000,2804000,4321000
16,EBITDA ratio,-Infinity,-66.4794,-338.6275,-2.5877,-1.1979,-0.3392,0.0513,0.1182,0.0841,0.1085,-0.0448,0.0378,-0.4804,0.0423,0.1438,0.1987
17,Operating Income,-140199,-629184,-3931673,-6661909,-10783603,-3100780,208664,1881353,1387552,1852125,-1089734,472265,-8952503,653000,2581000,4204000
18,Operating Income ratio,-Infinity,-66.8349,-340.9951,-2.6327,-1.2346,-0.3806,0.0173,0.1040,0.0705,0.0928,-0.0608,0.0187,-0.5030,0.0382,0.1324,0.1933
19,Total Other Income Expenses (Gains),-13536,- -,6000,7500,41452,62543,117988,-5820,-4627,-7167,-104178,-104187,-120203,-133000,124000,64000
20,Income Before Tax,-153735,- -,- -,- -,- -,- -,326652,1875533,1382925,1844958,-1193912,368078,-9072706,520000,2705000,4268000
21,Income Before Tax Ratio,-Infinity,- -,- -,- -,- -,- -,0.0270,0.1037,0.0703,0.0924,-0.0666,0.0145,-0.5097,0.0305,0.1387,0.1963
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,-648743,90500,171356,-27972,- -,689000,11000,7000,-4446000
23,Net Income,-153735,-649708,-3961602,-6625991,-10782715,-3178031,326652,2524276,1292425,1673602,-1165940,368078,-9761706,509000,2698000,8714000
24,Net Income ratio,-Infinity,-69.0151,-343.5908,-2.6185,-1.2345,-0.3900,0.0270,0.1395,0.0657,0.0838,-0.0650,0.0145,-0.5484,0.0298,0.1384,0.4008
25,EPS,-0.51,-9.75,-10.75,-7.00,-5.00,-1.25,0.45,0.75,0.42,0.50,-0.33,0.10,-2.33,0.10,0.64,2.06
26,EPS Diluted,-0.51,-9.75,-10.75,-7.00,-5.00,-1.25,0.35,0.75,0.35,0.50,-0.33,0.07,-2.33,0.10,0.60,1.92
27,Weighted Average Shares Outstanding,299231,66287,365256,946299,2142534,2426473,2919014,2978620,3132363,3272171,3470973,4171780,4207295,4377431,4104816,4232828
28,Weighted Average Shares Outstanding Diluted,299231,66287,414800,1200774,2142534,2426473,3765988,3751194,3580420,3431038,3470973,4608537,4207295,4377431,4369248,4549396
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1374328/000114420408017974/0001144204-08-017974-index.htm,https://www.sec.gov/Archives/edgar/data/1374328/000141588909000067/0001415889-09-000067-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1374328/000141588912000538/0001415889-12-000538-index.htm,https://www.sec.gov/Archives/edgar/data/1374328/000141588913000590/0001415889-13-000590-index.html,https://www.sec.gov/Archives/edgar/data/1374328/000141588914000995/0001415889-14-000995-index.htm,https://www.sec.gov/Archives/edgar/data/1374328/000141588915001158/0001415889-15-001158-index.htm,https://www.sec.gov/Archives/edgar/data/1374328/000135448816007152/0001354488-16-007152-index.htm,https://www.sec.gov/Archives/edgar/data/1374328/000165495417003377/0001654954-17-003377-index.htm,https://www.sec.gov/Archives/edgar/data/1374328/000165495418004031/0001654954-18-004031-index.htm,https://www.sec.gov/Archives/edgar/data/1374328/000165495419003087/0001654954-19-003087-index.html,https://www.sec.gov/Archives/edgar/data/1374328/000165495420003419/0001654954-20-003419-index.htm,https://www.sec.gov/Archives/edgar/data/1374328/000165495421003364/0001654954-21-003364-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,35309,60753,590197,263379,1036213,445662,354929,936911,3305179,4353699,1532550,1293041,1261933,259000,265000,6336000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,35309,60753,590197,263379,1036213,445662,354929,936911,3305179,4353699,1532550,1293041,1261933,259000,265000,6336000
34,Net Receivables,- -,- -,4532,678927,462263,574616,1042748,969111,1259887,1685623,2701084,2795431,1963128,1433000,2366000,2084000
35,Inventory,- -,- -,- -,1984245,2086116,1473605,1877282,3684991,2752636,2284922,4790301,3756716,2873831,3523000,2998000,3401000
36,Other Current Assets,- -,- -,624527,30240,57902,54045,21421,806059,816448,736202,512559,280970,221200,223000,72000,52000
37,Total Current Assets,35309,60753,1219256,2956791,3642494,2547928,3296380,6397072,8134150,9060446,9536494,8126158,6320092,5438000,5701000,11873000
38,PP&E,- -,64564,92977,238328,232954,87208,42887,18577,5988,3107,226804,171004,295187,189000,390000,306000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,225000,225000
40,Intangible Assets,6925,- -,- -,2160860,1916112,1696363,1476615,- -,1037117,1037369,6929505,6507505,- -,- -,- -,- -
41,Intangible Assets,6925,- -,- -,2160860,1916112,1696363,1476615,1256866,1037117,1037369,6929505,6507505,225000,225000,225000,225000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,50000,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,812879,689000,- -,- -,- -,4370000
44,Other Non-Current Assets,- -,- -,2727,5728,9511,3783,6830,3048,3048,3048,52696,52696,21908,10000,10000,- -
45,Total Non-Current Assets,6925,64564,95704,2404916,2158577,1787354,1526332,1278491,1096153,1043524,8021884,7420205,542095,424000,625000,4901000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,42234,125317,1314960,5361707,5801071,4335282,4822712,7675563,9230303,10103970,17558378,15546363,6862187,5862000,6326000,16774000
48,Accounts Payable,4081,14500,30000,950947,690433,621445,767171,1209380,1204894,813600,3363906,1596748,2974165,2628000,2010000,3246000
49,Short-Term Debt,- -,- -,- -,985630,1058564,631807,437089,437089,926218,944120,2069930,2507525,2364877,500000,46000,50000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,32000,48000,40000,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,80000,228996,253,238617,93559,101467,412128,223787,343860,192736,1099607,539765,611548,420000,720000,833000
53,Total Current Liabilities,84081,243496,30253,2175194,1842556,1354719,1616388,1870256,2474972,1950456,6533443,4644038,5950590,3548000,2776000,4129000
54,Long-Term Debt,111868,597294,- -,118102,- -,- -,- -,- -,1946733,1439799,914138,369177,- -,- -,- -,453000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,-1,- -,- -,- -,- -,1,- -,1,- -,- -,208000,158000
58,Total Non-Current Liabilities,111868,597294,- -,118102,-1,- -,- -,- -,1946733,1439800,914138,369178,- -,- -,208000,611000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,254000,208000
61,Total Liabilities,195949,840790,30253,2293296,1842555,1354719,1616388,1870256,4421705,3390256,7447581,5013216,5950590,3548000,2984000,4740000
62,Preferred Stock,- -,50000,50000,656803,666755,436190,588710,807820,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,20,49540,202314,1508191,561658,721982,741720,747535,81109,81985,104443,104495,106819,111000,12000,12000
64,Retained Earnings,-153735,-815013,-4776615,-11402606,-22404170,-25582201,-25138999,-22614724,-21322299,-19648697,-20814637,-20446559,-30208265,-29804000,-27106000,-18392000
65,Other Comprehensive Income/Loss,- -,-1575,-16171,-135787,-183906,-200984,-242866,-267176,-279765,-286062,-581520,-621926,-676633,-713000,-992000,- -
66,Other Total Stockholders Equity,- -,1575,5825179,12441810,25318179,27605576,27257759,27131852,26329553,26566488,31402511,31497137,31689676,32720000,31428000,30414000
67,Total Stockholders Equity,-153715,-715473,1284707,3068411,3958516,2980563,3206324,5805307,4808598,6713714,10110797,10533147,911597,2314000,3342000,12034000
68,Total Liabilities And Stockholders Equity,42234,125317,1314960,5361707,5801071,4335282,4822712,7675563,9230303,10103970,17558378,15546363,6862187,5862000,6326000,16774000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,42234,125317,1314960,5361707,5801071,4335282,4822712,7675563,9230303,10103970,17558378,15546363,6862187,5862000,6326000,16774000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1374328/000114420408017974/0001144204-08-017974-index.htm,https://www.sec.gov/Archives/edgar/data/1374328/000141588909000067/0001415889-09-000067-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1374328/000141588912000538/0001415889-12-000538-index.htm,https://www.sec.gov/Archives/edgar/data/1374328/000141588913000590/0001415889-13-000590-index.html,https://www.sec.gov/Archives/edgar/data/1374328/000141588914000995/0001415889-14-000995-index.htm,https://www.sec.gov/Archives/edgar/data/1374328/000141588915001158/0001415889-15-001158-index.htm,https://www.sec.gov/Archives/edgar/data/1374328/000135448816007152/0001354488-16-007152-index.htm,https://www.sec.gov/Archives/edgar/data/1374328/000165495417003377/0001654954-17-003377-index.htm,https://www.sec.gov/Archives/edgar/data/1374328/000165495418004031/0001654954-18-004031-index.htm,https://www.sec.gov/Archives/edgar/data/1374328/000165495419003087/0001654954-19-003087-index.html,https://www.sec.gov/Archives/edgar/data/1374328/000165495420003419/0001654954-20-003419-index.htm,https://www.sec.gov/Archives/edgar/data/1374328/000165495421003364/0001654954-21-003364-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,-153735,-649708,-3961602,-6625991,-10782715,-3178031,326652,2524276,1292425,1673602,-1165940,368078,-9761706,509000,2698000,8714000
74,Depreciation and Amortization,- -,1575,14596,69553,278927,274209,263056,244059,232338,226046,300141,478235,409476,69000,52000,38000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,84081,-133971,1371746,-407406,1018341,-606729,486783,2846824,1132362,1450812,-4106939,479069,-3112618,1520498,1035000,4819000
