,https://roic.ai/company/USNU,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,2332000,3089000,2587000,2573000,2639000,2444000,2403000000,2108000000,- -,1638000000,1751000000,2261000000,2557000000,2060000,1956000,- -,2607000,2971000,3212000,3414000,3424000,3070000,3173000
2,COGS,- -,- -,- -,- -,-77000,1013000,930000,820000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,692000,1195000,1290000,1467000,1341000,350000,361000
3,Gross Profit,- -,- -,- -,- -,2664000,1560000,1709000,1624000,2403000000,2108000000,- -,1638000000,1751000000,2261000000,2557000000,2060000,1956000,- -,1915000,1776000,1922000,1947000,2083000,2720000,2812000
4,Gross Profit Ratio,- -,- -,- -,- -,1.0298,0.6063,0.6476,0.6645,1.0000,1.0000,- -,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,- -,0.7346,0.5978,0.5984,0.5703,0.6084,0.8860,0.8862
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1230000,1197000
9,Other Expenses,- -,- -,3303000,2560000,2540000,1402000,1386000,1411000,1384000,1447000,943000,1052000,961000,918000,1019000,947000,1034000,994000,1179000,1232000,1308000,1259000,1289000,- -,- -
10,Operating Expenses,- -,- -,3303000,2560000,2540000,1402000,1386000,1411000,1384000,1447000,943000,1052000,961000,918000,1019000,947000,1034000,994000,1179000,1232000,1308000,1259000,1289000,1230000,1197000
11,COGS and Expenses,- -,- -,3303000,2560000,2463000,2415000,2316000,2231000,1384000000,1447000000,1245000000,- -,961000000,918000000,1019000000,1831000,1709000,994000,1871000,2427000,2816000,2726000,3293000,1580000,1558000
12,Interest Income ,- -,- -,4000,19000,12000,9000,3000,1000,3000,12000,20000,11000,11000,5000,5000,12000,29000,11000,- -,- -,5000,7000,112000,138000,75000
13,Interest Expense (Gain),- -,- -,555000,409000,318000,277000,163000,86000,59000,252000,228000,168000,126000,375000,401000,177000,199000,15000,184000,181000,161000,153000,113000,91000,25000
14,Depreciation and Amortization,- -,- -,1120000,1140000,1170000,1130000,910000,780000,570000,680000,710000,650000,570000,780000,910000,660000,430000,- -,672000,935000,1006000,1135000,983000,33000,34000
15,EBITDA,- -,- -,153000,1688000,1403000,1364000,1236000,994000,63629000,-174068000,558000000,-334182000,4696000,780000000,470311000,866000,1720000,-994000,1659000,1764000,2045000,2024000,483000,275000,915000
16,EBITDA ratio,- -,- -,0.0656,0.5465,0.5423,0.5301,0.4684,0.4067,0.0265,-0.0826,Infinity,-0.2040,0.0027,0.3450,0.1839,0.4204,0.8793,-Infinity,0.6364,0.5937,0.6367,0.5929,0.1411,0.0896,0.2884
17,Operating Income,- -,- -,-971000,529000,124000,158000,323000,213000,239000,-155000,151000,-180000,119000,442000,446000,229000,247000,-994000,736000,544000,614000,688000,131000,1490000,1615000
18,Operating Income ratio,- -,- -,-0.4164,0.1713,0.0479,0.0614,0.1224,0.0872,0.0001,-0.0001,Infinity,-0.0001,0.0001,0.0002,0.0002,0.1112,0.1263,-Infinity,0.2823,0.1831,0.1912,0.2015,0.0383,0.4853,0.5090
19,Total Other Income Expenses (Gains),- -,- -,-551000,-390000,-318000,-268000,-160000,-85000,182761000,-394845000,-333151000,-334820000,3881000,- -,468554000,-200000,844000,-35000,67000,104000,264000,-247000,-744000,-1339000,-759000
20,Income Before Tax,- -,- -,-1522000,139000,-194000,-110000,163000,128000,183000000,-395000000,-333000000,-335000000,4000000,- -,469000000,29000,1091000,-1029000,803000,648000,878000,441000,-613000,151000,856000
