,https://roic.ai/company/TTCM,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,10000,- -,- -,- -,- -,- -,- -,- -,- -,210,1015,262
2,COGS,- -,- -,- -,- -,20000,- -,- -,- -,- -,- -,- -,- -,- -,- -,371,79
3,Gross Profit,- -,- -,- -,- -,-10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,644,183
4,Gross Profit Ratio,- -,- -,- -,- -,-1.0000,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.6345,0.6985
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1014894,1239133
6,General and Administrative Exp.,- -,16800,19354,2278096,1825202,- -,153674,2573110,71008,524892,419534,317631,2597573,567910,538889,2862773
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64764,- -
8,"Selling, General and Administrative Exp.",- -,16800,19354,2278096,1825202,- -,153674,2573110,71008,524892,419534,317631,2597573,567910,603653,2862773
9,Other Expenses,- -,- -,- -,18640,56816,161395,21246,7066,3592,807,92862,- -,22343,603906,7242,165242
10,Operating Expenses,- -,16800,19354,2296736,1882018,161395,174920,2580176,74600,525699,512396,317631,2619916,1171816,1625789,4267148
11,COGS and Expenses,- -,20000,20000,2296736,1900000,1410000,170000,27060000,70000,530000,3190000,-2060000,2917190,1395840,1626160,4267227
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,54,530,222,4256,2307,2540,451804,317892,266924,1363437,568828,1021100,-1238843
14,Depreciation and Amortization,- -,- -,- -,18640,36056,36056,21246,7066,3592,807,92862,- -,- -,- -,7242,14482
15,EBITDA,- -,-20000,-20000,-2277230,-1843414,-1370000,-150000,-27050000,-80000,-529190,-3097140,2056924,-2820353,-2821992,-1765982,-6304552
16,EBITDA ratio,- -,-Infinity,-Infinity,-Infinity,-184.3414,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-13438.0571,-1739.8837,-24063.1756
17,Operating Income,- -,-16800,-19354,- -,-1884597,-161395,-174920,-2580176,-74600,-525699,-812134,-317631,-2619916,-1171610,-1625145,-4266965
18,Operating Income ratio,- -,-Infinity,-Infinity,- -,-188.4597,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-5579.0952,-1601.1281,-16286.1260
19,Total Other Income Expenses (Gains),- -,-3200,-646,-866,4597,-1248605,-5080,-24479824,-5400,-474301,-3787866,2107631,-1563874,-2219210,-1169179,-813226
20,Income Before Tax,- -,-20000,-20000,- -,-1880000,-1410000,-180000,-27060000,-80000,-1000000,-4600000,1790000,-4183790,-3390820,-2794324,-5080191
21,Income Before Tax Ratio,- -,-Infinity,-Infinity,- -,-188.0000,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-16146.7619,-2753.0286,-19390.0420
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,-20000,-20000,-2297656,-1880000,-1410000,-180000,-27060000,-80000,-1000000,-4600000,1790000,-4183790,-3390820,-2794324,-5080191
24,Net Income ratio,- -,-Infinity,-Infinity,-Infinity,-188.0000,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-16146.7619,-2753.0286,-19390.0420
25,EPS,- -,-0.00,-0.00,-0.02,-0.01,-0.01,-0.00,-0.01,-0.00,-0.00,-0.00,0.00,-0.00,-0.00,-0.00,-0.00
26,EPS Diluted,- -,-0.00,-0.00,-0.02,-0.01,-0.01,-0.00,-0.01,-0.00,-0.00,-0.00,0.00,-0.00,-0.00,-0.00,-0.00
27,Weighted Average Shares Outstanding,75210000,98788500,104861562,113950290,181644419,187290964,187633430,2412838909,2987633430,2987633430,2765506359,1685134517,1744862020,3125254373,3891303488,3785141460
28,Weighted Average Shares Outstanding Diluted,75210000,98788500,104861562,113950290,181644419,187290964,187633430,2412838909,2987633430,2987633430,2765506359,1839357467,1744862020,3125254373,3891303488,3785141460
