,https://roic.ai/company/VRE,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,16900000,62300000,95472000,249801000,493699000,551484000,576153000,584348000,569614000,586246000,588991000,643405000,740309000,808350000,777969000,764525000,787480000,724279000,704743000,667031000,636799000,594883000,613398000,616200000,530606000,350935000,313562000,329317000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,317493000,297315000,342319000,202377000,280137000,292135000,302329000,272187000,267217000,254735000,224154000,147438000,141410000,147369000
3,Gross Profit,- -,- -,95472000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,460476000,467210000,445161000,521902000,424606000,374896000,334470000,322696000,346181000,361465000,306452000,203497000,172152000,181948000
4,Gross Profit Ratio,- -,- -,1.0000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.5919,0.6111,0.5653,0.7206,0.6025,0.5620,0.5252,0.5425,0.5644,0.5866,0.5776,0.5799,0.5490,0.5525
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,1200000,3700000,- -,15862000,25572000,25480000,23276000,28490000,27054000,31461000,31793000,33090000,49077000,52162000,43984000,39807000,35003000,- -,47868000,47682000,73169000,49147000,51979000,50949000,53988000,59796000,73641000,57198000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1200000,3700000,5800000,15862000,25572000,25480000,23276000,28490000,27054000,31461000,31793000,33090000,49077000,52162000,43984000,39807000,35003000,35541000,47868000,47682000,73169000,49147000,51979000,50949000,53988000,59796000,73641000,57198000
9,Other Expenses,-10000000,-36500000,45474000,158494000,228620000,255860000,301373000,266157000,277642000,302991000,318923000,382444000,471173000,539656000,194635000,202543000,191168000,281060000,189008000,182766000,172490000,170402000,186684000,205169000,174847000,132016000,122035000,111618000
