,https://roic.ai/company/SUPN,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,4233411,8889000,37925000,106000,803000,1480000,12019000,122045000,144427000,215003000,302238000,408897000,392755000,520397000
2,COGS,- -,- -,- -,- -,- -,- -,1104000,5758000,8423000,11986000,15215000,15356000,16660000,52459000
3,Gross Profit,- -,8888664,46513146,13510000,- -,1480000,10915000,116287000,136004000,203017000,287023000,393541000,376095000,467938000
4,Gross Profit Ratio,- -,1.0000,1.2265,127.4528,- -,1.0000,0.9081,0.9528,0.9417,0.9443,0.9497,0.9624,0.9576,0.8992
5,Research and Development Exp.,19268757,30463000,29260000,35149000,30627000,23517000,17245000,19586000,29135000,42791000,49577000,89209000,69099000,75961000
6,General and Administrative Exp.,- -,4286501,4648906,5080000,- -,20132000,55590000,72471000,89204000,106010000,137905000,159888000,158425000,65924000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,134753000
8,"Selling, General and Administrative Exp.",- -,4286501,4648906,5080000,- -,20132000,55590000,72471000,89204000,106010000,137905000,159888000,158425000,200677000
9,Other Expenses,- -,163,8588240,13404000,- -,- -,- -,- -,- -,- -,- -,- -,- -,15702000
10,Operating Expenses,- -,34749664,42497146,53633000,- -,43649000,72835000,92057000,118339000,148801000,187482000,249097000,227524000,292340000
11,COGS and Expenses,23280450,34750000,33909000,40229000,38555000,43649000,73939000,97815000,126762000,160787000,202697000,264453000,244184000,344799000
12,Interest Income ,1772999,1057000,122000,107000,31000,120000,299000,348000,643000,1482000,2864000,13843000,21623000,18704000
13,Interest Expense (Gain),- -,8678000,- -,- -,1866000,3575000,7849000,4963000,1229000,5091000,1568000,18111000,22707000,23754000
14,Depreciation and Amortization,932211,1115000,1072000,1188000,879000,871000,742000,928000,921000,2399000,8132000,7063000,6659000,18141000
15,EBITDA,-16341829,-23689000,1532000,-37674000,42503000,-41838000,-83682000,25762000,17122000,57859000,110318000,165350000,176853000,210543000
16,EBITDA ratio,-3.8602,-2.6650,0.0404,-355.4151,52.9303,-28.2689,-6.9625,0.2111,0.1186,0.2691,0.3650,0.4044,0.4503,0.4046
17,Operating Income,-19047039,-25861000,4016000,-40123000,-37752000,-42169000,-61920000,24230000,17665000,54216000,99541000,144444000,148571000,173698000
18,Operating Income ratio,-4.4992,-2.9093,0.1059,-378.5189,-47.0137,-28.4926,-5.1518,0.1985,0.1223,0.2522,0.3293,0.3533,0.3783,0.3338
19,Total Other Income Expenses (Gains),1772999,-7621000,122000,649000,-1718000,-4115000,-30353000,-4359000,-2693000,-3847000,1077000,-4268000,-1084000,-5050000
20,Income Before Tax,-17274040,-33482000,4138000,-39474000,-39470000,-46284000,-92273000,19871000,14972000,50369000,100618000,140176000,147487000,168648000
21,Income Before Tax Ratio,-4.0804,-3.7667,0.1091,-372.3962,-49.1532,-31.2730,-7.6773,0.1628,0.1037,0.2343,0.3329,0.3428,0.3755,0.3241
22,Income Tax expense (Gain),- -,- -,- -,-399000,-16245000,- -,- -,- -,956000,-40852000,43334000,29183000,34431000,41698000
23,Net Income,-17274040,-33482000,460000,-38463000,56003000,-46284000,-92273000,19871000,14016000,91221000,57284000,110993000,113056000,126950000
24,Net Income ratio,-4.0804,-3.7667,0.0121,-362.8585,69.7422,-31.2730,-7.6773,0.1628,0.0970,0.4243,0.1895,0.2714,0.2879,0.2439
25,EPS,-1.49,-2.66,-0.21,-3.02,3.88,-2.72,-2.90,0.47,0.30,1.84,1.13,2.13,2.16,2.41
26,EPS Diluted,-1.49,-2.66,-0.21,-3.02,3.88,-2.72,-2.90,0.32,0.28,1.76,1.08,2.05,2.10,2.36
27,Weighted Average Shares Outstanding,13855322,13855322,13855322,13855322,13855322,17440910,31848299,42260896,47485258,49472434,50756603,51989824,52412181,52615269
28,Weighted Average Shares Outstanding Diluted,13855322,13855322,13855322,13855322,13855322,17440910,31848299,50583511,51160380,51708983,53301150,54098872,53816754,53689743
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1356576/000104746913002844/0001047469-13-002844-index.html,https://www.sec.gov/Archives/edgar/data/1356576/000104746914002791/0001047469-14-002791-index.htm,https://www.sec.gov/Archives/edgar/data/1356576/000104746915002068/a2223510z10-k.htm,https://www.sec.gov/Archives/edgar/data/1356576/000104746916010884/0001047469-16-010884-index.html,https://www.sec.gov/Archives/edgar/data/1356576/000104746917001684/0001047469-17-001684-index.html,https://www.sec.gov/Archives/edgar/data/1356576/000104746918001210/0001047469-18-001210-index.html,https://www.sec.gov/Archives/edgar/data/1356576/000104746919000828/0001047469-19-000828-index.html,https://www.sec.gov/Archives/edgar/data/1356576/000135657620000010/0001356576-20-000010-index.html,https://www.sec.gov/Archives/edgar/data/1356576/000135657621000028/0001356576-21-000028-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,52876864,31406000,23740000,48544000,40302000,32980000,36396000,34152000,66398000,100304000,192248000,181381000,288640000
32,Short-Term Investments,- -,7502636,35118000,8964000,- -,48206000,49211000,37940000,28038000,23723000,39736000,163770000,165692000,133893000
33,Cash and Short-Term Investments,- -,60379500,66524000,32704000,48544000,88508000,82191000,74336000,62190000,90121000,140040000,356018000,347073000,422533000
34,Net Receivables,- -,2276420,3742000,158000,128000,675000,5537000,17270000,25908000,41527000,65586000,102922000,87332000,140877000
35,Inventory,- -,- -,- -,- -,- -,1152000,7152000,13441000,12587000,16801000,16304000,25659000,26628000,48325000
36,Other Current Assets,- -,6801410,2614000,6952000,727000,1406000,2281000,3845000,5292000,2955000,6521000,8888000,11611000,18682000
37,Total Current Assets,- -,69457330,72880000,39814000,49399000,91741000,97161000,108892000,105977000,151404000,228451000,493487000,472644000,630417000
38,PP&E,- -,1987578,1859000,1249000,1310000,1421000,2554000,2448000,3874000,4344000,5124000,4095000,38347000,37824000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,77911000
40,Intangible Assets,- -,1599950,1371000,1142000,912000,683000,1158000,5434000,976000,16490000,36019000,31368000,24840000,364342000
41,Intangible Assets,- -,1599950,1371000,1142000,912000,683000,1158000,5434000,976000,16490000,36019000,31368000,24840000,442253000
42,Investments,- -,- -,- -,- -,- -,- -,8756000,19816000,55009000,75410000,133638000,418798000,591773000,350359000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,41729000,20843000,29683000,32063000,- -
44,Other Non-Current Assets,- -,4088895,3789000,4804000,2109000,144000,1366000,918000,22894000,20191000,389000,380000,615000,43249000
45,Total Non-Current Assets,- -,7676423,7019000,7195000,4331000,2248000,13834000,28616000,82753000,158164000,196013000,484324000,687638000,873685000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,77133753,79899000,47009000,53730000,93989000,110995000,137508000,188730000,309568000,424464000,977811000,1160282000,1504102000
48,Accounts Payable,- -,4468426,6245000,11263000,10078000,10666000,18314000,1863000,4314000,8055000,6844000,3195000,10141000,6147000
49,Short-Term Debt,- -,- -,- -,- -,6775000,11809000,- -,- -,- -,- -,- -,- -,2825000,3760000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15938000,12377000,2443000,- -
51,Deferred Revenue,- -,- -,- -,- -,232000,508000,8086000,143000,176000,209000,287000,- -,- -,35215000
52,Other Current Liabilities,- -,3805572,3788000,3944000,1685000,- -,- -,25487000,51607000,72478000,115869000,158158000,147621000,199986000
53,Total Current Liabilities,- -,8273998,10033000,15207000,18770000,22983000,26400000,27493000,56097000,80742000,123000000,161353000,160587000,245108000
54,Long-Term Debt,- -,75000000,75000000,75000000,22711000,11088000,34393000,26947000,7189000,4165000,- -,329462000,345170000,361751000
55,Deferred Revenue,- -,437439,- -,- -,465000,309000,1417000,1274000,1390000,1501000,1149000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35215000
57,Other Non-Current Liabilities,- -,169621,1022000,1122000,2341000,2039000,15321000,10440000,5179000,31405000,32835000,33973000,59097000,117170000
58,Total Non-Current Liabilities,- -,75607060,76022000,76122000,25517000,13436000,51131000,38661000,13758000,37071000,33984000,363435000,404267000,514136000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33265000,52574000
61,Total Liabilities,- -,83881058,86055000,91329000,44287000,36419000,77531000,66154000,69855000,117813000,156984000,524788000,564854000,759244000
62,Preferred Stock,- -,49000,49000,49000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,5521,6000,2000,14000,31000,40000,43000,49000,50000,51000,52000,53000,53000
64,Retained Earnings,- -,-55782237,-55323000,-93786000,-39971000,-86255000,-178528000,-158657000,-144641000,-84288000,-26823000,86492000,199548000,326498000
65,Other Comprehensive Income/Loss,- -,-2146564,2000,- -,1000,-57000,- -,-154000,-488000,-134000,-747000,-3158000,7417000,8975000
66,Other Total Stockholders Equity,- -,51126975,49110000,49415000,49399000,143851000,211952000,230122000,263955000,276127000,294999000,369637000,388410000,409332000
67,Total Stockholders Equity,- -,-6747305,-6156000,-44320000,9443000,57570000,33464000,71354000,118875000,191755000,267480000,453023000,595428000,744858000
68,Total Liabilities And Stockholders Equity,- -,77133753,79899000,47009000,53730000,93989000,110995000,137508000,188730000,309568000,424464000,977811000,1160282000,1504102000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,77133753,79899000,47009000,53730000,93989000,110995000,137508000,188730000,309568000,424464000,977811000,1160282000,1504102000
71,SEC Link,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1356576/000104746913002844/0001047469-13-002844-index.html,https://www.sec.gov/Archives/edgar/data/1356576/000104746914002791/0001047469-14-002791-index.htm,https://www.sec.gov/Archives/edgar/data/1356576/000104746915002068/a2223510z10-k.htm,https://www.sec.gov/Archives/edgar/data/1356576/000104746916010884/0001047469-16-010884-index.html,https://www.sec.gov/Archives/edgar/data/1356576/000104746917001684/0001047469-17-001684-index.html,https://www.sec.gov/Archives/edgar/data/1356576/000104746918001210/0001047469-18-001210-index.html,https://www.sec.gov/Archives/edgar/data/1356576/000104746919000828/0001047469-19-000828-index.html,https://www.sec.gov/Archives/edgar/data/1356576/000135657620000010/0001356576-20-000010-index.html,https://www.sec.gov/Archives/edgar/data/1356576/000135657621000028/0001356576-21-000028-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,-17274040,-33482000,460000,-38463000,56003000,-46284000,-92273000,19871000,14016000,91221000,57284000,110993000,113056000,126950000
74,Depreciation and Amortization,932211,1115000,1072000,1188000,879000,871000,742000,928000,921000,2399000,8132000,7063000,6659000,18141000
75,Deferred Income Tax,- -,- -,- -,-399000,-16245000,- -,- -,- -,- -,-41787000,21224000,-4167000,-5832000,568000
76,Stock Based Compensation,74100,99000,111000,297000,-82000,443000,1913000,2716000,4231000,5926000,8433000,11291000,14846000,16561000
77,Change in Working Capital,2287311,60955694,1663668,-38240000,6022000,38129000,2003000,10638000,-31519000,20782000,34789000,226683000,-20077000,73252000
78,Accounts Receivable,-413853,-1163000,-329000,284000,-85000,-11000,-5043000,-12216000,-8638000,-15619000,-24059000,-35856000,15751000,-34607000
79,Inventory,- -,- -,- -,- -,- -,-1152000,-6000000,-6289000,854000,-4214000,497000,-9355000,-969000,-10124000
80,Accounts Payable,2448174,1088000,1813000,5211000,-1097000,-1098000,8492000,-1279000,2061000,3470000,-620000,-3578000,6962000,8272000
81,Other Working Capital,227638,61183332,62847000,24607000,30629000,68758000,70761000,81399000,49880000,70662000,105451000,332134000,312057000,385309000
82,Other Non-Cash Items,- -,-58339694,-672668,43073000,-82762000,-40358000,29666000,-26420000,44474000,-11729000,-15222000,-222877000,34477000,-97073000
83,Cash Provided by Operating Activities,-13980418,-29652000,2634000,-32544000,-36185000,-47199000,-57949000,7733000,32123000,66812000,114640000,128986000,143129000,138399000
84,CAPEX,-1062374,-135000,-714000,-294000,-685000,-753000,-2351000,-593000,-2104000,-1603000,-2029000,-844000,-2736000,-3449000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-298541000
86,Purchases of Investments,-48380712,-89513000,-56289000,-32781000,-17890000,-97674000,-85567000,-53262000,-63205000,-47364000,-101889000,-491654000,-409707000,-95890000
87,Sales/Maturities of Investments,64297060,105128000,28618000,58898000,26870000,49468000,75806000,53473000,37581000,31824000,28657000,79827000,253170000,378422000
88,Other Investing Activites,- -,- -,- -,- -,25607000,- -,-705000,-4505000,-8506000,-18821000,-11154000,-809000,1349000,-15241000
89,Cash Used for Investing Activites,14853974,15480000,-28385000,25823000,33902000,-48959000,-12112000,-4887000,-36234000,-35964000,-86415000,-413480000,-157924000,-34699000
90,Debt Repayment,- -,- -,- -,- -,- -,-6775000,-24344000,- -,- -,- -,- -,- -,- -,-802000
91,Common Stock Issued,5000,- -,20000,4000,29000,100735000,2437000,571000,1867000,2052000,5681000,11582000,3928000,4361000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
