,https://roic.ai/company/ADCT,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,- -,1803000,1140000,2340000,- -,33917000
2,COGS,- -,- -,- -,- -,- -,1393000
3,Gross Profit,- -,- -,- -,- -,- -,32524000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,0.9589
5,Research and Development Exp.,- -,85530000,118313000,107537000,142032000,158002000
6,General and Administrative Exp.,- -,7806000,8602000,13814000,55130000,71462000
7,Selling and Marketing Exp.,- -,- -,- -,- -,22101000,64780000
8,"Selling, General and Administrative Exp.",- -,7806000,8602000,13814000,77231000,136242000
9,Other Expenses,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,93336000,126915000,121351000,219263000,294244000
11,COGS and Expenses,- -,93473000,127081000,121739000,219263000,295637000
12,Interest Income ,- -,1031000,2856000,2253000,832000,66000
13,Interest Expense (Gain),- -,- -,- -,156000,4926000,18340000
14,Depreciation and Amortization,- -,341000,740000,1646000,2188000,- -
15,EBITDA,- -,-89473000,-122132000,-114100000,-238273000,-233165000
16,EBITDA ratio,- -,-49.6245,-107.1333,-48.7607,-Infinity,-6.8746
17,Operating Income,- -,-91670000,-125941000,-119399000,-219263000,-261720000
18,Operating Income ratio,- -,-50.8430,-110.4746,-51.0252,-Infinity,-7.7165
19,Total Other Income Expenses (Gains),- -,1856000,3069000,3497000,-26700000,10215000
20,Income Before Tax,- -,-89814000,-122872000,-115902000,-245963000,-251505000
21,Income Before Tax Ratio,- -,-49.8136,-107.7825,-49.5308,-Infinity,-7.4153
22,Income Tax expense (Gain),- -,48000,224000,582000,327000,-21479000
23,Net Income,- -,-89862000,-123096000,-116484000,-246290000,-230026000
24,Net Income ratio,- -,-49.8403,-107.9789,-49.7795,-Infinity,-6.7820
25,EPS,- -,-1.53,-2.09,-2.16,-3.77,-3.52
26,EPS Diluted,- -,-1.53,-2.09,-2.16,-3.77,-3.52
27,Weighted Average Shares Outstanding,- -,58853625,58853625,53830234,65410292,65410292
28,Weighted Average Shares Outstanding Diluted,- -,58853625,58853625,53830234,65410292,65410292
29,SEC Link,undefined,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,143669000,262752000,138807000,115551000,439195000,466544000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,143669000,262752000,138807000,115551000,439195000,466544000
34,Net Receivables,5908000,1927000,1709000,1362000,1444000,30218000
35,Inventory,- -,- -,- -,- -,- -,11122000
36,Other Current Assets,1676000,495000,1564000,5693000,9811000,17298000
37,Total Current Assets,151253000,265174000,142080000,122606000,450450000,525182000
