,https://roic.ai/company/PATK,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,122100000,120800000,127100000,148100000,146900000,141900000,143000000,184300000,258600000,331000000,362500000,403500000,410600000,453500000,457356260,361620206,293070216,308754982,274681995,301554460,323400000,347629000,435203000,325151000,212522000,278232000,307822000,437367000,594931000,735717000,920333000,1221887000,1635653000,2263061000,2337082000,2486597000,4078092000
2,COGS,104400000,103800000,109200000,127200000,126600000,121600000,123100000,159700000,222400000,285800000,309200000,345600000,352600000,386400000,391113228,311478189,259057716,269561768,242498880,265674780,285260000,305566000,384743000,297912000,189643000,248594000,263514000,371623000,503908000,617214000,768054000,1019418000,1356738000,1847195000,1914211000,2027580000,3276898000
3,Gross Profit,17700000,17000000,17900000,20900000,20300000,20300000,19900000,24600000,36200000,45200000,53300000,57900000,58000000,67100000,66243032,50142017,34012500,39193214,32183115,35879680,38140000,42063000,50460000,27239000,22879000,29638000,44308000,65744000,91023000,118503000,152279000,202469000,278915000,415866000,422871000,459017000,801194000
4,Gross Profit Ratio,0.1450,0.1407,0.1408,0.1411,0.1382,0.1431,0.1392,0.1335,0.1400,0.1366,0.1470,0.1435,0.1413,0.1480,0.1448,0.1387,0.1161,0.1269,0.1172,0.1190,0.1179,0.1210,0.1159,0.0838,0.1077,0.1065,0.1439,0.1503,0.1530,0.1611,0.1655,0.1657,0.1705,0.1838,0.1809,0.1846,0.1965
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32000000,34600000,37300000,42900000,43772337,40380956,42167493,- -,- -,- -,- -,- -,- -,- -,- -,13835000,16603000,21637000,27979000,36362000,46417000,62183000,90736000,128242000,134466000,146376000,393153000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11699000,13645000,15782000,20158000,26163000,27106000,36081000,46905000,74996000,98055000,- -,- -
8,"Selling, General and Administrative Exp.",13800000,12100000,12800000,13900000,15300000,16100000,16100000,18800000,23300000,26900000,32000000,34600000,37300000,42900000,43772337,40380956,42167493,37875155,31359120,34207620,34304000,35909000,49223000,43392000,22380000,25534000,30248000,37419000,48137000,62525000,73523000,98264000,137641000,203238000,232521000,244776000,393153000
9,Other Expenses,1300000,1500000,1700000,2100000,2400000,2500000,2500000,2500000,2600000,2900000,3600000,4500000,5800000,7600000,8904059,8237025,- -,- -,- -,- -,- -,- -,-1180000,53877000,-848000,564000,829000,1523000,2371000,4477000,8787000,13368000,19374000,34213000,35908000,40868000,56329000
10,Operating Expenses,15100000,13600000,14500000,16000000,17700000,18600000,18600000,21300000,25900000,29800000,35600000,39100000,43100000,50500000,52676396,48617981,42167493,37875155,31359120,34207620,34304000,35909000,48043000,97269000,21532000,26098000,31077000,38942000,50508000,67002000,82310000,111632000,157015000,237451000,268429000,285644000,449482000
11,COGS and Expenses,119500000,117400000,123700000,143200000,144300000,140200000,141700000,181000000,248300000,315600000,344800000,384700000,395700000,436900000,443789624,360096170,301225209,307436923,273858000,299882400,319564000,341475000,432786000,395181000,211175000,274692000,294591000,410565000,554416000,684216000,850364000,1131050000,1513753000,2084646000,2182640000,2313224000,3726380000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6442000,5522000,4469000,4037000,2171000,2393000,4319000,7185000,8790000,26436000,36616000,43001000,57890000
