,https://roic.ai/company/ALIT,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,2378000000,2552000000,2728000000,1554000000
2,COGS,1527000000,1669000000,1894000000,1001000000
3,Gross Profit,851000000,883000000,834000000,553000000
4,Gross Profit Ratio,0.3579,0.3460,0.3057,0.3559
5,Research and Development Exp.,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,304000000
9,Other Expenses,647000000,618000000,687000000,- -
10,Operating Expenses,647000000,618000000,687000000,304000000
11,COGS and Expenses,2174000000,2287000000,2581000000,1305000000
12,Interest Income ,- -,- -,- -,- -
13,Interest Expense (Gain),208000000,224000000,234000000,57000000
14,Depreciation and Amortization,229000000,253000000,291000000,31000000
15,EBITDA,433000000,515000000,431000000,65000000
16,EBITDA ratio,0.1821,0.2018,0.1580,0.0418
17,Operating Income,204000000,265000000,147000000,65000000
18,Operating Income ratio,0.0858,0.1038,0.0539,0.0418
19,Total Other Income Expenses (Gains),-208000000,-227000000,-241000000,-88000000
20,Income Before Tax,-4000000,38000000,-94000000,-23000000
21,Income Before Tax Ratio,-0.0017,0.0149,-0.0345,-0.0148
22,Income Tax expense (Gain),17000000,16000000,9000000,25000000
23,Net Income,-21000000,22000000,-103000000,-48000000
24,Net Income ratio,-0.0088,0.0086,-0.0378,-0.0309
25,EPS,-0.05,0.05,-0.23,-0.11
26,EPS Diluted,-0.05,0.05,-0.23,-0.11
27,Weighted Average Shares Outstanding,446790011,446790011,446790011,438968920
28,Weighted Average Shares Outstanding Diluted,446790011,446790011,446790011,438968920
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1809104/000110465921056681/0001104659-21-056681-index.htm,https://www.sec.gov/Archives/edgar/data/1809104/000095017022003360/0000950170-22-003360-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,- -,218000000,506000000,372000000
32,Short-Term Investments,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,218000000,506000000,372000000
34,Net Receivables,- -,665000000,564000000,515000000
35,Inventory,- -,- -,- -,- -
36,Other Current Assets,- -,892000000,1161000000,1582000000
37,Total Current Assets,- -,1775000000,2231000000,2469000000
38,PP&E,- -,418000000,463000000,236000000
39,Goodwill,- -,2214000000,2245000000,3638000000
40,Intangible Assets,- -,1932000000,1733000000,4170000000
41,Intangible Assets,- -,4146000000,3978000000,7808000000
42,Investments,- -,- -,- -,- -
43,Tax Assets,- -,24000000,5000000,3000000
44,Other Non-Current Assets,- -,223000000,279000000,472000000
45,Total Non-Current Assets,- -,4811000000,4725000000,8519000000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,- -,6586000000,6956000000,10988000000
