,https://roic.ai/company/PGTI,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,160627000,222594000,256394000,332813000,371600000,278400000,- -,218600000,166000000,167276000,174500000,239300000,- -,306388000,458550000,511081000,698493000,744956000,- -,882621000
2,COGS,96327000,- -,166313000,209475000,229900000,187400000,- -,150300000,118700000,128171000,114900000,159200000,- -,213596000,318452000,352097000,455025000,484588000,- -,561297000
3,Gross Profit,64300000,- -,90081000,123338000,141700000,91000000,- -,68300000,47300000,39105000,59600000,80100000,- -,92792000,140098000,158984000,243468000,260368000,- -,321324000
4,Gross Profit Ratio,0.4003,- -,0.3513,0.3706,0.3813,0.3269,- -,0.3124,0.2849,0.2338,0.3415,0.3347,- -,0.3029,0.3055,0.3111,0.3486,0.3495,- -,0.3641
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,113100000,77000000,- -,62100000,49400000,48619000,47100000,54600000,- -,56377000,83995000,98803000,150910000,171912000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",40761000,- -,69518000,90780000,114268000,75308000,- -,63109000,51902000,48619000,47094000,54594000,- -,56377000,83995000,98803000,150910000,176312000,- -,224386000
9,Other Expenses,- -,- -,- -,7200000,-68000,2492000,- -,187691000,3698000,- -,6000,-1894000,- -,2625000,-3000000,- -,824000,1512000,- -,- -
10,Operating Expenses,40761000,- -,69518000,97980000,114200000,77800000,- -,250800000,55600000,48619000,47100000,52700000,- -,59002000,80995000,98803000,151734000,177824000,- -,224386000
11,COGS and Expenses,137088000,- -,235831000,307455000,344100000,265200000,- -,401100000,174300000,176790000,162000000,211900000,- -,272598000,399447000,450900000,606759000,662412000,- -,785683000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,165000,- -,59000,20000,25000,- -,37000,105000,236000,389000,339000,- -,120000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,9448000,6698000,4227000,2600000,2524000,- -,5052000,17509000,15873000,19128000,25082000,- -,26633000
14,Depreciation and Amortization,- -,- -,15038000,15523000,22818000,16712000,- -,17088000,16166000,14092000,12233000,11080000,- -,5980000,15673000,19528000,24450000,34732000,- -,42839000
15,EBITDA,15909000,14965000,25066000,27296000,21919000,17768000,- -,-165253000,7880000,-903000,23943000,37030000,- -,37112000,68729000,75303000,108783000,115941000,- -,126464000
16,EBITDA ratio,0.0990,0.0672,0.0978,0.0820,0.0590,0.0638,- -,-0.7560,0.0475,-0.0054,0.1372,0.1547,- -,0.1211,0.1499,0.1473,0.1557,0.1556,- -,0.1433
17,Operating Income,23539000,222594000,20563000,25358000,27463000,13175000,- -,-182578000,-8266000,-15473000,12574000,27735000,- -,36415000,59103000,60181000,95109000,84056000,- -,84711000
18,Operating Income ratio,0.1465,1.0000,0.0802,0.0762,0.0739,0.0473,- -,-0.8352,-0.0498,-0.0925,0.0721,0.1159,- -,0.1189,0.1289,0.1178,0.1362,0.1128,- -,0.0960
19,Total Other Income Expenses (Gains),-7630000,- -,-10535000,-13585000,-28363000,-12075000,- -,-9222000,-6734000,-3749000,-3474000,-4335000,- -,-10335000,-23556000,-20279000,-29904000,-27929000,- -,-27719000
20,Income Before Tax,15909000,- -,10028000,11773000,-900000,1100000,- -,-191800000,-15000000,-19222000,9100000,23400000,- -,26080000,35547000,39902000,65205000,56127000,- -,56992000
21,Income Before Tax Ratio,0.0990,- -,0.0391,0.0354,-0.0024,0.0040,- -,-0.8774,-0.0904,-0.1149,0.0521,0.0978,- -,0.0851,0.0775,0.0781,0.0934,0.0753,- -,0.0646
22,Income Tax expense (Gain),6287000,- -,3619000,3910000,101000,456000,- -,-28789000,-5584000,-2324000,110000,-3374000,- -,9675000,11800000,63000,11272000,12439000,- -,11884000
23,Net Income,9622000,14965000,6409000,7863000,-1000000,600000,- -,-163000000,-9400000,-16898000,9000000,26800000,- -,16405000,23747000,39839000,53933000,43688000,- -,45108000
24,Net Income ratio,0.0599,0.0672,0.0250,0.0236,-0.0027,0.0022,- -,-0.7457,-0.0566,-0.1010,0.0516,0.1120,- -,0.0535,0.0518,0.0780,0.0772,0.0586,- -,0.0511
25,EPS,0.61,0.95,0.44,0.50,-0.05,0.02,- -,-5.31,-0.26,-0.31,0.17,0.55,- -,0.35,0.49,0.80,1.03,0.75,- -,0.77
26,EPS Diluted,0.61,0.95,0.41,0.45,-0.05,0.02,- -,-5.31,-0.26,-0.31,0.16,0.51,- -,0.33,0.47,0.77,1.00,0.74,- -,0.76
27,Weighted Average Shares Outstanding,15749000,15749000,15720000,15723000,21204000,27294000,- -,30687000,36451000,53659000,53620000,48881000,- -,47376000,48856000,49522000,52461000,58346000,- -,58887000
28,Weighted Average Shares Outstanding Diluted,15749000,15749000,15720000,17299000,21204000,28338000,- -,30687000,36451000,53659000,55262000,52211000,- -,49777000,50579000,51728000,54106000,59150000,- -,59360000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1354327/000095012307004192/0000950123-07-004192-index.htm,https://www.sec.gov/Archives/edgar/data/1354327/000119312508051492/0001193125-08-051492-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1354327/000135432709000022/0001354327-09-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1354327/000135432710000012/0001354327-10-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1354327/000119312512116968/0001193125-12-116968-index.htm,https://www.sec.gov/Archives/edgar/data/1354327/000119312513086990/0001193125-13-086990-index.htm,https://www.sec.gov/Archives/edgar/data/1354327/000119312514075673/0001193125-14-075673-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1354327/000119312515098115/0001193125-15-098115-index.htm,https://www.sec.gov/Archives/edgar/data/1354327/000119312517078296/0001193125-17-078296-index.htm,https://www.sec.gov/Archives/edgar/data/1354327/000119312518082384/0001193125-18-082384-index.htm,https://www.sec.gov/Archives/edgar/data/1354327/000156459019004831/0001564590-19-004831-index.htm,https://www.sec.gov/Archives/edgar/data/1354327/000156459020006608/0001564590-20-006608-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1354327/000156459021010144/0001564590-21-010144-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,9399000,- -,2525000,3270000,37000000,19500000,- -,19600000,7400000,10940000,18700000,30200000,- -,42469000,39210000,34029000,52650000,97243000,- -,100320000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,9399000,- -,2525000,3270000,37000000,19500000,- -,19600000,7400000,10940000,18700000,30200000,- -,42469000,39210000,34029000,52650000,97243000,- -,100320000
34,Net Receivables,- -,- -,26996000,45193000,25200000,21000000,- -,18400000,18000000,13830000,14000000,20800000,- -,25374000,41646000,60308000,87474000,78638000,- -,121567000
35,Inventory,- -,- -,11451000,13981000,11200000,9200000,- -,9400000,9900000,11602000,11500000,12900000,- -,19970000,30511000,37816000,44666000,43851000,- -,60317000
36,Other Current Assets,- -,- -,12674000,14493000,17100000,10700000,- -,6100000,4700000,3742000,9100000,7500000,- -,6464000,11010000,12363000,10771000,13878000,- -,19468000
37,Total Current Assets,- -,- -,53646000,76937000,90500000,60400000,- -,53500000,40000000,40114000,53300000,71400000,- -,94277000,122377000,144516000,195561000,233610000,- -,301672000
38,PP&E,- -,- -,57971000,65508000,78800000,80200000,- -,73500000,65100000,48606000,41200000,44100000,- -,60898000,84209000,84133000,115707000,154589000,- -,173722000
39,Goodwill,- -,- -,169648000,169648000,169600000,169600000,- -,- -,- -,- -,- -,- -,- -,66580000,108060000,108060000,277827000,277600000,- -,329695000
40,Intangible Assets,- -,- -,122980000,107760000,101900000,96300000,- -,72700000,67500000,51830000,45300000,38900000,- -,82724000,120930000,115043000,271818000,255962000,- -,256507000
41,Intangible Assets,- -,- -,292628000,277408000,271500000,265900000,- -,72700000,67500000,51830000,45300000,38900000,- -,149304000,228990000,223103000,549645000,533562000,- -,586202000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,51200000,48900000,- -,18500000,17900000,- -,14900000,13400000,- -,20796000,- -,22772000,22758000,27945000,- -,- -
44,Other Non-Current Assets,- -,- -,5691000,5700000,-49200000,-47500000,- -,-17600000,-16900000,2285000,-13400000,-11200000,- -,-18686000,1072000,-21405000,-21518000,-26973000,- -,925000
45,Total Non-Current Assets,- -,- -,356290000,348616000,352300000,347500000,- -,147100000,133600000,102721000,88000000,85200000,- -,212312000,314271000,308603000,666592000,689123000,- -,760849000
46,Other Assets,138658000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,138658000,- -,409936000,425553000,442800000,407900000,- -,200600000,173600000,142835000,141300000,156600000,- -,306589000,436648000,453119000,862153000,922733000,- -,1062521000
48,Accounts Payable,- -,- -,2914000,4380000,1123000,3730000,- -,5730000,6759000,5103000,5405000,3834000,- -,5404000,7894000,12911000,15288000,13443000,- -,23469000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,330000,105000,50000,- -,- -,- -,- -,- -,- -,- -,4703000,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,5231000,3683000,- -,1158000,622000,- -,46000,2763000,- -,5160000,2176000,22772000,22758000,27945000,- -,18132000
52,Other Current Liabilities,- -,- -,16259000,26757000,11846000,8187000,- -,7682000,9214000,7603000,7849000,13803000,- -,8726000,12733000,5696000,30674000,10006000,- -,48875000
53,Total Current Liabilities,- -,- -,19173000,31137000,18200000,15600000,- -,14900000,16700000,12756000,13300000,20400000,- -,19290000,22803000,41379000,68720000,56097000,- -,90476000
54,Long-Term Debt,- -,- -,166375000,183525000,165100000,129700000,- -,90000000,68200000,45500000,37500000,72400000,- -,191792000,247873000,212679000,366614000,368971000,- -,412098000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,58219000,54320000,- -,- -,- -,- -,- -,15041000,14858000,13380000,- -,25956000,32171000,22772000,22758000,27945000,- -,28329000
57,Other Non-Current Liabilities,- -,- -,62000,- -,54300000,52100000,- -,21500000,20500000,2176000,1442000,1420000,- -,-4425000,1282000,964000,18517000,38172000,- -,46484000
58,Total Non-Current Liabilities,- -,- -,224656000,237845000,219400000,181800000,- -,111500000,88700000,62717000,53800000,87200000,- -,213323000,281326000,236415000,407889000,435088000,- -,486911000
59,Other Liabilities,86489000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28743000,- -,41262000
61,Total Liabilities,86489000,- -,243829000,268982000,237600000,197400000,- -,126400000,105400000,75473000,67100000,107600000,- -,232613000,304129000,277794000,476609000,491185000,- -,577387000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,157000,157000,300000,300000,- -,400000,400000,537000,500000,500000,- -,498000,519000,525000,607000,619000,- -,625000
64,Retained Earnings,- -,- -,6992000,- -,-1000000,-300000,- -,-163400000,-172800000,-204188000,-195200000,-168400000,- -,-152009000,-104710000,-64716000,-8900000,34788000,- -,79896000
65,Other Comprehensive Income/Loss,- -,- -,-5217000,-12432000,200000,-800000,- -,-1000000,-1000000,-2000000,-1000000,-2000000,- -,-71470000,-87565000,-95133000,-3000000,-476000,- -,2720000
66,Other Total Stockholders Equity,52169000,- -,164175000,168846000,205706000,211272000,- -,238185000,241609000,273013000,269910000,218975000,- -,296957000,324275000,334649000,396837000,396617000,- -,401893000
67,Total Stockholders Equity,52169000,- -,166107000,156571000,205206000,210472000,- -,74185000,68209000,67362000,74210000,49075000,- -,73976000,132519000,175325000,385544000,431548000,- -,485134000
68,Total Liabilities And Stockholders Equity,138658000,- -,409936000,425553000,442806000,407872000,- -,200585000,173609000,142835000,141310000,156675000,- -,306589000,436648000,453119000,862153000,922733000,- -,1062521000
69,Minority Interest,- -,- -,- -,- -,-6000,28000,- -,15000,-9000,- -,-10000,-75000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,138658000,- -,409936000,425553000,442800000,407900000,- -,200600000,173600000,142835000,141300000,156600000,- -,306589000,436648000,453119000,862153000,922733000,- -,1062521000
71,SEC Link,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1354327/000095012307004192/0000950123-07-004192-index.htm,https://www.sec.gov/Archives/edgar/data/1354327/000119312508051492/0001193125-08-051492-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1354327/000135432709000022/0001354327-09-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1354327/000135432710000012/0001354327-10-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1354327/000119312512116968/0001193125-12-116968-index.htm,https://www.sec.gov/Archives/edgar/data/1354327/000119312513086990/0001193125-13-086990-index.htm,https://www.sec.gov/Archives/edgar/data/1354327/000119312514075673/0001193125-14-075673-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1354327/000119312515098115/0001193125-15-098115-index.htm,https://www.sec.gov/Archives/edgar/data/1354327/000119312517078296/0001193125-17-078296-index.htm,https://www.sec.gov/Archives/edgar/data/1354327/000119312518082384/0001193125-18-082384-index.htm,https://www.sec.gov/Archives/edgar/data/1354327/000156459019004831/0001564590-19-004831-index.htm,https://www.sec.gov/Archives/edgar/data/1354327/000156459020006608/0001564590-20-006608-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1354327/000156459021010144/0001564590-21-010144-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,6409000,7863000,-1000000,600000,- -,-163000000,-9400000,-16898000,9000000,26800000,- -,16405000,23747000,39839000,53933000,43688000,- -,45108000
74,Depreciation and Amortization,- -,- -,15038000,15523000,22818000,16712000,- -,17088000,16166000,14092000,12233000,11080000,- -,5980000,15673000,19528000,24450000,34732000,- -,42839000
75,Deferred Income Tax,- -,- -,3073000,-4978000,3715000,-1423000,- -,-27929000,-1813000,-2324000,-82000,-3460000,- -,3329000,6277000,-9066000,-4962000,4410000,- -,-593000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,798000,518000,1773000,1363000,970000,- -,1214000,1769000,1948000,3383000,3923000,- -,5458000
77,Change in Working Capital,- -,- -,-8645000,11327000,26500000,-27500000,- -,-6200000,-15300000,-6942000,12642000,11000000,- -,23987000,-5871000,3563000,23704000,50672000,- -,33683000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,5428000,3011000,-1560000,-667000,-8234000,- -,-642000,-7069000,-17922000,-17681000,12682000,- -,-13775000
79,Inventory,- -,- -,-2754000,-2530000,2820000,1874000,- -,-218000,-351000,-1068000,73000,-1379000,- -,-3834000,-152000,-7305000,88000,815000,- -,-14793000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,34473000,45800000,72300000,44800000,- -,38600000,23300000,27358000,40000000,51000000,- -,74987000,99574000,103137000,126841000,177513000,- -,211196000
82,Other Non-Cash Items,- -,- -,2086000,-8037000,-21854000,36431000,- -,199115000,19333000,8627000,-11968000,-20659000,- -,-28665000,4770000,-6787000,-202000,-56209000,- -,-51000000
83,Cash Provided by Operating Activities,- -,- -,17961000,21698000,30179000,24820000,- -,19872000,9504000,-1672000,23188000,25731000,- -,22250000,46365000,49025000,100306000,81216000,- -,75495000
84,CAPEX,- -,- -,-12785000,-15864000,-26753000,-10569000,- -,-4485000,-2330000,-3696000,-3792000,-7550000,- -,-19301000,-17694000,-17818000,-29769000,-31268000,- -,-24800000
85,Acquisitions Net,- -,- -,-286589000,- -,- -,- -,- -,- -,-1452000,- -,- -,- -,- -,-110438000,-101338000,- -,-354584000,- -,- -,-90368000
