,https://roic.ai/company/MCFE,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,2409000000,2635000000,2906000000,1920000000
2,COGS,840000000,843000000,875000000,470000000
3,Gross Profit,1569000000,1792000000,2031000000,1450000000
4,Gross Profit Ratio,0.6513,0.6801,0.6989,0.7552
5,Research and Development Exp.,406000000,380000000,475000000,184000000
6,General and Administrative Exp.,253000000,272000000,332000000,196000000
7,Selling and Marketing Exp.,815000000,770000000,826000000,375000000
8,"Selling, General and Administrative Exp.",1068000000,1042000000,1158000000,571000000
9,Other Expenses,232000000,222000000,220000000,76000000
10,Operating Expenses,1706000000,1644000000,1853000000,831000000
11,COGS and Expenses,2546000000,2487000000,2728000000,1301000000
12,Interest Income ,- -,- -,- -,- -
13,Interest Expense (Gain),307000000,295000000,308000000,212000000
14,Depreciation and Amortization,543000000,536000000,491000000,236000000
15,EBITDA,400000000,682000000,540000000,1137000000
16,EBITDA ratio,0.1660,0.2588,0.1858,0.5922
17,Operating Income,-173000000,126000000,153000000,549000000
18,Operating Income ratio,-0.0718,0.0478,0.0526,0.2859
19,Total Other Income Expenses (Gains),-277000000,-275000000,-412000000,-462000000
20,Income Before Tax,-450000000,-149000000,-259000000,87000000
21,Income Before Tax Ratio,-0.1868,-0.0565,-0.0891,0.0453
22,Income Tax expense (Gain),62000000,87000000,30000000,-160000000
23,Net Income,-512000000,-236000000,-289000000,849000000
24,Net Income ratio,-0.2125,-0.0896,-0.0994,0.4422
25,EPS,-3.21,-0.45,-0.73,5.23
26,EPS Diluted,-3.21,-0.45,-0.73,4.82
27,Weighted Average Shares Outstanding,159700000,157700000,162300000,162400000
28,Weighted Average Shares Outstanding Diluted,159700000,157700000,162300000,176300000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1783317/000156459021009891/0001564590-21-009891-index.htm,https://www.sec.gov/Archives/edgar/data/1783317/000095017022001804/0000950170-22-001804-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,468000000,167000000,231000000,816000000
32,Short-Term Investments,- -,- -,- -,- -
33,Cash and Short-Term Investments,468000000,167000000,231000000,816000000
34,Net Receivables,347000000,409000000,392000000,192000000
35,Inventory,- -,- -,- -,- -
36,Other Current Assets,240000000,255000000,291000000,235000000
37,Total Current Assets,1055000000,831000000,914000000,1243000000
38,PP&E,178000000,171000000,149000000,51000000
39,Goodwill,2426000000,2428000000,2431000000,1018000000
40,Intangible Assets,2539000000,2071000000,1644000000,559000000
41,Intangible Assets,4965000000,4499000000,4075000000,1577000000
42,Investments,- -,- -,- -,- -
43,Tax Assets,54000000,55000000,67000000,460000000
44,Other Non-Current Assets,117000000,232000000,223000000,91000000
45,Total Non-Current Assets,5314000000,4957000000,4514000000,2179000000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,6369000000,5788000000,5428000000,3422000000
48,Accounts Payable,142000000,196000000,266000000,226000000
49,Short-Term Debt,36000000,43000000,44000000,43000000
50,Tax Payable,- -,- -,14000000,42000000
51,Deferred Revenue,1455000000,1574000000,1715000000,982000000
52,Other Current Liabilities,304000000,347000000,360000000,274000000
53,Total Current Liabilities,1937000000,2160000000,2385000000,1525000000
54,Long-Term Debt,4072000000,4669000000,3943000000,2862000000
55,Deferred Revenue,652000000,718000000,684000000,95000000
56,Deferred Tax Liabilities,140000000,160000000,12000000,10000000
57,Other Non-Current Liabilities,39000000,175000000,5044000000,7169000000
58,Total Non-Current Liabilities,4903000000,5722000000,9683000000,10136000000
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,- -,29000000,25000000,- -
61,Total Liabilities,6840000000,7882000000,12068000000,11661000000
62,Preferred Stock,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -
64,Retained Earnings,-1148000000,-1385000000,-118000000,41000000
65,Other Comprehensive Income/Loss,-107000000,-171000000,-45000000,-19000000
66,Other Total Stockholders Equity,784000000,- -,- -,- -
67,Total Stockholders Equity,-471000000,-2094000000,-6640000000,-8239000000
68,Total Liabilities And Stockholders Equity,6369000000,5788000000,5428000000,3422000000
69,Minority Interest,- -,- -,- -,- -
70,Total Liabilities & Equity,6369000000,5788000000,5428000000,3422000000
