,https://roic.ai/company/DOCU,2016,2017,2018,2019,2020,2021,2022
0,INCOME STATEMENT, , , , , , , 
1,Revenue,250481000,381459000,518504000,700969000,973971000,1453047000,2107213000
2,COGS,73855000,102477000,118273000,192421000,243234000,364058000,466451000
3,Gross Profit,176626000,278982000,400231000,508548000,730737000,1088989000,1640762000
4,Gross Profit Ratio,0.7051,0.7314,0.7719,0.7255,0.7503,0.7495,0.7786
5,Research and Development Exp.,62255000,89652000,92428000,185968000,185552000,271522000,393362000
6,General and Administrative Exp.,63669000,64360000,81526000,209297000,147315000,192697000,232757000
7,Selling and Marketing Exp.,170006000,240787000,277930000,539606000,591379000,798625000,1076527000
8,"Selling, General and Administrative Exp.",233675000,305147000,359456000,748903000,738694000,991322000,1309284000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,295930000,394799000,451884000,934871000,924246000,1262844000,1702646000
11,COGS and Expenses,369785000,497276000,570157000,1127292000,1167480000,1626902000,2169097000
12,Interest Income ,-3508000,1372000,3135000,8959000,16214000,7731000,- -
13,Interest Expense (Gain),4288000,611000,624000,10844000,27276000,28601000,-6443000
14,Depreciation and Amortization,17620000,28469000,31720000,38027000,50182000,71090000,81913000
15,EBITDA,-101684000,-85976000,-16798000,-379337000,-126098000,-129801000,8556000
16,EBITDA ratio,-0.4060,-0.2254,-0.0324,-0.5412,-0.1295,-0.0893,0.0041
17,Operating Income,-119304000,-115817000,-51653000,-426323000,-193509000,-173855000,-61884000
18,Operating Income ratio,-0.4763,-0.3036,-0.0996,-0.6082,-0.1987,-0.1196,-0.0294
19,Total Other Income Expenses (Gains),-4288000,761000,2511000,-1885000,-10047000,-55637000,-5030000
20,Income Before Tax,-123592000,-115056000,-49142000,-428208000,-203556000,-229492000,-66914000
21,Income Before Tax Ratio,-0.4934,-0.3016,-0.0948,-0.6109,-0.2090,-0.1579,-0.0318
22,Income Tax expense (Gain),-1033000,356000,3134000,-1750000,4803000,13775000,3062000
23,Net Income,-122559000,-115412000,-52276000,-426458000,-208359000,-243267000,-69976000
24,Net Income ratio,-0.4893,-0.3026,-0.1008,-0.6084,-0.2139,-0.1674,-0.0332
