,https://roic.ai/company/TANNI,2020,2021
0,INCOME STATEMENT, , 
1,Revenue,4846037000,7336844000
2,COGS,6227120000,7321427000
3,Gross Profit,-1381083000,15417000
4,Gross Profit Ratio,-0.2850,0.0021
5,Research and Development Exp.,- -,- -
6,General and Administrative Exp.,- -,- -
7,Selling and Marketing Exp.,- -,- -
8,"Selling, General and Administrative Exp.",- -,155355000
9,Other Expenses,870329000,- -
10,Operating Expenses,870329000,155355000
11,COGS and Expenses,7097449000,7476782000
12,Interest Income ,- -,- -
13,Interest Expense (Gain),-30479000,46786000
14,Depreciation and Amortization,127789000,96507000
15,EBITDA,76228000,184221000
16,EBITDA ratio,0.0157,0.0251
17,Operating Income,10776000,123050000
18,Operating Income ratio,0.0022,0.0168
19,Total Other Income Expenses (Gains),-31858000,-47596000
20,Income Before Tax,-21082000,75454000
21,Income Before Tax Ratio,-0.0044,0.0103
22,Income Tax expense (Gain),6178000,-17263000
23,Net Income,-27260000,58191000
24,Net Income ratio,-0.0056,0.0079
25,EPS,-0.69,1.47
26,EPS Diluted,-0.69,1.47
27,Weighted Average Shares Outstanding,39556001,39556001
28,Weighted Average Shares Outstanding Diluted,39556001,39556001
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1378453/000137845321000006/0001378453-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1378453/000137845322000006/0001378453-22-000006-index.htm
30,BALANCE SHEET, , 
31,Cash and Cash Equivalents,483151000,536002000
32,Short-Term Investments,- -,- -
33,Cash and Short-Term Investments,483151000,536002000
34,Net Receivables,94429000,111392000
35,Inventory,172830000,191843000
36,Other Current Assets,35506000,37947000
37,Total Current Assets,785916000,877184000
38,PP&E,2536672000,2490953000
39,Goodwill,22213000,22213000
40,Intangible Assets,11529000,10934000
41,Intangible Assets,33742000,33147000
42,Investments,- -,- -
43,Tax Assets,- -,- -
44,Other Non-Current Assets,87530000,107217000
45,Total Non-Current Assets,2657944000,2631317000
46,Other Assets,- -,- -
47,Total Assets,3443860000,3508501000
48,Accounts Payable,158075000,206420000
49,Short-Term Debt,111255000,354015000
50,Tax Payable,- -,- -
51,Deferred Revenue,- -,- -
52,Other Current Liabilities,175867000,-41157000
53,Total Current Liabilities,445197000,519278000
54,Long-Term Debt,525397000,3835499000
55,Deferred Revenue,- -,- -
56,Deferred Tax Liabilities,- -,- -
57,Other Non-Current Liabilities,1832287000,-1549129000
58,Total Non-Current Liabilities,2357684000,2286370000
59,Other Liabilities,- -,- -
60,Capital Lease Obligations,- -,- -
61,Total Liabilities,2802881000,2805648000
62,Preferred Stock,- -,- -
63,Common Stock,14000,14000
64,Retained Earnings,- -,-82560000
65,Other Comprehensive Income/Loss,-205000,-198000
66,Other Total Stockholders Equity,640757000,785597000
67,Total Stockholders Equity,640566000,702853000
68,Total Liabilities And Stockholders Equity,3443447000,3508501000
69,Minority Interest,413000,- -
70,Total Liabilities & Equity,3443860000,3508501000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1378453/000137845321000006/0001378453-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1378453/000137845322000006/0001378453-22-000006-index.htm
72,CASH FLOW STATEMENT, , 
73,Net Income,- -,58191000
74,Depreciation and Amortization,- -,96507000
75,Deferred Income Tax,- -,16949000
76,Stock Based Compensation,- -,- -
77,Change in Working Capital,- -,- -
78,Accounts Receivable,- -,-17060000
79,Inventory,- -,-19011000
80,Accounts Payable,- -,42925000
81,Other Working Capital,- -,357906000
82,Other Non-Cash Items,- -,-17186000
83,Cash Provided by Operating Activities,- -,154461000
84,CAPEX,- -,-104852000
85,Acquisitions Net,- -,- -
86,Purchases of Investments,- -,- -
87,Sales/Maturities of Investments,- -,- -
88,Other Investing Activites,- -,-93914000
89,Cash Used for Investing Activites,- -,-93914000
90,Debt Repayment,- -,682000
91,Common Stock Issued,- -,- -
92,Common Stock Repurchased,- -,- -
93,Dividends Paid,- -,- -
94,Other Financing Activites,- -,-8388000
95,Cash Used/Provided by Financing Activities,- -,-7706000
96,Effect of Forex Changes on Cash,- -,10000
97,Net Change In Cash,- -,52851000
98,Cash at the End of Period,- -,536002000
99,Cash at the Beginning of Period,- -,483151000
100,Free Cash Flow,- -,49609000
101,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1378453/000137845322000006/0001378453-22-000006-index.htm
102,false,,
