,https://roic.ai/company/ARVN,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,6669024,7578876,14323920,42976478,21801777,46000000
2,COGS,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,19942194,28792902,45193830,67193830,108355853,180000000
6,General and Administrative Exp.,3196250,3546241,12932168,27307162,38303401,61000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",3196250,3546241,12932168,27307162,38303401,61000000
9,Other Expenses,- -,- -,- -,- -,- -,1000000
10,Operating Expenses,23138444,32339143,58125998,94500992,146659254,242000000
11,COGS and Expenses,23138444,32339143,58125998,94500992,146659254,- -
12,Interest Income ,427773,201388,2470101,4557260,3585852,1000000
13,Interest Expense (Gain),67404,50357,57440,85569,65000,- -
14,Depreciation and Amortization,436329,347395,706000,2252902,4024506,5000000
15,EBITDA,-13934318,-23651454,-40717026,-67953756,-115242558,-186000000
16,EBITDA ratio,-2.0894,-3.1207,-2.8426,-1.5812,-5.2859,-4.0435
17,Operating Income,-16469420,-24760267,-43802078,-51524514,-124857477,-195300000
18,Operating Income ratio,-2.4695,-3.2670,-3.0580,-1.1989,-5.7269,-4.2457
19,Total Other Income Expenses (Gains),2031369,711061,2321612,-18767713,5525413,4300000
20,Income Before Tax,-14438051,-24049206,-41480466,-70292227,-119332064,-191000000
21,Income Before Tax Ratio,-2.1649,-3.1732,-2.8959,-1.6356,-5.4735,-4.1522
22,Income Tax expense (Gain),-87408,- -,- -,- -,- -,- -
23,Net Income,-14350643,-24049206,-41480466,-70292227,-119332064,-191000000
24,Net Income ratio,-2.1518,-3.1732,-2.8959,-1.6356,-5.4735,-4.1522
25,EPS,-0.69,-1.35,-25.45,-2.13,-3.02,-3.82
26,EPS Diluted,-0.69,-1.35,-25.45,-2.13,-3.02,-3.82
27,Weighted Average Shares Outstanding,17879297,17879297,9422799,32927697,39534497,50000000
28,Weighted Average Shares Outstanding Diluted,17879297,17879297,9422799,32927697,39534497,50000000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1655759/000156459019009357/0001564590-19-009357-index.html,https://www.sec.gov/Archives/edgar/data/1655759/000156459020011004/0001564590-20-011004-index.html,https://www.sec.gov/Archives/edgar/data/1655759/000156459021009857/0001564590-21-009857-index.htm,https://www.sec.gov/Archives/edgar/data/1655759/000162828022004262/0001628280-22-004262-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,5088548,30912391,3190056,9211057,588373232,108000000
32,Short-Term Investments,30468703,8258982,184637640,271661456,100157618,1394000000
33,Cash and Short-Term Investments,35557251,39171373,187827696,280872513,688530850,1502000000
34,Net Receivables,1410182,26040452,5031797,6280828,8443654,25000000
35,Inventory,- -,- -,- -,- -,- -,- -
36,Other Current Assets,314841,316903,2818286,3727294,6113122,25000000
37,Total Current Assets,37282274,65528728,195677779,290880635,703087626,1552000000
38,PP&E,633848,1298881,3583036,10734034,14252184,15000000
39,Goodwill,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,20760,20760,20760,26757,28777,14000000
45,Total Non-Current Assets,654608,1319641,3603796,10760791,14280961,29000000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,37936882,66848369,199281575,301641426,717368587,1581000000
48,Accounts Payable,1566006,596527,2758184,4556827,7121879,31000000
49,Short-Term Debt,141212,159265,154461,673896,952840,2000000
50,Tax Payable,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,6675443,13553136,16065957,19979525,22150861,206000000
52,Other Current Liabilities,1651593,3545936,4001276,7602904,18859840,22000000
53,Total Current Liabilities,10034254,17854864,22979878,32813152,49085420,261000000
54,Long-Term Debt,312575,151122,2000000,2000000,3087422,3000000
55,Deferred Revenue,3502194,48545625,37484714,38427882,22938233,534000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,56759,50888,150000,1714111,- -,1000000
58,Total Non-Current Liabilities,3871528,48747635,39634714,42141993,26025655,538000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,2388007,2040262,- -
61,Total Liabilities,13905782,66602499,62614592,74955145,75111075,799000000
62,Preferred Stock,56910001,61480432,- -,- -,- -,- -
63,Common Stock,947538,1192586,31236,38461,48455,- -
64,Retained Earnings,-33797760,-62417397,-302264619,-372556846,-491888910,-682000000
65,Other Comprehensive Income/Loss,-28679,-9751,-217723,107576,560796,-4000000
66,Other Total Stockholders Equity,- -,- -,439118089,599097090,1133537171,1467000000
67,Total Stockholders Equity,24031100,245870,136666983,226686281,642257512,781000000
68,Total Liabilities And Stockholders Equity,37936882,66848369,199281575,301641426,717368587,1580000000
69,Minority Interest,- -,- -,- -,- -,- -,1000000
70,Total Liabilities & Equity,37936882,66848369,199281575,301641426,717368587,1581000000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1655759/000156459019009357/0001564590-19-009357-index.html,https://www.sec.gov/Archives/edgar/data/1655759/000156459020011004/0001564590-20-011004-index.html,https://www.sec.gov/Archives/edgar/data/1655759/000156459021009857/0001564590-21-009857-index.htm,https://www.sec.gov/Archives/edgar/data/1655759/000162828022004262/0001628280-22-004262-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,-14350643,-24049206,-41480466,-70292227,-119332064,-191000000
74,Depreciation and Amortization,436329,347395,706000,2252902,4024506,5000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,525586,245048,11630300,20072710,30230858,57000000
77,Change in Working Capital,-5556001,20425844,125024037,85369582,395934723,636997794
78,Accounts Receivable,- -,-25000000,22224169,2775831,-1000000,-14000000
79,Inventory,- -,- -,- -,- -,- -,- -
80,Accounts Payable,1196476,-969479,2002163,1608735,2042342,23000000
81,Other Working Capital,27248020,47673864,172697901,258067483,654002206,1291000000
82,Other Non-Cash Items,-458400,8144013,-111997541,-78029309,-400614957,51002206
83,Cash Provided by Operating Activities,-19403129,5113094,-16117670,-40626342,-89756934,559000000
84,CAPEX,-306667,-1012428,-2830661,-6244024,-6447533,-4000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-36716220,-3200895,-234894225,-256548355,-41196166,-1744000000
87,Sales/Maturities of Investments,16909338,25085435,58059526,169695816,211893778,435000000
88,Other Investing Activites,-50000,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-20113549,20872112,-179665360,-93096563,164250079,-1313000000
90,Debt Repayment,-149739,-161363,-173889,-169610,- -,- -
91,Common Stock Issued,- -,- -,114583172,137686006,525643101,264000000
92,Common Stock Repurchased,- -,- -,-3423589,-597131,-29234831,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,57075001,2824641,8260760,14000000
95,Cash Used/Provided by Financing Activities,-149739,-161363,168060695,139743906,504669030,278000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-39666417,25823843,-27722335,6021001,579162175,-476000000
98,Cash at the End of Period,5088548,30912391,3190056,9211057,588373232,112000000
