,https://roic.ai/company/SCHL,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,374600000,422900000,489300000,552300000,631600000,749900000,928600000,966300000,1058400000,1154700000,1402500000,1962300000,1917000000,1958300000,2233800000,2079900000,2283800000,2179100000,2205600000,1849300000,1912900000,1906100000,2148800000,1792400000,1822300000,1635800000,1672800000,1741600000,1628400000,1653900000,1487100000,1300300000
2,COGS,179800000,198600000,234200000,252000000,279600000,335400000,436600000,490600000,493600000,509900000,631000000,938100000,852100000,882100000,1086800000,970500000,1103100000,1005300000,1053700000,868800000,859800000,885900000,989200000,829600000,846000000,758500000,762300000,814500000,744600000,779900000,751000000,666500000
3,Gross Profit,194800000,224300000,255100000,300300000,352000000,414500000,492000000,475700000,564800000,644800000,771500000,1024200000,1064900000,1076200000,1147000000,1109400000,1180700000,1173800000,1151900000,980500000,1053100000,1020200000,1159600000,962800000,976300000,877300000,910500000,927100000,883800000,874000000,736100000,633800000
4,Gross Profit Ratio,0.5200,0.5304,0.5214,0.5437,0.5573,0.5527,0.5298,0.4923,0.5336,0.5584,0.5501,0.5219,0.5555,0.5496,0.5135,0.5334,0.5170,0.5387,0.5223,0.5302,0.5505,0.5352,0.5397,0.5372,0.5358,0.5363,0.5443,0.5323,0.5427,0.5284,0.4950,0.4874
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,399600000,440300000,493300000,592600000,883100000,842400000,898600000,975200000,911400000,975600000,984100000,880600000,805900000,803400000,835700000,870300000,815000000,812500000,771100000,777700000,777800000,763200000,781400000,705300000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",156400000,180400000,206300000,234200000,274700000,322800000,367400000,399600000,440300000,493300000,592600000,883100000,842400000,898600000,975200000,911400000,975600000,984100000,880600000,805900000,803400000,835700000,870300000,815000000,812500000,771100000,777700000,777800000,763200000,781400000,705300000,584900000
9,Other Expenses,3500000,3900000,4500000,17000000,21700000,24000000,42500000,58400000,64900000,73600000,71400000,42400000,37800000,58900000,56800000,63100000,65800000,67000000,64600000,60700000,69000000,73700000,68800000,66500000,61400000,47900000,38900000,38700000,43900000,56100000,61500000,60500000
10,Operating Expenses,159900000,184300000,210800000,251200000,296400000,346800000,409900000,458000000,505200000,566900000,664000000,925500000,880200000,957500000,1032000000,974500000,1041400000,1051100000,945200000,866600000,872400000,909400000,939100000,881500000,873900000,819000000,816600000,816500000,807100000,837500000,766800000,645400000
