,https://roic.ai/company/THTX,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,371058,281096,716146,1018648,802465,2859595,5477027,3086287,2230981,14093925,1444590,3132434,2126580,16515080,31257847,15120000,13540000,7380000,5052537,22249778,27444477,31732307,45217000,63216000,66053000,69823000
2,COGS,148423,- -,195313,203730,75557,151944,- -,- -,- -,- -,- -,- -,- -,- -,460020,40000,- -,3620000,1842540,2978975,4928931,6758217,13407000,26092000,26902000,23260000
3,Gross Profit,222635,400000,520833,814918,726908,2707651,8571000,4006000,2649000,16461000,1649000,3134000,2641000,16515080,30797826,15080000,- -,3760000,3209997,19270803,22515546,24974090,31810000,37124000,39151000,46563000
4,Gross Profit Ratio,0.6000,1.4230,0.7273,0.8000,0.9058,0.9469,1.5649,1.2980,1.1874,1.1679,1.1415,1.0005,1.2419,1.0000,0.9853,0.9974,- -,0.5095,0.6353,0.8661,0.8204,0.7870,0.7035,0.5873,0.5927,0.6669
5,Research and Development Exp.,2671614,2951511,2864583,3191764,4221407,8869958,15101284,18686441,14289564,11789888,18480070,31850075,28445124,21013520,13794727,11130000,6330000,7200000,4184929,3589725,5091057,8725940,7994000,10841000,18019000,28274000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10795121,7848792,12860000,6300000,3970000,8683579,11202251,13023394,22160201,25754000,32400000,12230000,14616000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2442091,2618879,- -,- -,- -,- -,- -,- -,- -,- -,- -,26859000,28909000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13237213,10467671,12860000,6300000,3970000,8683579,11202251,13023394,22160201,25754000,32400000,39089000,43525000
9,Other Expenses,1484230,1756852,1432292,1629837,2925218,2640262,9158258,7118481,7620492,8961535,5824208,8796169,13148287,-1369954,0,-908458,109719,-398393,-1487729,1576161,1591698,3062884,793634,2412000,- -,- -
10,Operating Expenses,4155844,4708363,4296875,4821601,7146626,11510220,24259542,25804921,21910056,20751423,24304278,40646244,41593412,32880779,24262398,23081542,12739719,10771607,11380779,16368137,19706149,33949025,34541634,45653000,57108000,71799000
11,COGS and Expenses,4304267,4708363,4492188,5025330,7222182,11662163,21165570,24885208,21492037,18384349,24099869,40644678,41078992,32880779,24722418,34120000,28350000,11760000,14711048,19181226,24529168,39948179,48778000,71729000,84010000,95059000
12,Interest Income ,- -,- -,- -,- -,2196000,3796000,5076000,3809000,2380000,1605000,1452000,2496000,2427000,4258296,1532094,1551424,917099,428566,172859,30663,77407,262647,595740,1097000,299000,195000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17655,615921,- -,- -,1050251,1869704,1436504,1065351,2479364,4990000,5362000,6621000
14,Depreciation and Amortization,74212,140548,65104,203730,300273,627483,1435235,13214946,1096541,1318550,915462,1111444,4849827,578614,775855,321518,567776,113970,996997,1433689,1568989,1547906,4147587,7495000,8520000,8748000
15,EBITDA,-3636364,-3865074,-3255208,-3123854,4074202,17605137,-7542974,-14456857,-18119036,-10961942,-21739816,-36457771,-34568001,-13657937,9664352,-17082561,-13342224,-3816030,-5840774,4887640,3782070,-11045316,657951,-11000,-8769000,-16293000
16,EBITDA ratio,-9.8000,-13.7500,-4.5455,-3.0667,5.0771,6.1565,-1.3772,-4.6842,-8.1216,-0.7778,-15.0491,-11.6388,-16.2552,-0.8270,0.3092,-1.1298,-0.9854,-0.5171,-1.1560,0.2197,0.1378,-0.3481,0.0146,-0.0002,-0.1328,-0.2333
17,Operating Income,-3933210,-4427266,-3776042,-4006682,-6419718,-8802568,-15688542,-32134052,-19261056,-4290423,-22655278,-37512244,-38952412,-14236551,6535428,-18175479,-14945387,-4222553,-11234984,3099969,2931063,-8623825,-3415527,-8513000,-17957000,-25236000
18,Operating Income ratio,-10.6000,-15.7500,-5.2727,-3.9333,-8.0000,-3.0783,-2.8644,-10.4119,-8.6334,-0.3044,-15.6828,-11.9754,-18.3169,-0.8620,0.2091,-1.2021,-1.1038,-0.5722,-2.2236,0.1393,0.1068,-0.2718,-0.0755,-0.1347,-0.2719,-0.3614
19,Total Other Income Expenses (Gains),296846,421644,455729,- -,8763279,25363171,6710333,4462250,-1507533,-7990068,- -,-56972,-465416,- -,2335413,145479,1045387,282553,3346962,-1515723,-2154486,-5034748,-2553473,-3983000,-4694000,-6426000
20,Income Before Tax,-3636364,- -,- -,- -,- -,- -,-8978209,-27671803,- -,- -,- -,- -,- -,- -,8870841,-18030000,-13900000,-3940000,-7888022,1584246,776577,-13658573,-5969000,-12496000,-22651000,-31662000
21,Income Before Tax Ratio,-9.8000,- -,- -,- -,- -,- -,-1.6392,-8.9661,- -,- -,- -,- -,- -,- -,0.2838,-1.1925,-1.0266,-0.5339,-1.5612,0.0712,0.0283,-0.4304,-0.1320,-0.1977,-0.3429,-0.4535
22,Income Tax expense (Gain),-222635,- -,- -,- -,- -,- -,182759,-2425270,- -,- -,- -,- -,- -,- -,111817,-70000,- -,30000,23266,421232,473053,- -,-1269000,- -,16000,63000
23,Net Income,-3487941,-4005622,-3320313,-3327584,3773929,16977653,-9160969,-25246533,-19215577,-12280491,-22655278,-37569215,-39417828,-14236551,8759024,-17950000,-13910000,-3960000,-7911288,1163015,303524,-13658573,-4700000,-12496000,-22667000,-31725000
24,Net Income ratio,-9.4000,-14.2500,-4.6364,-3.2667,4.7029,5.9371,-1.6726,-8.1802,-8.6131,-0.8713,-15.6828,-11.9936,-18.5358,-0.8620,0.2802,-1.1872,-1.0273,-0.5366,-1.5658,0.0523,0.0111,-0.4304,-0.1039,-0.1977,-0.3432,-0.4544
25,EPS,-0.24,-0.24,-0.18,-0.16,0.16,0.62,-0.30,-0.82,-0.56,-0.34,-0.53,-0.71,-0.68,-0.24,0.15,-0.28,-0.23,-0.07,-0.15,0.02,0.01,-0.19,-0.06,-0.16,-0.29,-0.41
26,EPS Diluted,-0.24,-0.24,-0.18,-0.16,0.16,0.60,-0.30,-0.82,-0.56,-0.34,-0.53,-0.71,-0.68,-0.24,0.15,-0.28,-0.23,-0.07,-0.15,0.01,0.01,-0.19,-0.06,-0.16,-0.29,-0.41
27,Weighted Average Shares Outstanding,14687500,16764706,18214286,20416667,24615315,27566611,30502128,30915094,34569697,35857500,43101667,52581559,57415468,60314309,60480032,60733780,60983651,61010603,61010603,62487014,65812579,73468903,75942385,76928287,76991635,76991635
28,Weighted Average Shares Outstanding Diluted,14687500,16764706,18214286,20416667,26895969,28366706,30502128,30915094,35476423,35857500,43101667,52581559,57415468,60314309,61322991,60733780,60983651,61010603,61010603,63171771,66595808,73468903,75942385,76928287,76991635,76991635
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1512717/000119312512045045/0001193125-12-045045-index.html,https://www.sec.gov/Archives/edgar/data/1512717/000119312513078305/0001193125-13-078305-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1512717/000119312520047314/0001193125-20-047314-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,125248,40832,367198,930691,14017,2576712,107094,1436135,26138771,2500000,1500000,900000,520865,11363636,783980,1302932,38997000,28661000,12737000,20399000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,24984344,30279661,14749404,10715356,15788874,27452274,8821161,9488513,1824388,700000,100000,100000,74302,- -,4918567,15770654,9691000,11964000,8031000,19955000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,25109592,30320493,15116602,11646046,15802891,30028986,8928255,10924648,27963159,3200000,1600000,1000000,595167,11363636,5702547,17073586,48688000,40625000,20768000,40354000
34,Net Receivables,- -,- -,- -,- -,- -,- -,1752828,1217257,967685,1058264,1927289,1868066,1927691,1929659,483561,2100000,1600000,500000,1770489,3406130,4967427,7208321,10952000,10116000,13185000,10928000
35,Inventory,- -,- -,- -,- -,- -,- -,1273564,762712,1298668,1651612,744634,2108946,242371,2374965,4234346,10100000,12900000,10400000,7969078,9405537,9079805,6913681,11084000,20929000,25145000,29141000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,346987,459938,170124,363885,342532,413793,319671,285525,1207431,2700000,1100000,400000,2764936,1304413,1291086,1818182,2882000,4511000,5709000,11485000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,28482970,32760401,17553079,14719808,18817346,34419790,11417989,15514796,33888497,18100000,17200000,12300000,13099670,25479716,21040865,33013770,73606000,76181000,64807000,91908000
38,PP&E,- -,- -,- -,- -,- -,- -,4823950,4101695,1881469,6679224,1384144,1721139,1045978,1161955,1039705,1000000,400000,300000,109577,82174,34794,45899,101000,1071000,3483000,2854000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,13453895,- -,6180045,712359,5434954,5895052,482325,- -,- -,- -,- -,200000,11298409,11514658,15253924,16117856,32209000,39684000,31852000,23829000
