,https://roic.ai/company/HHC,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,136348000,142719000,275691000,376886000,474610000,634565000,797088000,1035005000,1100120000,1064537000,1300539000,699489000,1427901000
2,COGS,103271000,111347000,196262000,244345000,306118000,366383000,495781000,636395000,711389000,719523000,873135000,497506000,927894000
3,Gross Profit,33077000,31372000,79429000,132541000,168492000,268182000,301307000,398610000,388731000,345014000,427404000,201983000,500007000
4,Gross Profit Ratio,0.2426,0.2198,0.2881,0.3517,0.3550,0.4226,0.3780,0.3851,0.3534,0.3241,0.3286,0.2888,0.3502
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,25466000,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,23023000,21538000,35182000,34423000,48466000,73569000,81345000,86588000,89882000,104625000,156251000,109402000,81990000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8166000,- -
8,"Selling, General and Administrative Exp.",23023000,21538000,35182000,34423000,48466000,73569000,81345000,86588000,89882000,104625000,156251000,117568000,81990000
9,Other Expenses,702729000,521701000,16782000,25653000,8812000,27891000,75732000,90075000,131714000,133579000,143205000,215180000,216156000
10,Operating Expenses,725752000,543239000,51964000,60076000,57278000,101460000,182543000,176663000,221596000,238204000,299456000,332748000,298146000
11,COGS and Expenses,829023000,654586000,248226000,304421000,363396000,467843000,678324000,813058000,932985000,957727000,1172591000,830254000,1226040000
12,Interest Income ,1689000,369000,9876000,9437000,3185000,22531000,586000,1359000,4043000,8486000,9797000,2368000,107000
13,Interest Expense (Gain),977000,2422000,- -,964000,9759000,38624000,59744000,65724000,64568000,82028000,105374000,132257000,130036000
14,Depreciation and Amortization,19841000,16563000,17079000,24525000,34058000,56626000,99459000,94007000,130925000,128246000,155170000,217436000,205152000
15,EBITDA,-706763000,-683905000,145934000,-95912000,-20403000,134679000,309923000,480484000,318096000,282778000,363745000,335192000,406441000
16,EBITDA ratio,-5.1835,-4.7920,0.5293,-0.2545,-0.0430,0.2122,0.3888,0.4642,0.2891,0.2656,0.2797,0.4792,0.2846
17,Operating Income,-692675000,-511867000,27465000,72465000,111214000,166722000,118764000,326762000,218502000,106810000,150310000,-119561000,241872000
18,Operating Income ratio,-5.0802,-3.5865,0.0996,0.1923,0.2343,0.2627,0.1490,0.3157,0.1986,0.1003,0.1156,-0.1709,0.1694
19,Total Other Income Expenses (Gains),712000,-142953000,102680000,-193121000,-175339000,-127282000,31956000,-5986000,-97680000,-33592000,-46770000,128041000,-177795000
20,Income Before Tax,-691963000,-654820000,130145000,-120656000,-64125000,39440000,150720000,320776000,120822000,73218000,103540000,8480000,64077000
21,Income Before Tax Ratio,-5.0750,-4.5882,0.4721,-0.3201,-0.1351,0.0622,0.1891,0.3099,0.1098,0.0688,0.0796,0.0121,0.0449
22,Income Tax expense (Gain),-23969000,-633459000,-18325000,6887000,9570000,62960000,24001000,118450000,-45801000,15492000,29245000,11653000,15153000
23,Net Income,-703612000,-69431000,147180000,-128288000,-73790000,-23531000,126719000,202303000,168404000,57012000,73956000,-26154000,56100000
24,Net Income ratio,-5.1604,-0.4865,0.5339,-0.3404,-0.1555,-0.0371,0.1590,0.1955,0.1531,0.0536,0.0569,-0.0374,0.0393
25,EPS,-18.66,-1.84,3.88,-3.36,-1.87,-0.60,3.21,5.12,4.07,1.32,1.71,-0.50,8.84
26,EPS Diluted,-18.66,-1.84,1.17,-3.36,-1.87,-0.60,1.60,4.73,3.91,1.32,1.71,-0.50,8.84
27,Weighted Average Shares Outstanding,37716000,37726000,37908000,38127000,39449000,39464000,39476324,39512305,41364000,43190909,43249123,52308000,6346000
28,Weighted Average Shares Outstanding Diluted,37716000,37726000,38982000,38127000,39449000,39464000,39476324,42770190,43089000,43190909,43249123,52308000,6346000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1498828/000110465911019165/a11-8932_110k.htm,https://www.sec.gov/Archives/edgar/data/1498828/000119312512089462/0001193125-12-089462-index.html,https://www.sec.gov/Archives/edgar/data/1498828/000104746913001963/0001047469-13-001963-index.html,https://www.sec.gov/Archives/edgar/data/1498828/000104746914001497/a2218444z10-k.htm,https://www.sec.gov/Archives/edgar/data/1498828/000155837015000245/hhc-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1498828/000155837016003656/0001558370-16-003656-index.html,https://www.sec.gov/Archives/edgar/data/1498828/000155837017000885/0001558370-17-000885-index.html,https://www.sec.gov/Archives/edgar/data/1498828/000155837018001095/0001558370-18-001095-index.html,https://www.sec.gov/Archives/edgar/data/1498828/000162828019002143/0001628280-19-002143-index.html,https://www.sec.gov/Archives/edgar/data/1498828/000162828020002426/0001628280-20-002426-index.html,https://www.sec.gov/Archives/edgar/data/1498828/000162828021003287/0001628280-21-003287-index.htm,https://www.sec.gov/Archives/edgar/data/1498828/000162828022004247/0001628280-22-004247-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,3204000,284682000,227566000,229197000,894948000,560451000,445301000,665510000,861059000,499676000,422857000,1014686000,843212000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,3204000,284682000,227566000,229197000,894948000,560451000,445301000,665510000,861059000,499676000,422857000,1014686000,843212000
34,Net Receivables,17359000,370633000,469368000,498572000,540785000,217425000,459860000,456781000,399342000,271605000,384538000,387728000,574791000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,198352000,60731000,56943000,58546000
36,Other Current Assets,142489000,133206000,137494000,37238000,45231000,170617000,81822000,265678000,131921000,259190000,228005000,294342000,440341000
37,Total Current Assets,163052000,788521000,834428000,765007000,1480964000,948493000,986983000,1387969000,1392322000,1228823000,1096131000,1753699000,1916890000
38,PP&E,- -,- -,2495763000,2360492000,21978000,20284000,18772000,17556000,16955000,15543000,69398000,56255000,57022000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,1307000,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,37467000,34117000,60627000,49090000,41504000,65918000,59834000,88302000,82071000,73977000
41,Intangible Assets,- -,- -,- -,37467000,34117000,60627000,49090000,41504000,65918000,59834000,88302000,82071000,73977000
42,Investments,2742175000,2234186000,64958000,32179000,61021000,53686000,57811000,76376000,76593000,- -,79166000,2926000,2913000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,307897000,2969788000,4036841000,4608926000,4843977000,5177276000,6051599000,7080769000,7245381000,7530892000
45,Total Non-Current Assets,2742175000,2234186000,2560721000,2738035000,3086904000,4171438000,4734599000,4979413000,5336742000,6126976000,7317635000,7386633000,7664804000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2905227000,3022707000,3395149000,3503042000,4567868000,5119931000,5721582000,6367382000,6729064000,7355799000,8413766000,9140332000,9581694000
48,Accounts Payable,68062000,78836000,45078000,39634000,46998000,34154000,33928000,33050000,35887000,38748000,37480000,28589000,72828000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,3439000,6622000,8581000,9903000,15134000,16726000,22289000,26171000,27559000,38863000,26965000
51,Deferred Revenue,- -,- -,5739000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,74587000,98804000,202959000,350288000,332894000,425392000,407596000,660380000,567969000,679292000,781042000
53,Total Current Liabilities,68062000,78836000,125404000,138438000,249957000,384442000,366822000,458442000,443483000,699128000,605449000,707881000,853870000
54,Long-Term Debt,208860000,318660000,606477000,688312000,1514623000,1993470000,2443962000,2690747000,2857945000,3181213000,4096470000,4287369000,4660520000
55,Deferred Revenue,- -,- -,- -,15863000,28453000,78431000,144315000,113717000,72274000,63627000,87563000,92457000,102845000
56,Deferred Tax Liabilities,782817000,78680000,205905000,77147000,89365000,62205000,89221000,200945000,160850000,157188000,180748000,187639000,204837000
57,Other Non-Current Liabilities,341968000,367424000,127764000,272285000,440324000,373877000,313373000,332021000,5961000,16517000,110548000,149963000,26452000
