,https://roic.ai/company/ARGQ,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,2061160,288041,609000,174349,515000,3313356,1511178,224526,143947,112080
2,COGS,- -,- -,- -,- -,- -,- -,- -,1246311,759815,380770
3,Gross Profit,2061160,288041,609000,174349,515000,3313356,- -,-1021785,-615868,-268690
4,Gross Profit Ratio,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,- -,-4.5509,-4.2784,-2.3973
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,291913,- -,2411123,1853764,1385371,1858963,1311278,165624,501810,324733
7,Selling and Marketing Exp.,- -,- -,- -,267408,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",291913,- -,2411123,2121172,1385371,1858963,1311278,165624,501810,324733
9,Other Expenses,- -,889984,117,1382,4372,11251,11478,9349,11787,25399
10,Operating Expenses,291913,889984,2411240,2122554,1389743,1870214,1322756,174973,513597,350132
11,COGS and Expenses,291913,889984,2411240,2122554,1389743,1870214,1322756,1421284,1273412,730902
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,77847,152472,608973,337106,- -,165464,196603,195830
14,Depreciation and Amortization,- -,- -,117,1382,4372,11251,11478,9349,11787,25476
15,EBITDA,1769247,-1688102,-2777592,-2191104,-1608784,595791,-4524,-3533528,-1412109,-1648667
16,EBITDA ratio,0.8584,-5.8606,-4.5609,-12.5673,-3.1239,0.1798,-0.0030,-15.7377,-9.8099,-14.7097
17,Operating Income,- -,- -,-2777240,-2191435,-876743,1443142,188422,-1226758,-1159465,-618822
18,Operating Income ratio,- -,- -,-4.5603,-12.5692,-1.7024,0.4356,0.1247,-5.4638,-8.0548,-5.5213
19,Total Other Income Expenses (Gains),- -,-1086160,-78316,-153523,-1345386,-1195708,-204424,-2481583,-461034,-1216146
20,Income Before Tax,- -,- -,-2855556,-2344958,-2222129,247434,-16002,-3708341,-1620499,-1834968
21,Income Before Tax Ratio,- -,- -,-4.6889,-13.4498,-4.3148,0.0747,-0.0106,-16.5163,-11.2576,-16.3719
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,2832,- -,- -
23,Net Income,1769247,-1688102,-2855556,-2344958,-2222129,247434,-16002,-3711173,-1620499,-1869973
24,Net Income ratio,0.8584,-5.8606,-4.6889,-13.4498,-4.3148,0.0747,-0.0106,-16.5289,-11.2576,-16.6843
25,EPS,0.08,-0.06,-0.10,-0.08,-0.07,0.00,-0.00,-0.01,-0.00,-0.00
26,EPS Diluted,0.08,-0.06,-0.10,-0.08,-0.07,0.00,-0.00,-0.01,-0.00,-0.00
27,Weighted Average Shares Outstanding,21092405,28735897,29149498,30474948,32487859,373102366,732119702,423709805,525534409,573178505
28,Weighted Average Shares Outstanding Diluted,21092405,28735897,29149498,30474948,32487859,373102366,732119702,423709805,525534409,1706934261
