,https://roic.ai/company/MOTS,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,- -,- -,7000,36000,107000,98000,391000
2,COGS,- -,- -,3000,54000,136000,496000,181000
3,Gross Profit,- -,- -,4000,-18000,-29000,-398000,210000
4,Gross Profit Ratio,- -,- -,0.5714,-0.5000,-0.2710,-4.0612,0.5371
5,Research and Development Exp.,3160000,3079000,4266000,6048000,9013000,5555000,5341000
6,General and Administrative Exp.,1743000,1860000,6287000,8547000,9497000,9562000,9273000
7,Selling and Marketing Exp.,415000,1034000,2415000,4312000,4897000,3532000,3077000
8,"Selling, General and Administrative Exp.",2158000,2894000,8702000,12859000,14394000,13094000,12350000
9,Other Expenses,- -,- -,- -,-38000,- -,- -,- -
10,Operating Expenses,5318000,5973000,12968000,18869000,23407000,18649000,17691000
11,COGS and Expenses,5325000,6007000,12971000,18923000,23543000,19145000,18315000
12,Interest Income ,-633000,-1907000,- -,103000,273000,- -,- -
13,Interest Expense (Gain),5000,86000,6000,- -,- -,464000,- -
14,Depreciation and Amortization,45000,46000,65000,152000,223000,377000,439000
15,EBITDA,-5913000,-7868000,-13129000,-22105000,-22863000,-18416000,438460
16,EBITDA ratio,-Infinity,-Infinity,-1875.5714,-614.0278,-213.6729,-187.9184,1.1214
17,Operating Income,-5325000,-6007000,-12964000,-18925000,-23436000,-19047000,-17481000
18,Operating Income ratio,-Infinity,-Infinity,-1852.0000,-525.6944,-219.0280,-194.3571,-44.7084
19,Total Other Income Expenses (Gains),-637000,-1966000,-236000,-3332000,350000,-210000,17480460
20,Income Before Tax,-5962000,-7973000,-13200000,-22257000,-23086000,-19257000,-540
21,Income Before Tax Ratio,-Infinity,-Infinity,-1885.7143,-618.2500,-215.7570,-196.5000,-0.0014
22,Income Tax expense (Gain),29000,50000,- -,- -,- -,- -,- -
23,Net Income,-5991000,-8023000,-13200000,-22257000,-23086000,-19257000,-540
24,Net Income ratio,-Infinity,-Infinity,-1885.7143,-618.2500,-215.7570,-196.5000,-0.0014
25,EPS,-5.08,-6.80,-0.81,-1.47,-0.92,-0.60,-0.00
26,EPS Diluted,-5.08,-6.80,-0.81,-1.47,-0.92,-0.60,-0.00
27,Weighted Average Shares Outstanding,1179311,1179311,16322972,15137144,25133190,32120017,32095000
28,Weighted Average Shares Outstanding Diluted,1179311,12070950,16322972,15137144,25133190,32120017,32095000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1686850/000161577419004560/0001615774-19-004560-index.htm,https://www.sec.gov/Archives/edgar/data/1686850/000121390020007971/0001213900-20-007971-index.htm,https://www.sec.gov/Archives/edgar/data/1686850/000121390021015694/0001213900-21-015694-index.htm,https://www.sec.gov/Archives/edgar/data/1686850/000149315222008021/0001493152-22-008021-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,1292000,11644000,6939000,18050000,20528000,20819000,22563000
32,Short-Term Investments,- -,- -,76000,3043000,8203000,- -,- -
33,Cash and Short-Term Investments,1292000,11644000,7015000,21093000,28731000,20819000,22563000
34,Net Receivables,- -,- -,- -,5000,83000,35000,109000
35,Inventory,- -,81000,6000,23000,1014000,805000,496000
36,Other Current Assets,180000,270000,1265000,930000,339000,448000,793000
37,Total Current Assets,1472000,11995000,8286000,22051000,30167000,22107000,23961000
38,PP&E,157000,141000,783000,846000,2077000,1944000,2115000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,86000,55000,99000,57000,13000,13000,13000
45,Total Non-Current Assets,243000,196000,882000,903000,2090000,1957000,2128000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1715000,12191000,9168000,22954000,32257000,24064000,26089000
48,Accounts Payable,462000,107000,882000,- -,- -,2333,- -
49,Short-Term Debt,- -,- -,- -,- -,7754000,7979000,-3411000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,236000,645000,1101000,2393000,3590000,2628667,6312000
53,Total Current Liabilities,698000,752000,1983000,2393000,11344000,10610000,2901000
54,Long-Term Debt,4740000,- -,- -,- -,- -,547,7937000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,1410000,1662000,2044000,2585000,2163453,5594000
58,Total Non-Current Liabilities,4740000,1410000,1662000,2044000,2585000,2164000,13531000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,1034000,785000,- -
61,Total Liabilities,5438000,2162000,3645000,4437000,13929000,12774000,16432000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,1000,1000,2000,3000,3000,5000
64,Retained Earnings,-17898000,-25921000,-39121000,-61378000,-84464000,-103721000,-122754000
65,Other Comprehensive Income/Loss,-144000,-190000,-255000,-407000,-630000,- -,- -
66,Other Total Stockholders Equity,14319000,36139000,44898000,80300000,103419000,115008000,132406000
67,Total Stockholders Equity,-3723000,10029000,5523000,18517000,18328000,11290000,9657000
68,Total Liabilities And Stockholders Equity,1715000,12191000,9168000,22954000,32257000,24064000,26089000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1715000,12191000,9168000,22954000,32257000,24064000,26089000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1686850/000161577419004560/0001615774-19-004560-index.htm,https://www.sec.gov/Archives/edgar/data/1686850/000121390020007971/0001213900-20-007971-index.htm,https://www.sec.gov/Archives/edgar/data/1686850/000121390021015694/0001213900-21-015694-index.htm,https://www.sec.gov/Archives/edgar/data/1686850/000149315222008021/0001493152-22-008021-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-5991000,-8023000,-13200000,-22257000,-23086000,-19257000,-540
74,Depreciation and Amortization,45000,46000,65000,152000,223000,377000,439000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,11000,54000,2220000,2475000,3205000,3073000,3472000
77,Change in Working Capital,379000,10469000,-4940000,13355000,-835000,-7326000,9563000
78,Accounts Receivable,- -,- -,- -,-5000,-60000,30000,-74000
79,Inventory,- -,-81000,75000,-381000,-975000,-621000,443000
80,Accounts Payable,371000,-355000,210000,- -,- -,-489000,303000
81,Other Working Capital,774000,11243000,6303000,19658000,18823000,11497000,21060000
82,Other Non-Cash Items,633000,-8672000,5457000,-8658000,578000,6140000,-27895460
83,Cash Provided by Operating Activities,-4923000,-6126000,-10398000,-14933000,-19915000,-16993000,-14422000
84,CAPEX,-68000,-30000,-707000,-547000,-468000,-88000,-470000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-9906000,-9655000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,6830000,4500000,8203000,- -
88,Other Investing Activites,-86000,24000,-37000,126000,- -,- -,- -
89,Cash Used for Investing Activites,-154000,-6000,-744000,-3497000,-5623000,8115000,-470000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-8220000
91,Common Stock Issued,1514000,- -,6474000,31000000,20000000,9994000,235000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,4107000,16484000,-37000,-1459000,8016000,-825000,24621000
95,Cash Used/Provided by Financing Activities,5621000,16484000,6437000,29541000,28016000,9169000,16636000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,544000,10352000,-4705000,11111000,2478000,291000,1744000
98,Cash at the End of Period,1292000,11644000,6939000,18050000,20528000,20819000,22563000
99,Cash at the Beginning of Period,748000,1292000,11644000,6939000,18050000,20528000,20819000
100,Free Cash Flow,-4991000,-6156000,-11105000,-15480000,-20383000,-17081000,-14892000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1686850/000161577419004560/0001615774-19-004560-index.htm,https://www.sec.gov/Archives/edgar/data/1686850/000121390020007971/0001213900-20-007971-index.htm,https://www.sec.gov/Archives/edgar/data/1686850/000121390021015694/0001213900-21-015694-index.htm,https://www.sec.gov/Archives/edgar/data/1686850/000149315222008021/0001493152-22-008021-index.htm
102,false,,,,,,,
