,https://roic.ai/company/STSA,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -
5,Research and Development Exp.,4193000,6433000,24196000,36270000,- -
6,General and Administrative Exp.,754000,1082000,4685000,12058000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",754000,1082000,4685000,12058000,- -
9,Other Expenses,- -,- -,- -,- -,- -
10,Operating Expenses,4947000,7515000,28881000,48328000,- -
11,COGS and Expenses,4947000,7515000,28881000,48328000,51166000
12,Interest Income ,30000,72000,1189000,1115000,157000
13,Interest Expense (Gain),15000,90000,482000,350000,- -
14,Depreciation and Amortization,10000,57000,141000,239000,- -
15,EBITDA,-5147000,-7199000,-28740000,-46974000,- -
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,- -
17,Operating Income,-4947000,-7515000,-28881000,-48328000,-51166000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),-225000,169000,706000,765000,-6000
20,Income Before Tax,-5172000,-7346000,-28175000,-47563000,-51172000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -
23,Net Income,-5172000,-7346000,-28175000,-47563000,-51172000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-0.76,-1.86,-4.80,-2.73,-1.62
26,EPS Diluted,-0.76,-1.86,-4.80,-2.73,-1.62
27,Weighted Average Shares Outstanding,6802221,3942460,5863950,17405688,31529417
28,Weighted Average Shares Outstanding Diluted,6802221,3942460,5863950,17405688,31529417
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1692830/000156459020009753/0001564590-20-009753-index.htm,https://www.sec.gov/Archives/edgar/data/1692830/000156459021015557/0001564590-21-015557-index.htm,https://www.sec.gov/Archives/edgar/data/1692830/000156459022010433/0001564590-22-010433-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,1658000,5205000,22755000,36326000,15835000
32,Short-Term Investments,- -,- -,84942000,31910000,77315000
33,Cash and Short-Term Investments,1658000,5205000,107697000,68236000,93150000
34,Net Receivables,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,256000,199000,7047000,5550000,6698000
37,Total Current Assets,1914000,5404000,114744000,73786000,99848000
38,PP&E,70000,445000,832000,6473000,6792000
39,Goodwill,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -
42,Investments,- -,- -,10203000,- -,2620000
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,532000,497000,774000,- -
45,Total Non-Current Assets,70000,977000,11532000,7247000,- -
46,Other Assets,- -,- -,- -,- -,9984000
47,Total Assets,1984000,6381000,126276000,81033000,109832000
48,Accounts Payable,473000,327000,4282000,3381000,- -
49,Short-Term Debt,- -,141000,1979000,1990000,- -
50,Tax Payable,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -
52,Other Current Liabilities,1227000,1497000,1710000,2675000,- -
53,Total Current Liabilities,1700000,1965000,7971000,8046000,- -
54,Long-Term Debt,94000,4824000,2951000,1042000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,5622000,11724000,19000,9000,- -
58,Total Non-Current Liabilities,5716000,16548000,2970000,1051000,- -
59,Other Liabilities,- -,- -,- -,- -,8492000
60,Capital Lease Obligations,- -,- -,- -,- -,- -
61,Total Liabilities,7416000,18513000,10941000,9097000,8492000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,- -,1000,2000,2000,- -
64,Retained Earnings,-7480000,-14826000,-43001000,-90564000,-141736000
65,Other Comprehensive Income/Loss,-10000,-67000,17000,29000,-42000
66,Other Total Stockholders Equity,2058000,2760000,158317000,162469000,- -
67,Total Stockholders Equity,-5432000,-12132000,115335000,71936000,101340000
68,Total Liabilities And Stockholders Equity,1984000,6381000,126276000,81033000,109832000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1984000,6381000,126276000,81033000,109832000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1692830/000156459020009753/0001564590-20-009753-index.htm,https://www.sec.gov/Archives/edgar/data/1692830/000156459021015557/0001564590-21-015557-index.htm,https://www.sec.gov/Archives/edgar/data/1692830/000156459022010433/0001564590-22-010433-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-5172000,-7346000,-28175000,-47563000,-51172000
74,Depreciation and Amortization,10000,57000,141000,239000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,66000,170000,747000,4018000,- -
77,Change in Working Capital,521000,3225000,103334000,-41033000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,363000,-177000,3984000,-1625000,-1212000
81,Other Working Capital,214000,3439000,106773000,65740000,- -
82,Other Non-Cash Items,254000,-3087000,-105684000,42012000,51172000
83,Cash Provided by Operating Activities,-4321000,-6981000,-29637000,-42327000,- -
84,CAPEX,-58000,-402000,-551000,-5165000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-99855000,-34008000,- -
87,Sales/Maturities of Investments,- -,- -,4530000,97172000,39873000
88,Other Investing Activites,- -,- -,- -,- -,-90650000
89,Cash Used for Investing Activites,-58000,-402000,-95876000,57999000,-50777000
90,Debt Repayment,- -,- -,-167000,-2000000,-2000000
91,Common Stock Issued,- -,- -,81435000,134000,75215000
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,10930000,61795000,-235000,- -
95,Cash Used/Provided by Financing Activities,- -,10930000,143063000,-2101000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,-4379000,3547000,17550000,13571000,- -
98,Cash at the End of Period,1658000,5205000,22755000,36326000,15835000
99,Cash at the Beginning of Period,6037000,1658000,5205000,22755000,- -
100,Free Cash Flow,-4379000,-7383000,-30188000,-47492000,- -
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1692830/000156459020009753/0001564590-20-009753-index.htm,https://www.sec.gov/Archives/edgar/data/1692830/000156459021015557/0001564590-21-015557-index.htm,https://www.sec.gov/Archives/edgar/data/1692830/000156459022010433/0001564590-22-010433-index.htm
102,false,,,,,
