,https://roic.ai/company/DSGT,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,1911935,1169936,1100577,1281024,1399420,900482,2092819
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,1140065,513638,388220,191650,948273,409793,1110698
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,771870,656298,712357,1089374,451147,490689,982121
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,0.4037,0.5610,0.6473,0.8504,0.3224,0.5449,0.4693
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,41070,58115,- -,- -,- -,- -,388035
6,General and Administrative Exp.,8831,21690,12256,12089,11252,12752,12779,20789,2526874,1993661,2161722,1883129,2734389,3492366,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,404391,73281,2043735,- -
8,"Selling, General and Administrative Exp.",8831,21690,12256,12089,11252,12752,12779,20789,2526874,1993661,2161722,2287520,2807670,5536101,- -
9,Other Expenses,-8241,-1,- -,- -,- -,- -,- -,- -,42418,49664,29681,13649,4218,6759,6547599
10,Operating Expenses,590,21689,12256,12089,11252,12752,12779,20789,2610362,2101440,2191403,2301169,2811888,5542860,6935634
11,COGS and Expenses,590,21689,12256,12089,11252,12752,12779,20789,3750427,2615078,2579623,2492819,3760161,5952653,8046332
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,619451,1024723,1731921,2698330,1620504,1281505,- -
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,49463,49664,35040,13649,4218,6759,130059
15,EBITDA,-590,-21689,-12256,-12089,-11252,-12752,-12779,-11239,-1423270,-1231862,-1629446,-7113425,-1453398,-4888835,-6254596
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.7444,-1.0529,-1.4805,-5.5529,-1.0386,-5.4291,-2.9886
17,Operating Income,- -,- -,- -,- -,- -,- -,-12779,-30339,-1838492,-1685737,-1644870,-1183817,-2426543,-5069696,-5953513
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,-0.9616,-1.4409,-1.4946,-0.9241,-1.7340,-5.6300,-2.8447
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,-658654,-1082922,-1987202,-8641587,-651577,-1107403,-431142
20,Income Before Tax,- -,- -,- -,- -,- -,- -,-12779,-30339,-2497146,-2768659,-3632072,-9825404,-3078120,-6177099,-6384655
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,-1.3061,-2.3665,-3.3002,-7.6700,-2.1996,-6.8598,-3.0507
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-590,-21689,-12256,-12089,-11252,-12752,-12779,-30339,-2092184,-2306249,-3396407,-9825404,-3078120,-6177099,-6384655
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1.0943,-1.9713,-3.0860,-7.6700,-2.1996,-6.8598,-3.0507
25,EPS,-0.47,-10.73,-4.90,-4.84,-4.50,-5.10,-5.11,-12.14,-324.00,-304.00,-320.00,-28.88,-3.84,-0.17,-0.18
26,EPS Diluted,-0.47,-10.73,-4.90,-4.84,-4.50,-5.10,-5.11,-12.14,-324.00,-304.00,-320.00,-28.88,-3.84,-0.17,-0.18
27,Weighted Average Shares Outstanding,1249,2021,2499,2499,2499,2499,2499,2499,6491,7572,11046,340264,801993,35744303,35744303
28,Weighted Average Shares Outstanding Diluted,1249,2021,2499,2499,2499,2499,2499,2499,6491,7572,11046,340264,801993,35744303,35744303
