,https://roic.ai/company/QIPT,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,390618,1944999,3222133,4212416,5975456,4599166,5610475,5893143,2211953,1565455,38001,1391258,3963483,3854032,18985827,53411196,105909108,61561591,59491026,61162562,73029973,102351000
2,COGS,- -,- -,808627,1518766,1953225,2884875,4106259,4765627,5124706,2153007,1562686,40671,563398,1295784,1331340,6806150,18370158,31772580,17940719,18071842,17772322,20040940,28172000
3,Gross Profit,- -,- -,1136372,1703367,2259191,3090581,492906,844847,768437,58946,2769,-2670,827860,2667699,2522691,12179676,35041038,74136528,43620872,41419184,43390240,52989033,74179000
4,Gross Profit Ratio,- -,- -,0.5843,0.5286,0.5363,0.5172,0.1072,0.1506,0.1304,0.0266,0.0018,-0.0703,0.5950,0.6731,0.6546,0.6415,0.6561,0.7000,0.7086,0.6962,0.7094,0.7256,0.7248
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,280313,1534806,1484283,2079208,1748274,10809328,29800724,58959498,27881631,28855814,28959057,32079996,47374000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2055904,891554,640088,470615,450484,2383000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,280313,1534806,1484283,2079208,1748274,10809328,29800724,61015402,28773186,29495902,29429672,32530481,49757000
9,Other Expenses,- -,456676,1480392,1825106,2353540,3456071,825965,1046178,738115,555879,-5135,153642,-37244,- -,486640,1462332,7897836,22176840,12453548,12022353,10610364,14616454,17786000
10,Operating Expenses,- -,456676,1480392,1825106,2353540,3456071,825965,1046178,738115,555879,275178,1688448,1447039,2079208,2234914,12271660,37698560,83192242,41226734,41518255,40040036,47146934,67543000
11,COGS and Expenses,- -,456676,2289019,3343871,4306765,6340946,4932224,5811805,5862821,2708887,1837864,1729119,2010437,3374991,3566255,19077811,56068718,114964822,59167453,59590096,57812358,67187874,95715000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25684,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,127011,200438,292886,1118484,1127971,1087438,1476769,1921740,1852737,1853000
14,Depreciation and Amortization,263,77871,130892,135544,166917,186956,177093,217268,236497,47507,33727,7424,116817,297839,374208,2205981,8670688,22176840,12453548,12022353,10552198,14616454,17786000
15,EBITDA,263,-163392,-205578,-20828,29098,-1049701,-446757,-74593,747355,-1688951,1296735,-1587562,-1415568,-123550,-1893795,999654,-7573396,-42211067,-5256624,28109690,7097749,11551219,10310000
16,EBITDA ratio,Infinity,-0.4183,-0.1057,-0.0065,0.0069,-0.1757,-0.0971,-0.0133,0.1268,-0.7636,0.8283,-41.7773,-1.0175,-0.0312,-0.4914,0.0527,-0.1418,-0.3986,-0.0854,0.4725,0.1160,0.1582,0.1007
17,Operating Income,- -,-66057,-344020,-121739,-94349,-365490,-333059,-201330,30322,-496934,-816820,-1691118,-619179,-548401,296865,2692973,7212243,-40608000,-12892000,-99070,3350204,5842099,-1460000
18,Operating Income ratio,- -,-0.1691,-0.1769,-0.0378,-0.0224,-0.0612,-0.0724,-0.0359,0.0051,-0.2247,-0.5218,-44.5024,-0.4450,-0.1384,0.0770,0.1418,0.1350,-0.3834,-0.2094,-0.0017,0.0548,0.0800,-0.0143
19,Total Other Income Expenses (Gains),3822,18150,42207,4115,-43471,-871167,-51731,66079,-78715,-998423,812890,96133,-913206,- -,-2765306,-4192186,-24574811,-24907878,-8593978,-5192684,-10052123,-9894962,-7869000
20,Income Before Tax,- -,- -,- -,- -,-137819,-1236657,-384790,- -,-48393,-1495357,-3930,-1594985,-1532385,-548401,-2468441,-1499212,-17362568,-65515878,-21485978,-5291755,-6701919,-4052863,-9329000
21,Income Before Tax Ratio,- -,- -,- -,- -,-0.0327,-0.2070,-0.0837,- -,-0.0082,-0.6760,-0.0025,-41.9727,-1.1014,-0.1384,-0.6405,-0.0790,-0.3251,-0.6186,-0.3490,-0.0890,-0.1096,-0.0555,-0.0911
22,Income Tax expense (Gain),- -,- -,- -,- -,-96279,17997,86277,- -,-204979,56101,- -,- -,- -,- -,- -,-97655,961691,-8145275,354687,100618,203203,128496,-3155000
23,Net Income,-34054,-241263,-336470,-156373,-41540,-1254654,-710127,-291861,715837,-1792559,1263008,-1594985,-1532385,-548400,-2468441,-1401558,-18324258,-57370603,-19152298,14509950,-5579393,-5046468,-6174000
24,Net Income ratio,-Infinity,-0.6176,-0.1730,-0.0485,-0.0099,-0.2100,-0.1544,-0.0520,0.1215,-0.8104,0.8068,-41.9727,-1.1014,-0.1384,-0.6405,-0.0738,-0.3431,-0.5417,-0.3111,0.2439,-0.0912,-0.0691,-0.0603
25,EPS,-13.57,-60.76,-66.07,-19.78,-7.42,-97.51,-9.80,-16.16,37.58,-55.02,23.08,-0.76,-0.50,-0.16,-0.72,-0.22,-1.59,-3.19,-1.02,0.77,-0.27,-0.21,-0.20
26,EPS Diluted,-13.57,-60.76,-66.07,-19.78,-7.42,-97.51,-9.80,-16.16,11.27,-55.02,23.08,-0.76,-0.50,-0.16,-0.72,-0.22,-1.59,-3.19,-1.02,0.71,-0.27,-0.21,-0.20
27,Weighted Average Shares Outstanding,2510,3971,5092,7905,11624,12867,79960,18386,18633,32580,54712,2145337,3007513,3213359,3431721,6298128,11487703,17758400,18854200,18939250,20715000,22721000,30438000
28,Weighted Average Shares Outstanding Diluted,2510,3971,5092,7905,11624,13939,79960,18386,63468,32580,54712,2145337,3007513,3213359,3431721,6298128,11487703,17758400,18854200,20186000,20715000,22721000,30438000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,94530,- -,- -,273181,34260,77705,2788521,581479,250849,3257937,12587966,38698613,5166001,2733509,3352141,9710681,29124582,34612000
32,Short-Term Investments,- -,- -,- -,- -,218580,490058,18808,28644,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,218580,584588,18808,28644,273181,34260,77705,2788521,581479,250849,3257937,12587966,38698613,5166001,2733509,3352141,9710681,29124582,34612000
34,Net Receivables,- -,- -,- -,- -,294238,452287,178812,231029,188679,67618,88107,35936,422301,708311,2333132,6667035,18294138,18319833,7673333,9691875,9359420,9058242,11938000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5745,25126,70942,17533,558754,1164753,5393046,6192052,7889370,4365291,3579090,6391944,9253000
36,Other Current Assets,- -,- -,- -,- -,49502,116348,173939,208818,125601,293369,11852,20525,81629,28037,5203,99740,227796,1148507,63077072,378480,604321,549845,1430000
37,Total Current Assets,- -,- -,- -,- -,562320,1153222,371558,468490,587461,395248,183409,2870109,1156352,1004729,6155025,20519494,62613593,30826393,81373284,17787788,23253513,45124612,57233000
38,PP&E,- -,- -,- -,- -,820693,894773,848563,701671,805295,144307,82600,173208,1152195,1352419,1333213,8459768,17258036,26198137,16630795,16170927,14727300,16614870,23506000
39,Goodwill,- -,- -,- -,- -,- -,- -,269554,296369,445481,32893,- -,- -,- -,- -,- -,989718,38734170,18546492,1429228,1423364,1420910,3881036,12456000
40,Intangible Assets,- -,- -,- -,- -,356257,276978,18199,16656,13923,10890,6329,- -,- -,- -,- -,6279079,40276683,35868416,3032575,2534810,2198973,5559706,14874000
41,Intangible Assets,- -,- -,- -,- -,356257,276978,287753,313025,459403,43783,6329,- -,- -,- -,- -,7268796,79010853,54414908,4461803,3958174,3619882,9440742,27330000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,96279,79280,- -,- -,123250,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,21977,19089,16533,13983,10245,531150,-5168,18894,40332,226870,1058530,85066,94800,96596,84641,89783,71008,639493,504000
45,Total Non-Current Assets,- -,- -,- -,- -,1295206,1270121,1152850,1028679,1398194,719240,83762,192102,1192527,1579289,2391743,15813630,96363689,80709641,21177239,20218884,18418190,26695105,51340000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,384204,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,1857526,2423343,1524408,1497169,1985654,1114487,267171,3062211,2348878,2584018,8546768,36333125,158977282,111536033,102550523,38006672,41671703,71819717,108573000
48,Accounts Payable,- -,- -,- -,- -,458532,765709,561971,839584,861160,520088,- -,517339,1149343,497815,1952182,5661230,3460346,6924510,6653608,4869931,6135368,7408708,9842000
49,Short-Term Debt,- -,- -,- -,- -,268229,240273,181731,153975,726128,569321,39773,- -,- -,- -,- -,1286315,2029201,5367560,5442029,7475174,6442061,6326201,9973000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,980308,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,114644,191121,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4386057,7337000
52,Other Current Liabilities,- -,- -,- -,- -,-0,0,813604,859286,135087,1552862,285249,160520,240601,324027,433864,980308,14670635,2389808,11228265,1892400,1751775,6178281,5585000
53,Total Current Liabilities,- -,- -,- -,- -,841405,1197104,1557307,1852844,1722375,2642272,325023,677859,1389944,821842,2386046,7927853,20160182,14681879,23323902,14237506,14329204,24299247,32737000
54,Long-Term Debt,- -,- -,- -,- -,524063,1184572,511688,531528,476068,40850,17010,- -,- -,504407,577627,- -,4578159,5641377,7462939,8854421,12877323,16538668,17081000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2280062,- -
