,https://roic.ai/company/WISH,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,1101000000,1728000000,1901000000,2541000000,2085000000
2,COGS,205000000,278000000,443000000,947000000,977000000
3,Gross Profit,896000000,1450000000,1458000000,1594000000,1108000000
4,Gross Profit Ratio,0.8138,0.8391,0.7670,0.6273,0.5314
5,Research and Development Exp.,28000000,45000000,74000000,222000000,208000000
6,General and Administrative Exp.,26000000,52000000,65000000,295000000,165000000
7,Selling and Marketing Exp.,989000000,1576000000,1463000000,1708000000,1102000000
8,"Selling, General and Administrative Exp.",1015000000,1628000000,1528000000,2003000000,1267000000
9,Other Expenses,- -,- -,- -,- -,- -
10,Operating Expenses,1043000000,1673000000,1602000000,2225000000,1475000000
11,COGS and Expenses,1248000000,1951000000,2045000000,3172000000,2452000000
12,Interest Income ,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -
14,Depreciation and Amortization,4000000,8000000,10000000,12000000,9000000
15,EBITDA,-203000000,-200000000,-118000000,-731000000,-342000000
16,EBITDA ratio,-0.1844,-0.1157,-0.0621,-0.2877,-0.1640
17,Operating Income,-147000000,-223000000,-144000000,-631000000,-367000000
18,Operating Income ratio,-0.1335,-0.1291,-0.0757,-0.2483,-0.1760
19,Total Other Income Expenses (Gains),-60000000,15000000,16000000,-112000000,16000000
20,Income Before Tax,-207000000,-208000000,-128000000,-743000000,-351000000
21,Income Before Tax Ratio,-0.1880,-0.1204,-0.0673,-0.2924,-0.1683
22,Income Tax expense (Gain),- -,- -,1000000,2000000,10000000
23,Net Income,-207000000,-208000000,-129000000,-745000000,-361000000
24,Net Income ratio,-0.1880,-0.1204,-0.0679,-0.2932,-0.1731
25,EPS,-0.44,-0.37,-0.23,-5.87,-0.57
26,EPS Diluted,-0.44,-0.37,-0.23,-5.87,-0.57
27,Weighted Average Shares Outstanding,556149361,567614354,556149361,127000000,629000000
28,Weighted Average Shares Outstanding Diluted,556149361,567614354,556149361,127000000,629000000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1822250/000156459021015544/0001564590-21-015544-index.htm,https://www.sec.gov/Archives/edgar/data/1822250/000156459022010074/0001564590-22-010074-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,- -,712000000,744000000,1965000000,1009000000
32,Short-Term Investments,- -,262000000,300000000,164000000,150000000
33,Cash and Short-Term Investments,- -,974000000,1044000000,2129000000,1159000000
34,Net Receivables,- -,93000000,95000000,83000000,17000000
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,- -,37000000,95000000,102000000,48000000
37,Total Current Assets,- -,1104000000,1234000000,2314000000,1224000000
38,PP&E,- -,33000000,75000000,68000000,35000000
39,Goodwill,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -
42,Investments,- -,40000000,34000000,4000000,17000000
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,16000000,23000000,11000000,7000000
45,Total Non-Current Assets,- -,89000000,132000000,83000000,59000000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,- -,1193000000,1366000000,2397000000,1283000000
48,Accounts Payable,- -,131000000,171000000,434000000,67000000
49,Short-Term Debt,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,26000000
51,Deferred Revenue,- -,- -,24000000,37000000,9000000
52,Other Current Liabilities,- -,839000000,905000000,861000000,373000000
53,Total Current Liabilities,- -,970000000,1100000000,1332000000,449000000
54,Long-Term Debt,- -,- -,- -,- -,16000000
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,1510000000,1705000000,38000000,- -
58,Total Non-Current Liabilities,- -,1510000000,1705000000,38000000,16000000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,42000000,38000000,16000000
61,Total Liabilities,- -,2480000000,2805000000,1370000000,465000000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -
