,https://roic.ai/company/FNAM,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,348030,262920,221580,32690,114810,122690,12500,- -
2,COGS,- -,- -,- -,- -,- -,- -,146580,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,116340,- -,- -,- -,122686,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,0.4425,- -,- -,- -,1.0000,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,115730,416160,719900,791060,473990,472610,1793145,1234215
6,General and Administrative Exp.,15248,23491,17160,13905,14507,24462,423046,555149,544257,477621,424898,1099150,1273808
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",15248,23491,17160,13905,14507,24462,423046,555149,544257,477621,424898,1099150,1273808
9,Other Expenses,- -,- -,180,- -,- -,-115730,- -,- -,- -,2,3,- -,369920
10,Operating Expenses,- -,- -,17340,13905,14507,24462,839206,1275049,1335317,951613,897511,2892295,2877943
11,COGS and Expenses,16020,23527,- -,- -,14555,1338450,985780,1275050,1335320,951610,897510,2892295,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,57,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,2914,4705,2636,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,- -,- -,- -,- -,10790,28111,38897,42852,41077,40721,409368,1038816
15,EBITDA,-16020,-23527,- -,- -,-14555,-1386834,-257889,-1113123,-496768,-1057543,-720509,-2289868,1038816
16,EBITDA ratio,-Infinity,-Infinity,- -,- -,-Infinity,-3.9848,-0.9809,-5.0236,-15.1963,-9.2112,-5.8726,-183.1894,Infinity
17,Operating Income,-16020,-23527,-17340,-14118,-14555,-24503,-722858,-1053467,-1302627,-836799,-774825,-2879795,-2877943
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.0704,-2.7493,-4.7543,-39.8479,-7.2886,-6.3153,-230.3836,-Infinity
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,-4705,-1375757,436858,-98553,232777,-261821,13595,180559,83999
20,Income Before Tax,- -,- -,- -,- -,-19260,-1400260,-286000,-1152020,-1069850,-1098620,-761230,-2699236,-2793944
21,Income Before Tax Ratio,- -,- -,- -,- -,-Infinity,-4.0234,-1.0878,-5.1991,-32.7271,-9.5690,-6.2045,-215.9389,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31910,-987353,- -
23,Net Income,-16020,-23527,- -,- -,-19260,-1400260,-286000,-1152020,-539620,-1098620,-793140,-1711883,-2793944
24,Net Income ratio,-Infinity,-Infinity,- -,- -,-Infinity,-4.0234,-1.0878,-5.1991,-16.5072,-9.5690,-6.4646,-136.9506,-Infinity
25,EPS,-0.14,-0.18,- -,- -,-0.00,-0.30,-0.06,-0.20,-0.13,-0.23,-0.18,-0.34,-0.48
26,EPS Diluted,-0.14,-0.18,- -,- -,-0.00,-0.30,-0.06,-0.20,-0.13,-0.23,-0.18,-0.34,-0.48
27,Weighted Average Shares Outstanding,114889,129660,129660,129660,129660,129660,4906503,5881898,5881898,5881898,5881898,5881898,5881898
28,Weighted Average Shares Outstanding Diluted,114889,129660,129660,129660,129660,129660,4906503,5881898,5881898,5881898,5881898,5881898,5881898
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/884363/000126967812000002/0001269678-12-000002-index.html,https://www.sec.gov/Archives/edgar/data/884363/000155335013000061/0001553350-13-000061-index.htm,https://www.sec.gov/Archives/edgar/data/884363/000155335014000386/0001553350-14-000386-index.htm,https://www.sec.gov/Archives/edgar/data/884363/000155335015000188/0001553350-15-000188-index.htm,https://www.sec.gov/Archives/edgar/data/884363/000155335016001601/0001553350-16-001601-index.html,https://www.sec.gov/Archives/edgar/data/884363/000155335017000164/0001553350-17-000164-index.html,https://www.sec.gov/Archives/edgar/data/884363/000155335018000184/0001553350-18-000184-index.html,https://www.sec.gov/Archives/edgar/data/884363/000155335019000304/0001553350-19-000304-index.html,https://www.sec.gov/Archives/edgar/data/884363/000155335020000255/0001553350-20-000255-index.htm,https://www.sec.gov/Archives/edgar/data/884363/000155335021000252/0001553350-21-000252-index.htm,https://www.sec.gov/Archives/edgar/data/884363/000155335022000231/0001553350-22-000231-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,18600,15,14,114,641,- -,3823,2057548,880243,131406,45441,215836,214009
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,257698,64299,290712,28200,41694,- -,- -
33,Cash and Short-Term Investments,18600,15,14,114,641,- -,261521,2121847,1170955,159606,87135,215836,214009
34,Net Receivables,- -,- -,- -,- -,- -,- -,16148,9289,- -,40439,6845,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,350,350,350,537,350,- -,22094,22414,22065,23372,24183,61757,41792
37,Total Current Assets,18950,365,364,651,991,- -,299763,2153550,1193020,223417,118163,277593,255801
38,PP&E,- -,- -,- -,- -,- -,- -,138826,205726,165476,127001,88882,50763,18698
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,2560317,4043398,4040796,4038194,4035592,3664343,2657592
41,Intangible Assets,- -,- -,- -,- -,- -,- -,2560317,4043398,4040796,4038194,4035592,3664343,2657592
42,Investments,- -,- -,- -,- -,- -,- -,171924,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,2871067,4249124,4206272,4165195,4124474,3715106,2676290
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,18950,365,364,651,991,- -,3170830,6402674,5399292,4388612,4242637,3992699,2932091
48,Accounts Payable,26581,29219,48862,450,1650,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3743747
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,2304,- -,62817,76512,13672,253752,46064,10640,- -,19415,3164,-3724881
53,Total Current Liabilities,26581,31523,48862,63267,78162,13672,253752,46064,10640,- -,19415,3164,18866
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2245831,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,1485683,955446,955446,987353,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,3029579,3029579,- -,- -,- -,3743747
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,4515262,3985025,955446,987353,2245831,3743747
