,https://roic.ai/company/EPZM,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,6944000,45222000,68482000,41411000,2560000,8007000,10000000,21700000,23800000,15762000,37427000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,5067000,10498000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,10695000,26929000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.6785,0.7195
5,Research and Development Exp.,22911000,38482000,57567000,75595000,111209000,91461000,109661000,105833000,132639000,110933000,130966000
6,General and Administrative Exp.,5000000,7508000,14042000,20866000,23900000,28372000,37181000,43972000,68303000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",5000000,7508000,14042000,20866000,23900000,28372000,37181000,43972000,68303000,125178000,133955000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,27911000,45990000,71609000,96461000,135109000,119833000,146842000,149805000,200942000,236111000,264921000
11,COGS and Expenses,27911000,45990000,71609000,96461000,135109000,119833000,146842000,149805000,200942000,241178000,275419000
12,Interest Income ,33000,145000,74000,95000,94000,1531000,2165000,4557000,7110000,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,192000,6065000,24162000
14,Depreciation and Amortization,479000,847000,703000,742000,1419000,1589000,1639000,1052000,840000,3984000,5246000
15,EBITDA,-20478000,146000,-2431000,-54154000,-130957000,-108623000,-133006000,-122521000,-169205000,-221531000,-221692000
16,EBITDA ratio,-2.9490,0.0032,-0.0355,-1.3077,-51.1551,-13.5660,-13.3006,-5.6461,-7.1095,-14.0548,-5.9233
17,Operating Income,-20967000,-768000,-3127000,-55050000,-132549000,-111826000,-136842000,-128105000,-177142000,-225416000,-237992000
18,Operating Income ratio,-3.0194,-0.0170,-0.0457,-1.3294,-51.7770,-13.9660,-13.6842,-5.9035,-7.4429,-14.3012,-6.3588
