,https://roic.ai/company/PSHG,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,5734716,26992271,56631000,54015000,54068000,62180000,33194000,23806000,25566000,26846000,42045000,36491000
2,COGS,3151577,11865013,42849000,42645000,37200000,51606000,46122000,32581000,21665000,18452000,29441000,38978000
3,Gross Profit,2583139,15127258,13782000,11370000,16868000,10574000,-12928000,-8775000,3901000,8394000,12604000,-2487000
4,Gross Profit Ratio,0.4504,0.5604,0.2434,0.2105,0.3120,0.1701,-0.3895,-0.3686,0.1526,0.3127,0.2998,-0.0682
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,3468000,5059000,6306000,6194000,7241000,8366000,8030000,8162000,7985000,5782000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",3726986,4091716,3468000,5059000,6306000,6194000,7241000,8366000,8030000,8162000,7985000,5782000
9,Other Expenses,410314,5937591,1551000,305000,- -,- -,- -,- -,- -,147000,310000,160000
10,Operating Expenses,4137300,10029307,5019000,5364000,6306000,6194000,7241000,8366000,8030000,8309000,8295000,5942000
11,COGS and Expenses,7288877,21894320,47868000,48009000,43506000,57800000,53363000,40947000,29695000,26761000,37736000,44920000
12,Interest Income ,64091,153892,78000,72000,134000,107000,120000,87000,64000,258000,110000,18000
13,Interest Expense (Gain),511291,1604159,2652000,4224000,6529000,6486000,6594000,13439000,11291000,416000,1710000,1596000
14,Depreciation and Amortization,1453877,5937591,12476000,11070000,10309000,- -,- -,- -,- -,- -,- -,- -
15,EBITDA,-36193,11171788,21097000,-42052000,20076000,-11045000,-142420000,17258000,-41604000,-31641000,5487000,-8110000
16,EBITDA ratio,-0.0063,0.4139,0.3725,-0.7785,0.3713,-0.1776,-4.2905,0.7249,-1.6273,-1.1786,0.1305,-0.2222
17,Operating Income,-1554161,5080305,8957000,-52864000,9850000,-10472000,-142040000,-24610000,-41439000,-31664000,4274000,-8460000
18,Operating Income ratio,-0.2710,0.1882,0.1582,-0.9787,0.1822,-0.1684,-4.2791,-1.0338,-1.6209,-1.1795,0.1017,-0.2318
19,Total Other Income Expenses (Gains),- -,-17646,-2988000,-4482000,-6612000,-7059000,-6974000,28429000,-11456000,-393000,-1979000,-1646000
20,Income Before Tax,- -,- -,5969000,-57346000,3238000,-17531000,-149014000,3819000,-52895000,-32057000,2295000,-10106000
21,Income Before Tax Ratio,- -,- -,0.1054,-1.0617,0.0599,-0.2819,-4.4892,0.1604,-2.0690,-1.1941,0.0546,-0.2769
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-2001361,3630038,5969000,-57346000,3238000,-17531000,-149014000,3819000,-52895000,-32057000,3777000,-9706000
24,Net Income ratio,-0.3490,0.1345,0.1054,-1.0617,0.0599,-0.2819,-4.4892,0.1604,-2.0690,-1.1941,0.0898,-0.2660
25,EPS,-43507.85,78913.87,91830.77,-819228.57,21878.38,-117657.72,-986847.68,89.40,-56.00,-11.20,1.06,-1.99
26,EPS Diluted,-43507.85,78913.87,91830.77,-819228.57,21878.38,-117657.72,-986847.68,89.40,-56.00,-11.20,1.05,-1.96
27,Weighted Average Shares Outstanding,46,46,65,70,148,149,151,42733,945055,2864676,4875475,4875475
28,Weighted Average Shares Outstanding Diluted,46,46,65,70,148,149,151,42736,945055,2864676,4945562,4945562
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,11098284,41353829,31526000,19685000,82003000,29388000,8316000,6444000,10493000,26363000,21365000,9573000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,11098284,41353829,31526000,19685000,82003000,29388000,8316000,6444000,10493000,26363000,21365000,9573000
34,Net Receivables,435282,162836,215000,534000,691000,753000,471000,428000,110000,4685000,3503000,3792000
35,Inventory,623643,1832387,3206000,1964000,2307000,3704000,2581000,1667000,634000,2847000,1981000,4286000
36,Other Current Assets,218805,210197,1965000,797000,1445000,1069000,11507000,19461000,743000,1469000,1578000,1775000
37,Total Current Assets,12376014,43559249,36912000,22980000,86446000,34914000,22875000,28000000,11980000,35364000,28427000,19426000
38,PP&E,92077309,158826747,260945000,265693000,307183000,385536000,241298000,202219000,86868000,95071000,129427000,123271000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,895846,7625628,39188000,28036000,15634000,15273000,2358000,2088000,1238000,134000,- -,2227000
45,Total Non-Current Assets,92973155,166452375,300133000,293729000,322817000,400809000,243656000,204307000,88106000,95205000,129427000,125498000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,105349169,210011624,337045000,316709000,409263000,435723000,266531000,232307000,100086000,130569000,157854000,144924000
48,Accounts Payable,436251,1918389,2672000,1739000,1807000,2707000,1471000,1715000,1192000,1972000,1472000,5742000
49,Short-Term Debt,1361538,- -,- -,- -,5804000,19897000,127129000,96951000,- -,4354000,7862000,7854000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,102431,1264000,972000,491000,647000,108000,439000,305000,- -,- -,- -
52,Other Current Liabilities,630887,1094193,2174000,1068000,1188000,1446000,1155000,2110000,1364000,1740000,1484000,1589000
53,Total Current Liabilities,2428676,3115013,6110000,3779000,9290000,24697000,129863000,101215000,2861000,8066000,10818000,15185000
54,Long-Term Debt,18128095,- -,91906000,148335000,143361000,171731000,45617000,- -,- -,28119000,49988000,42128000
55,Deferred Revenue,- -,364253,271000,50000,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,181684,- -,- -,80000,169000,121000,171000,320000,1649000,146000,251000,262000
58,Total Non-Current Liabilities,18309779,364253,92177000,148465000,143530000,171852000,45788000,320000,1649000,28265000,50239000,42390000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,190000,184000,84000
61,Total Liabilities,20738455,3479266,98287000,152244000,152820000,196549000,175651000,101535000,4510000,36331000,61057000,57575000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,61062,230762,322000,350000,731000,739000,94000,40000,143000,489000,51000,51000
64,Retained Earnings,-2001361,-2525032,-25101000,-112121000,-116417000,-134687000,-284075000,-280256000,-333151000,-365208000,-360433000,-370139000
65,Other Comprehensive Income/Loss,-1453877,-7391468,-19867000,-18736000,-68000,5000,-20000,6000,57000,69000,8000,-2000
66,Other Total Stockholders Equity,88004890,216218096,283404000,294972000,372197000,373117000,374881000,410982000,428527000,458888000,457171000,457439000
67,Total Stockholders Equity,84610714,206532358,238758000,164465000,256443000,239174000,90880000,130772000,95576000,94238000,96797000,87349000
68,Total Liabilities And Stockholders Equity,105349169,210011624,337045000,316709000,409263000,435723000,266531000,232307000,100086000,130569000,157854000,144924000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,105349169,210011624,337045000,316709000,409263000,435723000,266531000,232307000,100086000,130569000,157854000,144924000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,-2001361,3630038,5969000,-57346000,3238000,-17531000,-149014000,3819000,-52895000,-32057000,3777000,-9706000
74,Depreciation and Amortization,1453877,5937591,12476000,11070000,10309000,- -,- -,- -,- -,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,953079,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-28908,1348185,-288000,-1571000,-613000,5000,-2228000,3093000,-38000,-9534000,1301000,323000
78,Accounts Receivable,398822,-125407,-52000,-319000,-157000,-62000,282000,43000,318000,-4575000,1072000,-196000
79,Inventory,-623643,-1208744,-1374000,1242000,-343000,-1397000,1123000,914000,1033000,-2213000,866000,-2305000
80,Accounts Payable,- -,1482138,755000,-933000,68000,900000,-1236000,175000,-455000,780000,-293000,3233000
81,Other Working Capital,- -,285000,1180000,-406000,-310000,206000,-539000,331000,-134000,-374000,-6000,-244000
82,Other Non-Cash Items,389867,635093,13189000,79587000,12553000,34971000,139279000,-19565000,52603000,37397000,8098000,6260000
83,Cash Provided by Operating Activities,-186525,12503986,31346000,31740000,25487000,17445000,-11963000,-12653000,-330000,-4194000,13176000,-3123000
84,CAPEX,-93531186,-79321268,-149960000,-116785000,-61279000,-119059000,-223000,-15000,-126000,-50216000,-63610000,-1785000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-42000000,26622000,9643000,1308000,10797000,6680000,93277000,31699000,23464000,1015000
89,Cash Used for Investing Activites,-93531186,-79321268,-149960000,-81663000,-51636000,-111751000,10574000,6665000,93151000,-18517000,-40146000,-770000
90,Debt Repayment,-330000,-104670000,- -,- -,- -,-103263000,-19159000,-111500000,-106117000,-519000,-9181000,-7911000
