,https://roic.ai/company/PLYA,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,408345000,- -,559545000,617013000,636477000,273189000,534639000
2,COGS,248308000,- -,310048000,341058000,375462000,212021000,332785000
3,Gross Profit,160037000,- -,249497000,275955000,261015000,61168000,201854000
4,Gross Profit Ratio,0.3919,- -,0.4459,0.4472,0.4101,0.2239,0.3776
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,70461000,4451192,108176000,115975000,125788000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",70461000,4451192,108176000,115975000,125788000,- -,119895000
9,Other Expenses,30884000,- -,53131000,73599000,103349000,196758000,81508000
10,Operating Expenses,101345000,- -,161307000,189574000,229137000,196758000,201403000
11,COGS and Expenses,349653000,4451192,471355000,530632000,604599000,408779000,534188000
12,Interest Income ,- -,898287,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,53661000,62243000,44087000,81942000,71378000
14,Depreciation and Amortization,46098000,- -,53131000,73278000,101897000,92570000,81508000
15,EBITDA,54054000,-4451192,115602000,166697000,124407000,-98831000,55801000
16,EBITDA ratio,0.1324,-Infinity,0.2066,0.2702,0.1955,-0.3618,0.1044
17,Operating Income,58692000,-4451192,88669000,90597000,25710000,-190237000,-24236000
18,Operating Income ratio,0.1437,-Infinity,0.1585,0.1468,0.0404,-0.6964,-0.0453
19,Total Other Income Expenses (Gains),-50736000,898287,-79859000,-59421000,-47287000,-83106000,-72849000
20,Income Before Tax,7956000,-3552905,8810000,31176000,-21577000,-273343000,-97085000
21,Income Before Tax Ratio,0.0195,-Infinity,0.0157,0.0505,-0.0339,-1.0006,-0.1816
22,Income Tax expense (Gain),-1755000,- -,9051000,12199000,-17220000,-10973000,-7403000
23,Net Income,9711000,-3552905,-241000,18977000,-4357000,-262370000,-89682000
24,Net Income ratio,0.0238,-Infinity,-0.0004,0.0308,-0.0068,-0.9604,-0.1677
25,EPS,0.73,-0.27,-0.09,0.16,-0.03,-1.98,-0.55
26,EPS Diluted,0.73,-0.27,-0.09,0.16,-0.03,-1.98,-0.55
27,Weighted Average Shares Outstanding,13259773,13290649,96896498,122150851,130023463,132210205,164218262
28,Weighted Average Shares Outstanding Diluted,13259773,13290649,96896498,122418500,130023463,132210205,164218262
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1692412/000169241218000007/0001692412-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1692412/000169241219000010/0001692412-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1692412/000169241220000008/0001692412-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1692412/000169241221000038/0001692412-21-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1692412/000169241222000042/0001692412-22-000042-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,1117746,144046,117229000,116353000,20931000,146919000,270088000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1117746,144046,117229000,116353000,20931000,146919000,270088000
34,Net Receivables,- -,- -,53022000,71200000,76651000,29159000,53423000
35,Inventory,- -,- -,11309000,15390000,16649000,13813000,18076000
36,Other Current Assets,152339,126916,34066000,32617000,44691000,108051000,62129000
37,Total Current Assets,1270085,270962,215626000,235560000,158922000,297942000,403716000
38,PP&E,- -,- -,1466326000,1808412000,1929914000,1727383000,1584574000
39,Goodwill,- -,- -,51731000,83656000,78339000,61654000,61654000
40,Intangible Assets,- -,- -,2087000,6103000,8408000,8556000,7632000
41,Intangible Assets,- -,- -,53818000,89759000,86747000,70210000,69286000
