,https://roic.ai/company/CNI,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,4098000000,3960630240,4356311084,4088979468,5252508403,5428000000,5652000000,6110000000,5884000000,6548000000,7240000000,7716000000,7897000000,8482000000,7367000000,8297000000,9028000000,9920000000,10575000000,12134000000,12611000000,12037000000,13041000000,14321000000,14917000000,13819000000,14477000000
2,COGS,1696000000,1690285580,1624637006,932622768,836691745,1204612020,1066328400,2970024000,1354278000,1272435300,1738207200,1930578300,3748436100,2802000000,2080000000,2327000000,2760000000,5897000000,6407000000,7142000000,6951000000,6362000000,7051000000,8359000000,8832000000,8048000000,8408000000
3,Gross Profit,2402000000,2270344660,2731674078,3156356700,4415816658,4223387980,4585671600,3139976000,4529722000,5275564700,5501792800,5785421700,4148563900,5680000000,5287000000,5970000000,6268000000,4023000000,4168000000,4992000000,5660000000,5675000000,5990000000,5962000000,6085000000,5771000000,6069000000
4,Gross Profit Ratio,0.5861,0.5732,0.6271,0.7719,0.8407,0.7781,0.8113,0.5139,0.7698,0.8057,0.7599,0.7498,0.5253,0.6697,0.7177,0.7195,0.6943,0.4055,0.3941,0.4114,0.4488,0.4715,0.4593,0.4163,0.4079,0.4176,0.4192
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2061000000,2091000000,2112000000,2088000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2061000000,2091000000,2112000000,2088000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
9,Other Expenses,1580000000,1517169535,1551511884,1715302914,2508670973,3780000000,3871029400,4641000000,4107000000,4380000000,4616000000,4686000000,5021000000,725000000,790000000,834000000,884000000,- -,-10000000,-13000000,-5000000,2000000,-10000000,313000000,324000000,310000000,441000000
10,Operating Expenses,1580000000,1517169535,1551511884,1715302914,2508670973,3780000000,3871029400,4641000000,4107000000,4380000000,4616000000,4686000000,5021000000,2786000000,2881000000,2946000000,2972000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
11,COGS and Expenses,3276000000,3207455115,3176148890,2647925682,3345362718,4984612020,4937357800,7611024000,5461278000,5652435300,6354207200,6616578300,8769436100,5588000000,4961000000,5273000000,5732000000,5897000000,6407000000,7142000000,6951000000,6362000000,7051000000,8359000000,8832000000,8048000000,8408000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,375000000,412000000,360000000,341000000,342000000,357000000,371000000,439000000,480000000,481000000,489000000,538000000,554000000,610000000
14,Depreciation and Amortization,-234000000,-196140015,-202203126,-316557234,-497515924,533000000,538000000,591000000,560000000,602000000,630000000,653000000,678000000,725000000,790000000,834000000,884000000,924000000,980000000,1050000000,1158000000,1225000000,1281000000,1329000000,1562000000,1589000000,1598000000
15,EBITDA,-1337000000,-43175475,526472258,20735190,719279148,2006000000,1958000000,1775000000,2091000000,2456000000,2967000000,3382000000,3384000000,3645000000,3463000000,4070000000,4581000000,4924000000,4926000000,5781000000,6471000000,6632000000,6851000000,7500000000,7529000000,6687000000,8541000000
16,EBITDA ratio,-0.3263,-0.0109,0.1209,0.0051,0.1369,0.3696,0.3464,0.2905,0.3554,0.3751,0.4098,0.4383,0.4285,0.4297,0.4701,0.4905,0.5074,0.4964,0.4658,0.4764,0.5131,0.5510,0.5253,0.5237,0.5047,0.4839,0.5900
17,Operating Income,- -,- -,- -,- -,- -,1648000000,1682000000,1469000000,1777000000,2168000000,2624000000,3030000000,2876000000,2894000000,2406000000,3024000000,3296000000,3685000000,3873000000,4624000000,5266000000,5312000000,5558000000,5493000000,5593000000,4777000000,5616000000
18,Operating Income ratio,- -,- -,- -,- -,- -,0.3036,0.2976,0.2404,0.3020,0.3311,0.3624,0.3927,0.3642,0.3412,0.3266,0.3645,0.3651,0.3715,0.3662,0.3811,0.4176,0.4413,0.4262,0.3836,0.3749,0.3457,0.3879
19,Total Other Income Expenses (Gains),-1931000000,-618166100,-433455958,-1145385336,-695430268,-175000000,-262000000,-285000000,-294000000,-314000000,-287000000,-301000000,-170000000,-349000000,-145000000,-148000000,60000000,-27000000,-284000000,-264000000,-392000000,-385000000,-469000000,189000000,-164000000,-233000000,717000000
20,Income Before Tax,-1109000000,135009025,746706236,295668450,1211715417,1473000000,1420000000,1184000000,1483000000,1854000000,2337000000,2729000000,2706000000,2545000000,2261000000,2876000000,3356000000,3658000000,3589000000,4360000000,4874000000,4927000000,5089000000,5682000000,5429000000,4544000000,6333000000
21,Income Before Tax Ratio,-0.2706,0.0341,0.1714,0.0723,0.2307,0.2714,0.2512,0.1938,0.2520,0.2831,0.3228,0.3537,0.3427,0.3000,0.3069,0.3466,0.3717,0.3688,0.3394,0.3593,0.3865,0.4093,0.3902,0.3968,0.3639,0.3288,0.4375
22,Income Tax expense (Gain),-18000000,10965200,325270846,73417932,463409669,536000000,380000000,384000000,517000000,596000000,781000000,642000000,548000000,650000000,407000000,772000000,899000000,978000000,977000000,1193000000,1336000000,1287000000,-395000000,1354000000,1213000000,982000000,1441000000
23,Net Income,-1085000000,141999340,403404538,263874492,753385403,937000000,1040000000,800000000,1014000000,1258000000,1556000000,2087000000,2158000000,1895000000,1854000000,2104000000,2457000000,2680000000,2612000000,3167000000,3538000000,3640000000,5484000000,4328000000,4216000000,3562000000,4892000000
24,Net Income ratio,-0.2648,0.0359,0.0926,0.0645,0.1434,0.1726,0.1840,0.1309,0.1723,0.1921,0.2149,0.2705,0.2733,0.2234,0.2517,0.2536,0.2722,0.2702,0.2470,0.2610,0.2805,0.3024,0.4205,0.3022,0.2826,0.2578,0.3379
25,EPS,-1.06,0.13,0.40,0.24,0.64,0.80,0.90,0.68,0.88,1.10,1.41,1.99,2.15,2.00,1.98,2.25,2.73,3.08,3.10,3.86,4.42,4.69,7.28,5.89,5.85,5.01,6.88
26,EPS Diluted,-1.06,0.13,0.39,0.24,0.62,0.78,0.87,0.66,0.87,1.08,1.39,1.96,2.13,1.98,1.96,2.24,2.71,3.06,3.09,3.85,4.39,4.67,7.24,5.87,5.83,5.00,6.88
27,Weighted Average Shares Outstanding,1019340000,1071187855,1018406437,1096047335,1183666535,1168814969,1153419593,1179361179,1147924528,1141043084,1103546099,1051385390,1001392111,949400000,938400000,932600000,902200000,871200000,843100000,819900000,800700000,776000000,753600000,734500000,720100000,711300000,711300000
28,Weighted Average Shares Outstanding Diluted,1019340000,1071187855,1037149639,1096047335,1206605876,1203854390,1193116635,1209068010,1163288719,1159447005,1123465704,1067519182,1015529412,960000000,947000000,940200000,908800000,875400000,846100000,823500000,805100000,779200000,757300000,737700000,722600000,713000000,711300000
