,https://roic.ai/company/IIPR,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,- -,- -,321000,6420000,14787000,44667000,116896000,204551000
2,COGS,- -,- -,87000,118000,445000,1315000,4952000,4443000
3,Gross Profit,- -,- -,234000,6302000,14342000,43352000,111944000,200108000
4,Gross Profit Ratio,- -,- -,0.7290,0.9816,0.9699,0.9706,0.9576,0.9783
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,828000,5497000,6375000,9818000,14182000,22961000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,828000,5497000,6375000,9818000,14182000,22961000
9,Other Expenses,- -,- -,91000,915000,2629000,8599000,- -,41776000
10,Operating Expenses,- -,- -,919000,6412000,9004000,18417000,14182000,64737000
11,COGS and Expenses,- -,- -,1006000,6530000,9449000,19732000,47159000,69180000
12,Interest Income ,- -,- -,- -,151000,1647000,4846000,3424000,397000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,5526000,6484000,16380000
14,Depreciation and Amortization,- -,- -,27000,915000,2629000,8599000,28025000,41776000
15,EBITDA,- -,- -,-4365000,843000,9614000,37600000,100239000,172146000
16,EBITDA ratio,- -,- -,-13.5981,0.1313,0.6502,0.8418,0.8575,0.8416
17,Operating Income,- -,- -,-4392000,-223000,5338000,24935000,69737000,135371000
18,Operating Income ratio,- -,- -,-13.6822,-0.0347,0.3610,0.5582,0.5966,0.6618
19,Total Other Income Expenses (Gains),- -,- -,- -,151000,1647000,-1460000,-4007000,-21381000
20,Income Before Tax,- -,- -,-4392000,-72000,6985000,23475000,65730000,113990000
21,Income Before Tax Ratio,- -,- -,-13.6822,-0.0112,0.4724,0.5256,0.5623,0.5573
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,- -,-4392000,-72000,6985000,23475000,65730000,113990000
24,Net Income ratio,- -,- -,-13.6822,-0.0112,0.4724,0.5256,0.5623,0.5573
25,EPS,- -,2.89,-4.56,-0.13,0.76,2.06,3.28,4.77
26,EPS Diluted,- -,2.89,-4.56,-0.13,0.75,2.03,3.27,4.34
27,Weighted Average Shares Outstanding,- -,1728495,962775,3375284,7138952,10546016,19443602,23890537
28,Weighted Average Shares Outstanding Diluted,- -,1728495,962775,3375284,7285801,10684068,19557619,26260704
29,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1677576/000114420417016274/0001144204-17-016274-index.htm,https://www.sec.gov/Archives/edgar/data/1677576/000114420418017926/0001144204-18-017926-index.html,https://www.sec.gov/Archives/edgar/data/1677576/000114420419013981/0001144204-19-013981-index.html,https://www.sec.gov/Archives/edgar/data/1677576/000110465920027821/0001104659-20-027821-index.html,https://www.sec.gov/Archives/edgar/data/1677576/000155837021001890/0001558370-21-001890-index.htm,https://www.sec.gov/Archives/edgar/data/1677576/000155837022001947/0001558370-22-001947-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,33003000,11758000,13050000,82244000,126006000,81096000
32,Short-Term Investments,- -,- -,- -,- -,120443000,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,33003000,11758000,133493000,82244000,126006000,81096000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,12916000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,276000,482000,- -,35072000,- -,5323000
37,Total Current Assets,- -,- -,33279000,12240000,133493000,117316000,126006000,99335000
38,PP&E,- -,- -,30048000,- -,- -,1202000,980000,1068000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,9148000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,9148000
42,Investments,- -,- -,- -,- -,- -,119595000,619275000,324889000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,67788000,147973000,507744000,1021820000,1650162000
45,Total Non-Current Assets,- -,- -,30048000,67788000,147973000,628541000,1642075000,1985267000
