,https://roic.ai/company/SOBR,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,216075,196445,400,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,120275,128079,748,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,95800,68366,-348,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,0.4434,0.3480,-0.8700,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,633050000000,1198780
6,General and Administrative Exp.,46325,45465,- -,- -,- -,2886710,783848,505552,446983,396143,313094,298951,787293,2276550,4356454
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",46325,45465,- -,- -,- -,2886710,783848,505552,446983,396143,313094,298951,787293,2276550,4356454
9,Other Expenses,142842,195303,73857,- -,- -,606,777,776,454,- -,- -,- -,- -,2276547723450,- -
10,Operating Expenses,189167,240768,73857,- -,- -,2887316,784625,506328,447437,396143,313094,298951,787293,2909600000000,5555234
11,COGS and Expenses,309442,368847,74605,66685,637788,2887316,784625,506328,447437,396143,313094,298951,787293,2909600000000,5555234
12,Interest Income ,1231,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,600,3500,3642,544455,230258,264589,221042,275250,203089,317194,263172,469014,1549187,2255144
14,Depreciation and Amortization,818,507,- -,- -,911,606,777,776,454,- -,- -,- -,- -,232194,385464
15,EBITDA,-91318,-171495,-74205,-66685,-636877,-2886710,-783848,-505552,-446983,-396143,-313094,-298951,-787293,-2909599767806,-5169770
16,EBITDA ratio,-0.4226,-0.8730,-185.5125,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-93367,-172402,-74205,-66685,-637788,-2887316,-784625,-506328,-447437,-396143,-313094,-298951,-787293,-2909600,-5555234
