,https://roic.ai/company/SILK,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,14258000,34557000,63354000,75227000,101475000
2,COGS,5129000,10874000,15927000,21291000,25446000
3,Gross Profit,9129000,23683000,47427000,53936000,76029000
4,Gross Profit Ratio,0.6403,0.6853,0.7486,0.7170,0.7492
5,Research and Development Exp.,7242000,10258000,12272000,21271000,27110000
6,General and Administrative Exp.,20261000,34820000,63220000,75524000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",20261000,34820000,63220000,75524000,96387000
9,Other Expenses,- -,- -,- -,- -,- -
10,Operating Expenses,27503000,45078000,75492000,96795000,123497000
11,COGS and Expenses,32632000,55952000,91419000,118086000,148943000
12,Interest Income ,34000,189000,1656000,1104000,198000
13,Interest Expense (Gain),3943000,4361000,4952000,4411000,2518000
14,Depreciation and Amortization,129000,517000,1294000,1391000,1919000
15,EBITDA,-15284000,-32751000,-46169000,-41563000,-45374000
16,EBITDA ratio,-1.0720,-0.9477,-0.7287,-0.5525,-0.4471
17,Operating Income,-18374000,-21395000,-28065000,-42859000,-47468000
18,Operating Income ratio,-1.2887,-0.6191,-0.4430,-0.5697,-0.4678
19,Total Other Income Expenses (Gains),-982000,-16235000,-24350000,-4506000,-2343000
20,Income Before Tax,-19356000,-37630000,-52415000,-47365000,-49811000
21,Income Before Tax Ratio,-1.3576,-1.0889,-0.8273,-0.6296,-0.4909
22,Income Tax expense (Gain),- -,- -,- -,- -,- -
23,Net Income,-19356000,-37629000,-52415000,-47365000,-49811000
24,Net Income ratio,-1.3576,-1.0889,-0.8273,-0.6296,-0.4909
25,EPS,-0.80,-1.07,-2.28,-1.44,-1.44
26,EPS Diluted,-0.80,-1.07,-2.28,-1.44,-1.44
27,Weighted Average Shares Outstanding,24050299,24050299,22956679,32965539,34635358
28,Weighted Average Shares Outstanding Diluted,24050299,24050299,22956679,32965539,34635358
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1397702/000139770220000007/0001397702-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1397702/000139770221000021/0001397702-21-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1397702/000139770222000012/0001397702-22-000012-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,33331000,24990000,39181000,69466000,110231000
32,Short-Term Investments,- -,- -,51508000,78016000,- -
33,Cash and Short-Term Investments,33331000,24990000,90689000,147482000,110231000
34,Net Receivables,5215000,4520000,8601000,9070000,11832000
35,Inventory,3248000,5744000,10322000,9989000,17851000
36,Other Current Assets,279000,1408000,2878000,6787000,3412000
37,Total Current Assets,42073000,36662000,112490000,173328000,143326000
38,PP&E,486000,2880000,2734000,2844000,7697000
39,Goodwill,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -
42,Investments,- -,- -,18224000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,527000,1339000,3954000,3142000,5602000
45,Total Non-Current Assets,1013000,4219000,24912000,5986000,13299000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,43086000,40881000,137402000,179314000,156625000
48,Accounts Payable,1546000,1252000,1898000,2598000,2379000
49,Short-Term Debt,- -,- -,- -,- -,5199000
50,Tax Payable,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,206000,157000
52,Other Current Liabilities,3109000,7586000,15034000,16751000,18351000
53,Total Current Liabilities,4655000,8838000,16932000,19555000,26086000
54,Long-Term Debt,27589000,44201000,44879000,48533000,44786000
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,109420000,1069000,3700000,3726000,6513000
58,Total Non-Current Liabilities,137009000,45270000,48579000,52259000,51299000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,850000,1294000
61,Total Liabilities,141664000,54108000,65511000,71814000,77385000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,1000,24000,31000,34000,35000
64,Retained Earnings,-101556000,-139111000,-191526000,-238891000,-288702000
65,Other Comprehensive Income/Loss,-1303000,-946000,- -,39000,- -
66,Other Total Stockholders Equity,4280000,126806000,263386000,346318000,367907000
67,Total Stockholders Equity,-98578000,-13227000,71891000,107500000,79240000
68,Total Liabilities And Stockholders Equity,43086000,40881000,137402000,179314000,156625000
