,https://roic.ai/company/KANP,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,11112000,66640000,14557000,37251000,11547000,12674000,3170000,4695000,4137000,- -,- -,8831000,19088000,6842000,8393000,15959000,6418000,4184000,3353000,4576000
2,COGS,5176000,39564000,2693000,17213000,7255000,7360000,2593000,3028000,6110000,- -,- -,12232000,17826000,6798000,7990000,11797000,6652000,4471000,4461000,5486000
3,Gross Profit,5936000,27076000,11864000,20038000,4292000,5314000,577000,1667000,-1973000,- -,- -,-3401000,1262000,44000,403000,4162000,-234000,-287000,-1108000,-910000
4,Gross Profit Ratio,0.5342,0.4063,0.8150,0.5379,0.3717,0.4193,0.1820,0.3551,-0.4769,- -,- -,-0.3851,0.0661,0.0064,0.0480,0.2608,-0.0365,-0.0686,-0.3305,-0.1989
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20810000,3079000,3282000,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4132000,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20810000,3079000,3282000,- -,4132000,777000
9,Other Expenses,19696000,4817000,483000,-4249000,1815000,2712000,2657000,7628000,5714000,5820000,668000,4579000,2830000,3062000,4126000,200000,237000,4765000,218000,- -
10,Operating Expenses,19696000,4817000,483000,-4249000,1815000,2712000,2657000,7628000,5714000,5820000,668000,4579000,2830000,3062000,24936000,3279000,3519000,4765000,4350000,777000
11,COGS and Expenses,24872000,44381000,3176000,12964000,9070000,10072000,5250000,10656000,11824000,- -,- -,16579000,20656000,9860000,32926000,15076000,10171000,9236000,8811000,6263000
12,Interest Income ,27000,7462000,3764000,2263000,3273000,2193000,825000,1380000,742000,175000,379000,622000,209000,246000,288000,571000,211000,369000,715000,- -
13,Interest Expense (Gain),2395000,1129000,743000,168000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,2994000,1164000,1136000,1040000,1050000,1280000,490000,280000,300000,280000,290000,230000,195000,200000,248000,200000,237000,201000,218000,269000
15,EBITDA,131032000,83155000,12517000,25327000,3527000,3882000,-3892000,-5681000,-7387000,- -,286,-3320000,-1504000,-2539000,-24151000,9546000,-3433000,-4608000,-4481000,164000
16,EBITDA ratio,11.7919,1.2478,0.8599,0.6799,0.3054,0.3063,-1.2278,-1.2100,-1.7856,- -,Infinity,-0.3759,-0.0788,-0.3711,-2.8775,0.5982,-0.5349,-1.1013,-1.3364,0.0358
17,Operating Income,-13760000,21130000,11381000,24119000,2477000,2602000,-2080000,-5961000,-7687000,- -,- -,3401000,1568000,-3018000,-24533000,883000,-3753000,-5052000,-5458000,-1687000
18,Operating Income ratio,-1.2383,0.3171,0.7818,0.6475,0.2145,0.2053,-0.6562,-1.2696,-1.8581,- -,- -,0.3851,0.0821,-0.4411,-2.9230,0.0553,-0.5848,-1.2075,-1.6278,-0.3687
19,Total Other Income Expenses (Gains),2785000,-402000,-743000,- -,- -,- -,- -,- -,- -,- -,- -,-6802000,-3136000,- -,- -,- -,- -,- -,- -,1731000
20,Income Before Tax,-10975000,20728000,10638000,24119000,2477000,2602000,-2080000,-5961000,-7687000,- -,- -,-3401000,-1568000,-3018000,-24533000,883000,-3753000,-5052000,-5458000,44000
21,Income Before Tax Ratio,-0.9877,0.3110,0.7308,0.6475,0.2145,0.2053,-0.6562,-1.2696,-1.8581,- -,- -,-0.3851,-0.0821,-0.4411,-2.9230,0.0553,-0.5848,-1.2075,-1.6278,0.0096
22,Income Tax expense (Gain),-15141000,10226000,5751000,3077000,865000,1184000,-740000,-683000,-3595000,- -,- -,-586000,-182000,783000,-7748000,-1364000,-762000,-1182000,-959000,-350000
23,Net Income,140784000,70636000,4887000,21042000,1612000,1418000,-3642000,-5278000,-4092000,- -,- -,-2964000,-1517000,-3522000,-16651000,10710000,-2908000,-3627000,-3740000,245000
24,Net Income ratio,12.6695,1.0600,0.3357,0.5649,0.1396,0.1119,-1.1489,-1.1242,-0.9891,- -,- -,-0.3356,-0.0795,-0.5148,-1.9839,0.6711,-0.4531,-0.8669,-1.1154,0.0535
25,EPS,75.41,39.44,2.73,11.74,0.90,0.79,-1.99,-2.88,-2.22,-3.69,-0.23,-1.61,-0.82,-1.91,-9.03,5.81,-1.58,-1.97,-2.03,0.13
26,EPS Diluted,75.41,39.44,2.73,11.74,0.90,0.79,-1.99,-2.88,-2.22,-3.69,-0.23,-1.61,-0.82,-1.91,-9.03,5.81,-1.58,-1.97,-2.03,0.13
27,Weighted Average Shares Outstanding,1867000,1791000,1793000,1793000,1793000,1793000,1824000,1832000,1845000,1845000,1845000,1845000,1845000,1845000,1845000,1845000,1845000,1845000,1845000,1845000
28,Weighted Average Shares Outstanding Diluted,1867000,1791000,1793000,1793000,1793000,1793000,1824000,1832000,1845000,1845000,1845000,1845000,1845000,1845000,1845000,1845000,1845000,1845000,1845000,1845000
