,https://roic.ai/company/BLUE,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,882000,340000,20181000,25421000,14079000,6155000,35427000,54579000,44674000,250734000,3662000
2,COGS,- -,- -,- -,- -,- -,- -,1527000,885000,2978000,5396000,38857000
3,Gross Profit,- -,- -,- -,- -,- -,- -,33900000,53694000,41696000,245338000,-35195000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,0.9569,0.9838,0.9333,0.9785,-9.6109
5,Research and Development Exp.,11409000,17210000,31002000,62574000,134038000,204775000,273040000,448589000,582413000,587956000,319946000
6,General and Administrative Exp.,4615000,6846000,14126000,23227000,46209000,65119000,93550000,174129000,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",4615000,6846000,14126000,23227000,46209000,65119000,93550000,174129000,271362000,286896000,209969000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,16024000,24056000,45128000,85801000,180247000,269894000,366590000,622718000,853775000,874852000,529915000
11,COGS and Expenses,16024000,24056000,45128000,85801000,180247000,269894000,368117000,623603000,856753000,880248000,568772000
12,Interest Income ,5000,5000,29000,152000,1591000,- -,- -,- -,34761000,11539000,879000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,34761000,11539000,879000
14,Depreciation and Amortization,225000,301000,941000,4228000,7419000,9648000,13538000,17158000,17434000,19356000,19649000
15,EBITDA,-15373000,-23369000,-24380000,-56278000,-159304000,-254471000,-321895000,-538280000,-737958000,-587114000,-798592000
16,EBITDA ratio,-17.4297,-68.7324,-1.2081,-2.2138,-11.3150,-41.3438,-9.0861,-9.8624,-16.5187,-2.3416,-218.0754
17,Operating Income,-15142000,-23716000,-24947000,-60626000,-169037000,-267830000,-332165000,-572023000,-814826000,-623046000,-590911000
18,Operating Income ratio,-17.1678,-69.7529,-1.2362,-2.3849,-12.0063,-43.5142,-9.3760,-10.4806,-18.2394,-2.4849,-161.3629
19,Total Other Income Expenses (Gains),-456000,46000,-374000,120000,2314000,3711000,-3268000,16585000,24673000,5037000,28531000
20,Income Before Tax,-15598000,-23670000,-25321000,-60506000,-166723000,-264119000,-335433000,-555438000,-790153000,-618009000,-562380000
21,Income Before Tax Ratio,-17.6848,-69.6176,-1.2547,-2.3802,-11.8420,-42.9113,-9.4683,-10.1768,-17.6871,-2.4648,-153.5718
22,Income Tax expense (Gain),- -,- -,- -,-11797000,60000,-612000,210000,187000,-545000,686000,258000
23,Net Income,-15598000,-23670000,-25321000,-48709000,-166783000,-263507000,-335643000,-555625000,-789608000,-618695000,-819378000
24,Net Income ratio,-17.6848,-69.6176,-1.2547,-1.9161,-11.8462,-42.8119,-9.4742,-10.1802,-17.6749,-2.4675,-223.7515
25,EPS,-0.90,-1.04,-2.02,-1.83,-4.81,-7.07,-7.71,-10.68,-14.31,-9.95,-13.18
26,EPS Diluted,-0.90,-1.04,-2.02,-1.83,-4.81,-7.07,-7.71,-10.68,-14.31,-9.95,-13.18
27,Weighted Average Shares Outstanding,22810664,22810664,12555000,26546000,34669000,37284000,43535000,52032000,55191000,62178000,62178000
28,Weighted Average Shares Outstanding Diluted,22810664,22810664,12555000,26546000,34669000,37284000,43535000,52032000,55191000,62178000,62178000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1293971/000119312514084683/0001193125-14-084683-index.htm,https://www.sec.gov/Archives/edgar/data/1293971/000156459015000948/blue-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1293971/000156459016013381/0001564590-16-013381-index.html,https://www.sec.gov/Archives/edgar/data/1293971/000156459017002015/0001564590-17-002015-index.html,https://www.sec.gov/Archives/edgar/data/1293971/000156459018002704/0001564590-18-002704-index.html,https://www.sec.gov/Archives/edgar/data/1293971/000156459019003694/0001564590-19-003694-index.html,https://www.sec.gov/Archives/edgar/data/1293971/000129397120000007/0001293971-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/1293971/000129397121000013/0001293971-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1293971/000129397122000016/0001293971-22-000016-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,25604000,67011000,206279000,347845000,164269000,278887000,758505000,402579000,327214000,317705000,161160000
32,Short-Term Investments,3507000,- -,- -,125710000,353680000,425491000,531604000,982725000,779246000,833546000,138343000
33,Cash and Short-Term Investments,29111000,67011000,206279000,473555000,517949000,704378000,1290109000,1385304000,1106460000,1151251000,299503000
34,Net Receivables,- -,- -,- -,- -,- -,- -,3112000,13931000,12826000,26814000,11389000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,869000,773000,5708000,6434000,6016000,19836000,29548000,19762000,32888000,37472000,25628000
37,Total Current Assets,29980000,67784000,211987000,479989000,523965000,724214000,1322769000,1418997000,1152174000,1215537000,336520000
38,PP&E,728000,1288000,10920000,15740000,82614000,156955000,199606000,246622000,337061000,346850000,101238000
39,Goodwill,- -,- -,- -,13128000,13128000,13128000,13128000,13128000,13128000,13128000,5646000
40,Intangible Assets,- -,- -,- -,28219000,24456000,20694000,16931000,13169000,14326000,10041000,- -
41,Intangible Assets,- -,- -,- -,41347000,37584000,33822000,30059000,26297000,27454000,23169000,5646000
42,Investments,- -,- -,- -,18448000,347814000,180452000,324193000,506123000,131506000,122891000,97114000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,210000,250000,1483000,1215000,10360000,22679000,23940000,44805000,79229000,72805000,53277000
45,Total Non-Current Assets,938000,1538000,12403000,76750000,478372000,393908000,577798000,823847000,575250000,565715000,257275000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,30918000,69322000,224390000,556739000,1002337000,1118122000,1900567000,2242844000,1727424000,1781252000,593795000
48,Accounts Payable,1793000,2173000,4359000,2954000,6334000,13664000,12873000,17831000,42995000,21602000,25883000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,1051000,1424000,20175000,25024000,23152000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,340000,340000,25340000,25375000,5889000,6209000,25674000,29207000,18854000,11556000,2282000
52,Other Current Liabilities,760000,2115000,5175000,14649000,28145000,54660000,56014000,97969000,141556000,145406000,101676000
53,Total Current Liabilities,2893000,4628000,34874000,42978000,40368000,74533000,95612000,146431000,223580000,203588000,152993000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,170812000,167997000,66432000
55,Deferred Revenue,679000,340000,30208000,5302000,35959000,40204000,21763000,49687000,37625000,47343000,- -
56,Deferred Tax Liabilities,- -,- -,693000,1913000,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,83053000,120101000,6948000,15289000,75514000,133945000,159760000,161656000,10414000,7268000,93000
58,Total Non-Current Liabilities,83732000,120441000,37849000,22504000,111473000,174149000,181523000,211343000,218851000,222608000,66525000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,61901000,120140000,155800000,154743000,190987000,193021000,89584000
61,Total Liabilities,86625000,125069000,72723000,65482000,151841000,248682000,277135000,357774000,442431000,426196000,219518000
62,Preferred Stock,- -,2337000,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,2000,3000,239000,323000,369000,407000,494000,547000,554000,665000,711000
64,Retained Earnings,-63442000,-73354000,-98675000,-147384000,-314167000,-577674000,-913808000,-1498808000,-2281852000,-2900547000,-3719925000
65,Other Comprehensive Income/Loss,1000,- -,-1454000,-71000,-2291000,-1149000,-4205000,-3627000,-1893000,-5505000,-2911000
66,Other Total Stockholders Equity,7732000,15267000,251557000,638389000,1166585000,1447856000,2540951000,3386958000,3568184000,4260443000,- -
67,Total Stockholders Equity,-55707000,-55747000,151667000,491257000,850496000,869440000,1623432000,1885070000,1284993000,1355056000,374277000
68,Total Liabilities And Stockholders Equity,30918000,69322000,224390000,556739000,1002337000,1118122000,1900567000,2242844000,1727424000,1781252000,593795000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,30918000,69322000,224390000,556739000,1002337000,1118122000,1900567000,2242844000,1727424000,1781252000,593795000
