,https://roic.ai/company/TDW,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,522100000,538800000,643400000,803000000,1060200000,969000000,574800000,616700000,729000000,635800000,652600000,692200000,877600000,1125300000,1270200000,1390800000,1168600000,1055388000,1067007000,1244165000,1435103000,1495517000,979062000,- -,406520000,486549000,397038000,371033000
2,COGS,- -,319300000,331400000,387800000,449800000,533100000,537100000,360000000,389300000,392100000,369800000,416200000,431300000,455300000,521900000,632200000,690200000,632600000,783826000,765641000,868933000,979115000,1036077000,762253000,- -,333403000,433927000,388894000,378589000
3,Gross Profit,- -,202800000,207400000,255600000,353200000,527100000,431900000,214800000,227400000,336900000,266000000,236400000,260900000,422300000,603400000,638000000,700600000,536000000,271562000,301366000,375232000,455988000,459440000,216809000,- -,73117000,52622000,8144000,-7556000
4,Gross Profit Ratio,- -,0.3884,0.3849,0.3973,0.4399,0.4972,0.4457,0.3737,0.3687,0.4621,0.4184,0.3622,0.3769,0.4812,0.5362,0.5023,0.5037,0.4587,0.2573,0.2824,0.3016,0.3177,0.3072,0.2214,- -,0.1799,0.1082,0.0205,-0.0204
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,63100000,60300000,59300000,64900000,72900000,73500000,65700000,65500000,66900000,65400000,67500000,73400000,86500000,98700000,126600000,136200000,149900000,136996000,165130000,165790000,198241000,206302000,181191000,- -,99325000,91101000,71940000,68171000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8458000,9407000,9819000,11645000,11839000,6282000,- -,3002000,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,63100000,60300000,59300000,64900000,72900000,73500000,65700000,65500000,66900000,65400000,67500000,73400000,86500000,98700000,126600000,136200000,149900000,145454000,174537000,175609000,209886000,218141000,187473000,- -,102327000,91101000,71940000,68171000
9,Other Expenses,- -,83600000,86700000,82500000,82200000,91400000,94700000,82500000,79500000,78100000,83200000,125000000,101400000,110600000,116200000,109300000,99000000,145800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
