,https://roic.ai/company/PRTY,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,1871975000,- -,2045113000,2271257000,2294533000,2283391000,2371569000,2427515000,2348789000,1850690000,2171060000
2,COGS,1132658000,- -,1272508000,1389987000,1385278000,1365600000,1410236000,1448572000,1513785000,1382081000,1403004000
3,Gross Profit,739317000,- -,772605000,881270000,909255000,917791000,961333000,978943000,835004000,468609000,768056000
4,Gross Profit Ratio,0.3949,- -,0.3778,0.3880,0.3963,0.4019,0.4054,0.4033,0.3555,0.2532,0.3538
5,Research and Development Exp.,16636000,- -,19311000,19390000,20640000,22249000,32305000,30396000,33939000,20570000,- -
6,General and Administrative Exp.,140221000,- -,149054000,148418000,151097000,152919000,168369000,172764000,177672000,212429000,186698000
7,Selling and Marketing Exp.,57905000,- -,68102000,73910000,64260000,59956000,65356000,71502000,67103000,50121000,30762000
8,"Selling, General and Administrative Exp.",198126000,- -,217156000,222328000,215357000,212875000,233725000,244266000,244775000,262550000,217460000
9,Other Expenses,325332000,- -,369996000,397110000,401039000,408583000,415167000,425996000,440395000,387398000,215071000
10,Operating Expenses,540094000,- -,606463000,638828000,637036000,643707000,681197000,700658000,719109000,670518000,432531000
11,COGS and Expenses,1672752000,- -,1878971000,2028815000,2022314000,2009307000,2091433000,2149230000,2232894000,2052599000,1835535000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),77743000,- -,143406000,155917000,123361000,89380000,87366000,105706000,114899000,77043000,87226000
14,Depreciation and Amortization,59631000,- -,94624000,82890000,80515000,83630000,85168000,78575000,81116000,76506000,65610000
15,EBITDA,259390000,- -,237524000,320141000,221744000,359724000,360678000,345909000,-337785000,-531342000,151962000
16,EBITDA ratio,0.1386,- -,0.1161,0.1410,0.0966,0.1575,0.1521,0.1425,-0.1438,-0.2871,0.0700
17,Operating Income,201370000,- -,161602000,243142000,272219000,274084000,280136000,278285000,-417393000,-877501000,84632000
18,Operating Income ratio,0.1076,- -,0.0790,0.1071,0.1186,0.1200,0.1181,0.1146,-0.1777,-0.4741,0.0390
19,Total Other Income Expenses (Gains),-79219000,- -,-161884000,-161808000,-254351000,-87370000,-91992000,-116688000,-116770000,192391000,-85506000
20,Income Before Tax,122151000,- -,-282000,81334000,17868000,186714000,188144000,161597000,-534163000,-685110000,-874000
21,Income Before Tax Ratio,0.0653,- -,-0.0001,0.0358,0.0078,0.0818,0.0793,0.0666,-0.2274,-0.3702,-0.0004
22,Income Tax expense (Gain),45741000,- -,-4525000,25211000,7409000,69237000,-27196000,38778000,-1305000,-156653000,5708000
23,Net Income,76275000,- -,4019000,56123000,10459000,117477000,215340000,122850000,-532495000,-528238000,-6582000
24,Net Income ratio,0.0407,- -,0.0020,0.0247,0.0046,0.0514,0.0908,0.0506,-0.2267,-0.2854,-0.0030
25,EPS,0.66,- -,0.03,0.48,0.09,0.98,1.81,1.28,-5.71,-5.24,-0.06
26,EPS Diluted,0.66,- -,0.03,0.48,0.09,0.98,1.79,1.27,-5.71,-5.24,-0.06
27,Weighted Average Shares Outstanding,115971525,- -,115971525,115971525,111917168,119381842,118589421,96133144,93295692,100804944,110980934
28,Weighted Average Shares Outstanding Diluted,115971525,- -,115971525,115971525,112943807,120369672,119894021,97271050,93295692,100804944,110980934
29,SEC Link,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1592058/000119312516501808/0001193125-16-501808-index.htm,https://www.sec.gov/Archives/edgar/data/1592058/000119312517083893/0001193125-17-083893-index.htm,https://www.sec.gov/Archives/edgar/data/1592058/000119312518082430/0001193125-18-082430-index.htm,https://www.sec.gov/Archives/edgar/data/1592058/000119312519057714/0001193125-19-057714-index.htm,https://www.sec.gov/Archives/edgar/data/1592058/000119312520071738/0001193125-20-071738-index.htm,https://www.sec.gov/Archives/edgar/data/1592058/000156459021012608/0001564590-21-012608-index.htm,https://www.sec.gov/Archives/edgar/data/1592058/000095017022002280/0000950170-22-002280-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,22053000,14563000,25645000,47214000,42919000,64610000,54291000,58909000,34917000,119532000,47914000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,22053000,14563000,25645000,47214000,42919000,64610000,54291000,58909000,34917000,119532000,47914000
34,Net Receivables,127122000,129339000,139539000,140663000,132287000,134091000,140980000,146983000,149109000,148428000,93301000
35,Inventory,434983000,510217000,524361000,582230000,564259000,613868000,604066000,756038000,658419000,412285000,443295000
36,Other Current Assets,74520000,48927000,77099000,77232000,50450000,68255000,77816000,61905000,51685000,129015000,113973000
37,Total Current Assets,658678000,703046000,766644000,847339000,789915000,880824000,877153000,1023835000,894130000,809260000,698483000
38,PP&E,204329000,239771000,235146000,248684000,272420000,292904000,301141000,321044000,1046205000,909499000,915745000
39,Goodwill,681760000,1537569000,1561707000,1557250000,1562515000,1572568000,1619253000,1656950000,1072330000,661251000,664296000
40,Intangible Assets,179806000,727159000,699549000,676353000,657869000,643180000,644385000,628195000,575380000,416562000,23687000
41,Intangible Assets,861566000,2264728000,2261256000,2233603000,2220384000,2215748000,2263638000,2285145000,1647710000,1077813000,687983000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,25765000,69438000,64488000,51237000,9684000,4502000,12824000,12323000,7273000,9883000,409689000
45,Total Non-Current Assets,1091660000,2573937000,2560890000,2533524000,2502488000,2513154000,2577603000,2618512000,2701188000,1997195000,2013417000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1750338000,3276983000,3327534000,3380863000,3292403000,3393978000,3454756000,3642347000,3595318000,2806455000,2711900000
48,Accounts Payable,119305000,117661000,150782000,145686000,111616000,163415000,160994000,208149000,152300000,118928000,161736000
49,Short-Term Debt,- -,- -,- -,- -,140688000,133486000,299350000,316067000,200330000,189283000,200618000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,56317000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,313096000,197527000,219835000,237938000,154823000,196358000,222177000,187221000,342297000,405666000,207705000
53,Total Current Liabilities,432401000,315188000,370617000,383624000,407127000,493259000,682521000,711437000,694927000,713877000,570059000
54,Long-Term Debt,834310000,1805028000,2134987000,2127583000,1646121000,1539604000,1532090000,1621963000,1503987000,1329808000,655875000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29195000
56,Deferred Tax Liabilities,100183000,340288000,318173000,309338000,276667000,278819000,175836000,174427000,126081000,34705000,29195000
57,Other Non-Current Liabilities,57353000,29029000,47000000,73092000,49471000,65507000,95519000,90899000,740603000,677544000,1344862000
58,Total Non-Current Liabilities,991846000,2174345000,2500160000,2510013000,1972259000,1883930000,1803445000,1887289000,2370671000,2042057000,2059127000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,876206000,830774000,- -
61,Total Liabilities,1424247000,2489533000,2870777000,2893637000,2379386000,2377189000,2485966000,2598726000,3065598000,2755934000,2629186000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,910000,1193000,1195000,1198000,1208000,1211000,1373000,1384000
64,Retained Earnings,48717000,-30208000,-26189000,29934000,40189000,157666000,372596000,495777000,-37219000,-565457000,-571985000
65,Other Comprehensive Income/Loss,-276564000,-36981000,-104107000,-159552000,-33000000,-52000000,-36000000,-49000000,-36000000,-29916000,3541000
66,Other Total Stockholders Equity,551661000,852106000,587053000,615934000,904635000,909928000,630641000,595345000,601753000,644790000,649774000
67,Total Stockholders Equity,323814000,784917000,456757000,487226000,913017000,1016789000,968435000,1043330000,529745000,50790000,82714000
68,Total Liabilities And Stockholders Equity,1748061000,3274450000,3327534000,3380863000,3292403000,3393978000,3454401000,3642056000,3595343000,2806724000,2711900000
69,Minority Interest,2277000,2533000,- -,- -,- -,- -,355000,291000,-25000,-269000,- -
70,Total Liabilities & Equity,1750338000,3276983000,3327534000,3380863000,3292403000,3393978000,3454756000,3642347000,3595318000,2806455000,2711900000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1592058/000119312516501808/0001193125-16-501808-index.htm,https://www.sec.gov/Archives/edgar/data/1592058/000119312517083893/0001193125-17-083893-index.htm,https://www.sec.gov/Archives/edgar/data/1592058/000119312518082430/0001193125-18-082430-index.htm,https://www.sec.gov/Archives/edgar/data/1592058/000119312519057714/0001193125-19-057714-index.htm,https://www.sec.gov/Archives/edgar/data/1592058/000119312520071738/0001193125-20-071738-index.htm,https://www.sec.gov/Archives/edgar/data/1592058/000156459021012608/0001564590-21-012608-index.htm,https://www.sec.gov/Archives/edgar/data/1592058/000095017022002280/0000950170-22-002280-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,76275000,- -,4019000,56123000,10459000,117477000,215340000,122850000,-532495000,-528238000,-6582000
