,https://roic.ai/company/AFTM,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,741901,1008862,234347,131946,- -,- -,- -,- -,- -,- -,140000,210000,520000,220000,280000,180000,302600,1918230,879980,1649500,976320
2,COGS,- -,235468,162132,30499,- -,- -,- -,- -,- -,- -,240000,380000,1030000,970000,320000,380000,306870,484510,1250370,1565800,823450
3,Gross Profit,- -,773394,72215,101447,- -,- -,- -,- -,- -,- -,-100000,-170000,-510000,-750000,-40000,-200000,-4270,1433720,-370390,83700,152870
4,Gross Profit Ratio,- -,0.7666,0.3082,0.7689,- -,- -,- -,- -,- -,- -,-0.7143,-0.8095,-0.9808,-3.4091,-0.1429,-1.1111,-0.0141,0.7474,-0.4209,0.0507,0.1566
5,Research and Development Exp.,- -,169895,243451,101109,- -,- -,- -,- -,460000,1070000,800000,10000,30000,- -,- -,- -,- -,386950,221440,15770,5620
6,General and Administrative Exp.,- -,1038992,818416,1259818,50000,40000,40000,410000,5160000,7560000,5410000,4810000,6430000,3900000,3030000,3210000,6956830,8454350,5331120,4285570,3990340
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,1038992,818416,1259818,48968,38083,38049,413984,5158340,7561257,5405738,4812720,6430188,3897008,3033233,3212694,6889084,8454349,5331117,4285565,3990336
9,Other Expenses,- -,426553,- -,- -,- -,- -,- -,- -,-2330,-4832,139149,231340,340089,496191,215594,114330,135156,83619,178068,158506,84451
10,Operating Expenses,- -,1635440,1061867,1360927,48968,38083,38049,413984,5616010,8626425,6344887,5054060,6800277,4393199,3248827,3327024,7024240,8924918,5730625,4459841,4080407
11,COGS and Expenses,- -,1870908,1223999,1391426,50000,40000,40000,40000,5610000,8630000,6590000,5340000,8720000,6500000,3380000,3940000,7011460,9176530,7007190,1338040,4903860
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18110,8061,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,-70000,-70000,-70000,-70000,-20000,-20000,-160000,-200000,-980000,-1200000,1362732,1579617,2401761,967721,-2391150,-4564670,3092387
14,Depreciation and Amortization,- -,426553,209696,241140,- -,- -,- -,- -,8968,45099,138132,235832,340900,493137,214952,114330,67415,83620,178630,158507,84448
15,EBITDA,-1465812,-594592,-850079,-1274634,-190000,-180000,-180000,-180000,-5600000,-8580000,-6621868,-5294168,-9739100,-8186863,-2892316,-3636053,-8711144,-4568409,-10730880,-8659363,-6125905
16,EBITDA ratio,-1.9758,-0.5894,-3.6274,-9.6603,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-47.2991,-25.2103,-18.7290,-37.2130,-10.3297,-20.2003,-28.7877,-2.3816,-12.1945,-5.2497,-6.2745
17,Operating Income,- -,-862046,-989652,-1259480,-48968,-38083,-38049,-413984,-5616010,-8626425,-6443700,-5230581,-7309091,-6279029,-3294063,-3526305,-7028508,-7491199,-6101006,-4376138,-3927534
18,Operating Income ratio,- -,-0.8545,-4.2230,-9.5454,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-46.0264,-24.9075,-14.0559,-28.5410,-11.7645,-19.5906,-23.2271,-3.9053,-6.9331,-2.6530,-4.0228
19,Total Other Income Expenses (Gains),- -,- -,- -,-151521,-71032,-71917,-71951,303984,-13990,6425,-156300,-99419,-1790909,-1200971,-1175937,-1803695,-4151812,1871449,-2417354,122938,-5375206
20,Income Before Tax,- -,- -,- -,- -,-120000,-110000,-110000,-110000,-5630000,-8620000,-6600000,-5330000,-9100000,-7480000,-4470000,-5330000,-11180320,-5619750,-8518360,-4253200,-9302740
21,Income Before Tax Ratio,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-47.1429,-25.3810,-17.5000,-34.0000,-15.9643,-29.6111,-36.9475,-2.9297,-9.6802,-2.5785,-9.5284
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-1465812,-1021145,-1059775,-1515774,-120000,-110000,-110000,-110000,-5630000,-8620000,-6600000,-5330000,-9100000,-7480000,-4470000,-5330000,-11180320,-5619750,-8518360,-4253200,-9302740
24,Net Income ratio,-1.9758,-1.0122,-4.5222,-11.4878,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-47.1429,-25.3810,-17.5000,-34.0000,-15.9643,-29.6111,-36.9475,-2.9297,-9.6802,-2.5785,-9.5284
25,EPS,-14.53,-10.80,-6.60,-3.00,-0.24,-0.22,-0.10,-0.08,-0.80,-0.71,-0.46,-0.26,-0.35,-0.23,-0.11,-0.09,-0.13,-0.06,-0.08,-0.03,-0.05
26,EPS Diluted,-14.53,-10.80,-6.60,-3.00,-0.24,-0.22,-0.10,-0.08,-0.80,-0.71,-0.46,-0.26,-0.35,-0.23,-0.11,-0.09,-0.13,-0.06,-0.08,-0.03,-0.05
27,Weighted Average Shares Outstanding,100881,100881,166435,503959,1068015,1031665,1088727,1404455,7077032,12179418,14420630,20623507,27680108,33586953,40990041,60147906,83438960,98802908,108520687,131144651,187188131
28,Weighted Average Shares Outstanding Diluted,100881,100881,166435,503959,1068015,1031665,1088727,1404455,7077032,12179418,14420630,20623507,27680108,33586953,40990041,60147906,83438960,98802908,108520687,131144651,187188131
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/836809/000119983512000711/0001199835-12-000711-index.htm,https://www.sec.gov/Archives/edgar/data/836809/000119983513000660/0001199835-13-000660-index.htm,https://www.sec.gov/Archives/edgar/data/836809/000119983514000488/0001199835-14-000488-index.html,https://www.sec.gov/Archives/edgar/data/836809/000119983515000451/0001199835-15-000451-index.html,https://www.sec.gov/Archives/edgar/data/836809/000165495416002435/0001654954-16-002435-index.html,https://www.sec.gov/Archives/edgar/data/836809/000165495417008923/0001654954-17-008923-index.html,https://www.sec.gov/Archives/edgar/data/836809/000165495418011177/0001654954-18-011177-index.htm,https://www.sec.gov/Archives/edgar/data/836809/000119983519000021/form-10k.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,276333,1627,18,- -,- -,- -,- -,420000,390000,440000,630000,250000,100000,170000,80000,2185700,394330,250730,390190,366130
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,90000,- -,- -,- -,- -,- -,- -,- -,- -,- -,63600,123600,- -,- -
33,Cash and Short-Term Investments,- -,276333,1627,18,- -,- -,- -,90000,420000,390000,440000,630000,250000,100000,170000,80000,2185700,457930,374330,390190,366130
34,Net Receivables,- -,350493,8614,- -,- -,- -,- -,490000,200000,240000,- -,140000,20000,10000,20000,- -,4500,11390,97100,203720,24230
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,104890,- -,306760
36,Other Current Assets,- -,9227,4224,- -,- -,- -,- -,- -,30000,40000,60000,340000,140000,100000,10000,20000,3319260,1078810,507260,388380,311290
37,Total Current Assets,- -,636053,14465,18,- -,- -,- -,580000,650000,670000,500000,1110000,410000,210000,200000,100000,5509460,1548130,1083580,982290,1008410
38,PP&E,- -,217353,169577,- -,- -,- -,- -,- -,160000,550000,1050000,1280000,1870000,540000,420000,160000,169950,294560,266040,143360,60820
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,950000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,31627,27552,- -,- -,- -,- -,- -,- -,860000,110000,310000,240000,40000,20000,10000,22850,99190,102240,- -,- -
41,Intangible Assets,- -,31627,27552,- -,- -,- -,- -,- -,950000,860000,110000,310000,240000,40000,20000,10000,22850,99190,102240,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,76400,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,10000,- -,30000,243600,170000,180000,160000,160000,120000,1115720,51580,42470,25110,24220
45,Total Non-Current Assets,- -,248980,197129,- -,- -,- -,- -,10000,1110000,1440000,1480000,1760000,2290000,740000,600000,290000,1308520,445330,410750,168470,85040
46,Other Assets,530973,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,530973,885033,211594,18,- -,- -,- -,590000,1760000,2110000,1980000,2870000,2700000,950000,800000,390000,6817980,1993460,1494330,1150760,1093450
48,Accounts Payable,- -,379807,158375,427230,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,344450,225000,459980,1592260,1957550
49,Short-Term Debt,- -,50962,398972,632320,632520,632520,632520,726468,129502,157704,705685,120398,272101,265488,346854,5347432,5162888,5570206,6869515,3793445,5847095
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24182,3500,2500,740200,270623,- -,3921
52,Other Current Liabilities,- -,- -,- -,- -,547480,627480,687480,353532,260498,362296,1484315,909602,1047899,2804512,3668964,1339068,13027402,106884,2354572,3239725,6091254
53,Total Current Liabilities,- -,430769,557347,1059550,1180000,1260000,1320000,1080000,390000,520000,2190000,1030000,1320000,3070000,4040000,6690000,18537240,6642290,9954690,8625430,13899820
54,Long-Term Debt,- -,88343,39821,- -,- -,- -,- -,- -,- -,- -,- -,40000,280000,1330000,1800000,60000,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10000,- -,-10000,-10000,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,88343,39821,- -,- -,- -,- -,- -,- -,- -,- -,40000,270000,1330000,1790000,50000,- -,- -,- -,- -,- -
59,Other Liabilities,1118740,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,1118740,519112,597168,1059550,1180000,1260000,1320000,1080000,390000,520000,2190000,1070000,1590000,4400000,5830000,6740000,18537240,6642290,9954690,8625430,13899820
62,Preferred Stock,- -,- -,- -,- -,909418,524,524,524,524,524,774,549,1636,1220,1220,1220,1140,2709,3109,3109,3109
63,Common Stock,- -,8935,10392,63959,60000,- -,- -,- -,10000,10000,20000,30000,30000,40000,50000,70000,95290,102140,118490,162300,279510
64,Retained Earnings,- -,-21828753,-22888528,-24404302,-24520000,-24630000,-24740000,-24850000,-30480000,-39090000,-15240000,-20570000,-29670000,-37180000,-41650000,-46990000,-58165450,-63785190,-72303550,-76566750,-85859490
65,Other Comprehensive Income/Loss,- -,-308963,-359864,- -,- -,- -,- -,- -,- -,-40000,-160000,-310000,-580000,-1000000,-1200000,-360000,- -,33600,93600,- -,- -
66,Other Total Stockholders Equity,- -,22494702,22852426,23280811,22372242,23365797,23417870,24359780,31843006,40712751,15174633,22653694,31326815,34694990,37764075,40922894,46349765,58997910,63627989,68916671,72770501
67,Total Stockholders Equity,-721555,365921,-385574,-1059532,-1178340,-1264203,-1322130,-490220,1373530,1593275,-204593,1804243,1108451,-3443790,-5034705,-6355886,-11719255,-4648831,-8460362,-7484670,-12806370
68,Total Liabilities And Stockholders Equity,397185,885033,211594,18,1660,-4203,-2130,589780,1763530,2113275,1985407,2874243,2698451,956210,795295,384114,6817985,1993459,1494328,1140760,1093450
