,https://roic.ai/company/IGMS,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -
5,Research and Development Exp.,8639000,18962000,35257000,65030000,127026000
6,General and Administrative Exp.,2508000,3829000,9241000,18250000,38297000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2508000,3829000,9241000,18250000,38297000
9,Other Expenses,- -,- -,- -,- -,- -
10,Operating Expenses,11147000,22791000,44498000,83280000,165323000
11,COGS and Expenses,11147000,22791000,44498000,83280000,- -
12,Interest Income ,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -
14,Depreciation and Amortization,161000,278000,597000,1025000,4484000
15,EBITDA,-10986000,-22513000,-43901000,-82255000,-160839000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-11147000,-22791000,-44498000,-83280000,-165323000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),93000,80000,1365000,1925000,159000
20,Income Before Tax,-11054000,-22711000,-43133000,-81355000,-165164000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -
23,Net Income,-11054000,-22711000,-43133000,-81355000,-165164000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-1.49,-3.07,-4.80,-2.65,-5.37
26,EPS Diluted,-1.49,-3.07,-4.80,-2.65,-5.37
27,Weighted Average Shares Outstanding,7395000,7395000,8995410,30748280,30748280
28,Weighted Average Shares Outstanding Diluted,7395000,7395000,8995410,30748280,30748280
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1496323/000156459020013183/0001564590-20-013183-index.htm,https://www.sec.gov/Archives/edgar/data/1496323/000156459021016675/0001564590-21-016675-index.htm,https://www.sec.gov/Archives/edgar/data/1496323/000095017022004842/0000950170-22-004842-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,432000,1887000,35891000,241080000,133334000
32,Short-Term Investments,- -,- -,188743000,125189000,96208000
33,Cash and Short-Term Investments,432000,1887000,224634000,366269000,229542000
34,Net Receivables,- -,35000,35000,- -,- -
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,223000,485000,6431000,7003000,11205000
37,Total Current Assets,655000,2407000,231100000,373272000,240747000
38,PP&E,677000,1472000,18019000,34812000,56344000
39,Goodwill,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -
42,Investments,- -,- -,11973000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,58000,100000,258000,548000,1036000
45,Total Non-Current Assets,735000,1572000,30250000,35360000,57380000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,1390000,3979000,261350000,408632000,298127000
48,Accounts Payable,225000,164000,3087000,7924000,5584000
49,Short-Term Debt,- -,5027000,2483000,2667000,3320000
50,Tax Payable,128000,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -
52,Other Current Liabilities,751000,3699000,3305000,6649000,18876000
53,Total Current Liabilities,976000,8890000,8875000,17240000,27780000
54,Long-Term Debt,- -,- -,- -,9577000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,40917000,60917000,12244000,- -,25439000
58,Total Non-Current Liabilities,40917000,60917000,12244000,9577000,25439000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,14727000,12244000,- -
61,Total Liabilities,41893000,69807000,21119000,26817000,53219000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,4000,4000,304000,319000,325000
64,Retained Earnings,-41361000,-64072000,-107205000,-188560000,-353724000
65,Other Comprehensive Income/Loss,-389000,-667000,43000,26000,-66000
66,Other Total Stockholders Equity,1243000,-1093000,347089000,570030000,598373000
67,Total Stockholders Equity,-40503000,-65828000,240231000,381815000,244908000
68,Total Liabilities And Stockholders Equity,1390000,3979000,261350000,408632000,298127000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1390000,3979000,261350000,408632000,298127000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1496323/000156459020013183/0001564590-20-013183-index.htm,https://www.sec.gov/Archives/edgar/data/1496323/000156459021016675/0001564590-21-016675-index.htm,https://www.sec.gov/Archives/edgar/data/1496323/000095017022004842/0000950170-22-004842-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-11054000,-22711000,-43133000,-81355000,-165164000
74,Depreciation and Amortization,161000,278000,597000,1025000,4484000
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,93000,183000,1014000,8454000,25873000
77,Change in Working Capital,443000,-6162000,228708000,133807000,-143065000
78,Accounts Receivable,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,128000,-61000,1961000,2198000,652000
81,Other Working Capital,-321000,-6483000,222225000,356032000,212967000
82,Other Non-Cash Items,- -,8368000,-232302000,-129234000,153533000
83,Cash Provided by Operating Activities,-10357000,-20044000,-45116000,-67303000,-124339000
84,CAPEX,-385000,-788000,-2337000,-17502000,-13244000
85,Acquisitions Net,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-208901000,-208564000,-129348000
87,Sales/Maturities of Investments,- -,- -,8000000,283777000,157410000
88,Other Investing Activites,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-385000,-788000,-203238000,57711000,14818000
90,Debt Repayment,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,187173000,216186000,4031000
92,Common Stock Repurchased,- -,- -,-324000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,8068000,22337000,95409000,-1405000,-1555000
95,Cash Used/Provided by Financing Activities,8068000,22337000,282258000,214781000,2476000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,-2674000,1505000,33904000,205189000,-107045000
98,Cash at the End of Period,482000,1987000,35891000,241080000,134035000
99,Cash at the Beginning of Period,3156000,482000,1987000,35891000,241080000
100,Free Cash Flow,-10742000,-20832000,-47453000,-84805000,-137583000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1496323/000156459020013183/0001564590-20-013183-index.htm,https://www.sec.gov/Archives/edgar/data/1496323/000156459021016675/0001564590-21-016675-index.htm,https://www.sec.gov/Archives/edgar/data/1496323/000095017022004842/0000950170-22-004842-index.htm
102,false,,,,,
