,https://roic.ai/company/BL,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,51677000,83607000,123123000,177031000,227788000,288976000,351737000,425706000
2,COGS,16598000,22729000,30211000,41486000,50874000,58975000,68972000,97871000
3,Gross Profit,35079000,60878000,92912000,135545000,176914000,230001000,282765000,327835000
4,Gross Profit Ratio,0.6788,0.7281,0.7546,0.7657,0.7767,0.7959,0.8039,0.7701
5,Research and Development Exp.,9705000,18216000,21125000,23874000,30754000,43006000,56464000,77322000
6,General and Administrative Exp.,11716000,20928000,27911000,36956000,47188000,56057000,71611000,86507000
7,Selling and Marketing Exp.,31837000,56546000,77810000,109775000,128808000,158837000,174581000,202620000
8,"Selling, General and Administrative Exp.",43553000,77474000,105721000,146731000,175996000,214894000,246192000,289127000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,53258000,95690000,126846000,170605000,206750000,257900000,302656000,366449000
11,COGS and Expenses,69856000,118419000,157057000,212091000,257624000,316875000,371628000,464320000
12,Interest Income ,- -,- -,- -,1069000,2136000,6128000,4502000,700000
13,Interest Expense (Gain),- -,- -,- -,13000,4000,8650000,23311000,62945000
14,Depreciation and Amortization,13455000,14739000,17424000,19971000,22336000,21274000,20892000,27128000
15,EBITDA,-11471000,-23708000,-28322000,-17510000,-5302000,-886000,-2006000,-24953000
16,EBITDA ratio,-0.2220,-0.2836,-0.2300,-0.0989,-0.0233,-0.0031,-0.0057,-0.0586
17,Operating Income,-18179000,-34812000,-33934000,-35060000,-29836000,-27899000,-19891000,-38614000
18,Operating Income ratio,-0.3518,-0.4164,-0.2756,-0.1980,-0.1310,-0.0965,-0.0566,-0.0907
19,Total Other Income Expenses (Gains),-6747000,-3635000,-11812000,-2434000,2132000,-2522000,-18809000,-62245000
20,Income Before Tax,-24926000,-38447000,-45746000,-37494000,-27704000,-30421000,-38700000,-100859000
21,Income Before Tax Ratio,-0.4823,-0.4599,-0.3715,-0.2118,-0.1216,-0.1053,-0.1100,-0.2369
22,Income Tax expense (Gain),-8174000,-13713000,-6587000,567000,162000,1725000,702000,135000
23,Net Income,-16752000,-24734000,-39159000,-38061000,-27804000,-32535000,-46911000,-115161000
24,Net Income ratio,-0.3242,-0.2958,-0.3180,-0.2150,-0.1221,-0.1126,-0.1334,-0.2705
25,EPS,-0.34,-0.50,-0.92,-0.73,-0.52,-0.59,-0.83,-2.03
26,EPS Diluted,-0.34,-0.50,-0.92,-0.73,-0.52,-0.59,-0.83,-2.03
27,Weighted Average Shares Outstanding,49331079,49331079,42497450,52161000,53912000,55320000,56832000,56832000
28,Weighted Average Shares Outstanding Diluted,49331079,49331079,42497450,52161000,53912000,55320000,56832000,56832000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1666134/000156459017004011/0001564590-17-004011-index.htm,https://www.sec.gov/Archives/edgar/data/1666134/000156459018004923/0001564590-18-004923-index.htm,https://www.sec.gov/Archives/edgar/data/1666134/000156459019005462/0001564590-19-005462-index.htm,https://www.sec.gov/Archives/edgar/data/1666134/000156459020007371/0001564590-20-007371-index.htm,https://www.sec.gov/Archives/edgar/data/1666134/000166613421000004/0001666134-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1666134/000166613422000003/0001666134-22-000003-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,25707000,15205000,22118000,31104000,46181000,120232000,367413000,539739000
32,Short-Term Investments,- -,- -,83130000,81476000,86396000,487515000,175206000,658964000
33,Cash and Short-Term Investments,25707000,15205000,105248000,112580000,132577000,607747000,542619000,1198703000
34,Net Receivables,18040000,24235000,42294000,61589000,74902000,102829000,111270000,125130000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,4197000,9047000,16281000,19785000,14042000,12830000,20226000,23855000
37,Total Current Assets,47944000,48487000,163823000,193954000,221521000,723406000,674115000,1347688000
38,PP&E,3279000,12419000,11318000,12769000,13536000,25573000,21947000,32585000
39,Goodwill,163154000,163154000,185138000,185138000,185138000,185138000,289710000,289710000
40,Intangible Assets,70496000,59795000,58709000,47632000,36808000,28789000,64736000,59742000
41,Intangible Assets,233650000,222949000,243847000,232770000,221946000,213927000,354446000,349452000
42,Investments,- -,- -,- -,- -,- -,- -,175206000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,677000,2895000,1449000,1391000,36865000,51646000,-112209000,87853000
45,Total Non-Current Assets,237606000,238263000,256614000,246930000,272347000,291146000,439390000,469890000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,285550000,286750000,420437000,440884000,493868000,1014552000,1113505000,1817578000
48,Accounts Payable,3171000,4648000,7165000,7254000,3442000,7401000,3150000,7471000
49,Short-Term Debt,- -,558000,992000,442000,- -,4938000,4147000,5309000
50,Tax Payable,588000,1047000,1553000,1798000,4547000,4198000,5496000,- -
51,Deferred Revenue,34574000,52750000,80360000,106903000,129074000,162552000,191137000,242429000
52,Other Current Liabilities,9370000,16462000,19947000,22440000,26713000,32106000,43896000,67368000
53,Total Current Liabilities,47115000,74418000,108464000,137039000,159229000,206997000,242330000,322577000
54,Long-Term Debt,25673000,28267000,- -,- -,- -,384343000,407032000,1128311000
55,Deferred Revenue,- -,- -,2373000,912000,277000,163000,75000,362000
56,Deferred Tax Liabilities,19848000,5907000,1262000,1328000,1116000,4571000,6566000,8175000
57,Other Non-Current Liabilities,8967000,11990000,16928000,6977000,11677000,19865000,35432000,33117000
58,Total Non-Current Liabilities,54488000,46164000,20563000,9217000,13070000,408942000,449105000,1169965000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,1116000,992000,442000,- -,15544000,11503000,19381000
61,Total Liabilities,101603000,120582000,129027000,146256000,172299000,615939000,691435000,1492542000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,405000,407000,513000,530000,547000,559000,577000,590000
64,Retained Earnings,-23422000,-48156000,-87334000,-125467000,-130594000,-163598000,-201651000,-301735000
65,Other Comprehensive Income/Loss,-1273000,-3051000,-41000,-63000,45000,377000,376000,298000
66,Other Total Stockholders Equity,208237000,216968000,378272000,419628000,451571000,561275000,622768000,- -
67,Total Stockholders Equity,183947000,166168000,291410000,294628000,321569000,398613000,422070000,325036000
68,Total Liabilities And Stockholders Equity,285550000,286750000,420437000,440884000,493868000,1014552000,1113505000,1817578000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,285550000,286750000,420437000,440884000,493868000,1014552000,1113505000,1817578000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1666134/000156459017004011/0001564590-17-004011-index.htm,https://www.sec.gov/Archives/edgar/data/1666134/000156459018004923/0001564590-18-004923-index.htm,https://www.sec.gov/Archives/edgar/data/1666134/000156459019005462/0001564590-19-005462-index.htm,https://www.sec.gov/Archives/edgar/data/1666134/000156459020007371/0001564590-20-007371-index.htm,https://www.sec.gov/Archives/edgar/data/1666134/000166613421000004/0001666134-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1666134/000166613422000003/0001666134-22-000003-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,-16752000,-24734000,-39159000,-38061000,-27804000,-32535000,-46911000,-115161000
74,Depreciation and Amortization,13455000,14739000,17424000,19971000,22336000,21274000,20892000,27128000
75,Deferred Income Tax,-8283000,-13941000,-7432000,66000,-923000,1314000,-381000,-817000
76,Stock Based Compensation,2017000,5497000,6526000,16044000,20895000,34052000,49690000,65870000
77,Change in Working Capital,13046000,-26760000,81290000,1556000,5377000,454117000,-84624000,24583000
78,Accounts Receivable,-6821000,-6195000,-15541000,-19860000,-13207000,-27962000,-5733000,-14255000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,810000,1073000,3544000,-25000,-4008000,3244000,-4359000,3997000
81,Other Working Capital,829000,-25931000,55359000,56915000,62292000,516409000,431785000,51579000
82,Other Non-Cash Items,5460000,46205000,-63457000,6848000,-3741000,-448498000,116069000,78490000
83,Cash Provided by Operating Activities,8943000,1006000,-4808000,6424000,16140000,29724000,54735000,80093000
84,CAPEX,-2866000,-12367000,-4994000,-8626000,-11959000,-9692000,-19424000,-23265000
85,Acquisitions Net,- -,- -,-31488000,- -,- -,- -,-119337000,- -
86,Purchases of Investments,- -,- -,-83192000,-76610000,-122530000,-565675000,-266369000,-1180885000
87,Sales/Maturities of Investments,- -,- -,- -,78205000,118512000,166917000,578724000,697209000
88,Other Investing Activites,-1437000,-2273000,-3270000,-4624000,-5675000,-5060000,-12911000,-14536000
89,Cash Used for Investing Activites,-2866000,-12367000,-119674000,-7031000,-15977000,-408450000,173594000,-506941000
