,https://roic.ai/company/RMSL,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,33075,23835,728056,110910,1403783,1468285,389989,85459,196176,651465,294381,2341984,211819000000,212377000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",37797,33075,23835,728056,110910,1403783,1468285,389989,85459,196176,651465,294381,2341984,469844,212377000000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,914,917,- -,- -,- -,469843530156,213311000000
10,Operating Expenses,37797,33075,23835,728056,110910,1403783,1468285,389989,86373,197093,651465,294381,2341984,469844000000,425688000000
11,COGS and Expenses,37797,33075,23835,728056,110910,1403783,1468285,389989,86373,197093,651465,294381,2341984,469844000000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,58236,64787,- -,- -,2500,47316,396704,611535,918579000000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,914,917,4359,12576,17496,49153,57561000000
15,EBITDA,-37797,-33075,-23835,111971944,18789090,14696217,-1468285,-380989,-85459,-196176,-647106,-281805,-2324488,-469843950847,-368127000000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,Infinity,Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-37797,-33075,-23835,-728056,-110910,-1403783,-1478185,-619489,-86373,-197093,-651465,-294381,-2341984,-469844,-425688000000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,- -,- -,-112700000,-18900000,-16100000,-1282518,167994,- -,- -,-2500,-118321,-1546484,-1175451530156,-3399985000000
20,Income Before Tax,- -,- -,- -,-113428056,-19010910,-17503783,-2760703,-451495,-86373,-197093,-653965,-412702,-3888468,-1175452000000,-3825673000000
21,Income Before Tax Ratio,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-37797,-33075,-23835,-113428056,-19010910,-17503783,-2760703,-451495,-86373,-197093,-653965,-412702,-3888468,-1175452000000,-3825673000000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-34.30,-525.00,-361.14,-54400.00,-4400.00,-2000.00,-400.00,-36.00,-0.03,-0.06,-0.19,-0.10,-0.09,-0.01,-17738.42
26,EPS Diluted,-34.30,-525.00,-361.14,-54400.00,-4400.00,-2000.00,-400.00,-36.00,-0.03,-0.06,-0.19,-0.10,-0.09,-0.01,-17738.42
27,Weighted Average Shares Outstanding,1102,63,66,2078,4414,8004,8598,12100,3044055,3258501,3391703,4065317,45416843,215671601,215671601
28,Weighted Average Shares Outstanding Diluted,1102,63,66,2078,4414,8004,8598,12100,3044055,3258501,3391703,4065317,45416843,215671601,215671601
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1412126/000139390513000317/0001393905-13-000317-index.htm,https://www.sec.gov/Archives/edgar/data/1412126/000139390515000052/0001393905-15-000052-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1412126/000107878217000211/0001078782-17-000211-index.htm,https://www.sec.gov/Archives/edgar/data/1412126/000107878217000211/0001078782-17-000211-index.html,https://www.sec.gov/Archives/edgar/data/1412126/000107878218000655/0001078782-18-000655-index.htm,https://www.sec.gov/Archives/edgar/data/1412126/000121390019005145/0001213900-19-005145-index.html,https://www.sec.gov/Archives/edgar/data/1412126/000121390020008922/0001213900-20-008922-index.htm,https://www.sec.gov/Archives/edgar/data/1412126/000121390021021436/0001213900-21-021436-index.htm,https://www.sec.gov/Archives/edgar/data/1412126/000121390022015886/0001213900-22-015886-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,353,978,28,- -,6309,478,- -,- -,108,- -,2014,16640,119574,114227,3383568
32,Short-Term Investments,- -,- -,- -,- -,6050,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,353,978,28,- -,12359,478,- -,- -,108,- -,2014,16640,119574,114227,3383568
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8000,11064,- -
36,Other Current Assets,- -,7500,- -,10750,- -,- -,- -,- -,5000,-1,173282,2000,7909,- -,- -
37,Total Current Assets,353,8478,28,10750,12359,478,- -,- -,5108,-1,175296,18640,135483,125291,3383568
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,13762,12846,8486,38436,107814,95371,105061
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000,- -,10000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,13762,12846,8486,38436,117814,95371,115061
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,353,8478,28,10750,12359,478,- -,- -,18870,12845,183782,57076,253297,220662,3498629
48,Accounts Payable,50,450,1540,- -,- -,140901,211354,226398,226398,226398,239878,240399,258198,20235,15505
49,Short-Term Debt,- -,3950,18245,- -,- -,- -,560048,890000,- -,- -,50000,282144,312743,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,3100,- -,- -,71,- -,574000,2694284,2311616,87219,85287,391450,114618,692183,- -,- -
53,Total Current Liabilities,3150,4400,19785,71,- -,714901,3465686,3428014,313617,311685,681328,637161,1263124,20235,15505
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,1,- -,- -,- -,- -,- -,- -,- -,- -,864502
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,1,- -,- -,- -,- -,- -,- -,- -,- -,864502
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1080923,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,3150,4400,19785,71,- -,714902,3465686,3428014,313617,311685,681328,637161,1263124,1101158,880007
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,105000,105000,105000,125000,126500,- -
63,Common Stock,2220,2645,2645,163645,298645,341715,344881,266,61012,65462,3611,4316,116268,368061,1139298
64,Retained Earnings,-37797,-70872,-94707,-113465006,-132475916,-149979699,-152740402,-153191897,-178421,-375514,-1089320,-1502022,-5390490,- -,-10391615
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,-1143,-2059,-6418,-18994,-36490,- -,- -
66,Other Total Stockholders Equity,32780,72305,72305,113312040,132189630,148923560,148929835,149763617,-176195,-91729,489581,831615,4175885,-1365057,11870939
67,Total Stockholders Equity,-2797,4078,-19757,10679,12359,-714424,-3465686,-3428014,-294747,-298840,-497546,-580085,-1009827,-870496,2618622
68,Total Liabilities And Stockholders Equity,353,8478,28,10750,- -,478,- -,- -,18870,12845,183782,57076,253297,230662,3498629
69,Minority Interest,- -,- -,- -,- -,12359,- -,- -,- -,- -,- -,- -,- -,- -,-10000,- -
70,Total Liabilities & Equity,353,8478,28,10750,12359,478,- -,- -,18870,12845,183782,57076,253297,220662,3498629
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1412126/000139390513000317/0001393905-13-000317-index.htm,https://www.sec.gov/Archives/edgar/data/1412126/000139390515000052/0001393905-15-000052-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1412126/000107878217000211/0001078782-17-000211-index.htm,https://www.sec.gov/Archives/edgar/data/1412126/000107878217000211/0001078782-17-000211-index.html,https://www.sec.gov/Archives/edgar/data/1412126/000107878218000655/0001078782-18-000655-index.htm,https://www.sec.gov/Archives/edgar/data/1412126/000121390019005145/0001213900-19-005145-index.html,https://www.sec.gov/Archives/edgar/data/1412126/000121390020008922/0001213900-20-008922-index.htm,https://www.sec.gov/Archives/edgar/data/1412126/000121390021021436/0001213900-21-021436-index.htm,https://www.sec.gov/Archives/edgar/data/1412126/000121390022015886/0001213900-22-015886-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-37797,-33075,-23835,-113428056,-19010910,-17503783,-2760703,-451495,-86373,-197093,-653965,-412702,-3888468,-1175452000000,-3825673000000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,914,917,4359,12576,17496,49153,57561000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,450000,- -,- -,- -,58000,- -,175282,2074320,127500,- -
77,Change in Working Capital,50,6875,-23835,30436,1680,-726782,-2751263,37672,3119505,-3177,-194346,-112489,-509120,1232697,3263007
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3064,11064000000
80,Accounts Payable,- -,400,1090,- -,- -,140902,70453,15044,- -,- -,13480,520,17799,-11654,-4730000000
81,Other Working Capital,-2797,4078,-19757,10679,12359,-714423,-3465686,-3428014,-308509,-311686,-506032,-618521,-1127641,105056,3368063
82,Other Non-Cash Items,29500,-11475,32425,112661530,18902949,17729734,4632181,406830,-3119505,8177,749062,225772,2069736,1175450255357,3418113736993
83,Cash Provided by Operating Activities,-8247,-37675,-15245,-736090,-106281,-50831,-879785,-6993,-85459,-133176,-94890,-111561,-236036,-335293,-349995000000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,-10332,- -,- -,-42526,-86874,-36710,-67252000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10000,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,-10332,- -,- -,-42526,-96874,-36710,-67252000000
90,Debt Repayment,- -,-5000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7250,-3156,- -,- -
91,Common Stock Issued,5500,37450,- -,- -,- -,10000,- -,- -,- -,30000,- -,90000,- -,75000,3103500000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,3100,5850,14295,736090,112590,35000,879767,3825,87259,103068,96904,85963,439000,291656,583088000000
95,Cash Used/Provided by Financing Activities,8600,38300,14295,736090,112590,45000,879767,3825,87259,133068,96904,168713,435844,366656,3686588000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,459,-3168,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,625,-950,- -,- -,-5831,-919,6336,-8532,- -,- -,14626,102934,-5347,3383567885773
98,Cash at the End of Period,353,978,28,- -,6309,478,- -,- -,108,- -,2014,16640,119574,114227,3383568000000
99,Cash at the Beginning of Period,- -,353,978,- -,- -,6309,478,- -,8640,108,- -,2014,16640,119574,114227
100,Free Cash Flow,-8247,-37675,-15245,-736090,-106281,-50831,-879785,-6993,-95791,-133176,-94890,-154087,-322910,-372003,-417247000000
