,https://roic.ai/company/TGAN,2019,2020
0,INCOME STATEMENT, , 
1,Revenue,11934000,11371000
2,COGS,6492000,6682000
3,Gross Profit,5442000,4689000
4,Gross Profit Ratio,0.4560,0.4124
5,Research and Development Exp.,8146000,5584000
6,General and Administrative Exp.,6606000,10328000
7,Selling and Marketing Exp.,2609000,2174000
8,"Selling, General and Administrative Exp.",9215000,12502000
9,Other Expenses,- -,- -
10,Operating Expenses,17361000,18086000
11,COGS and Expenses,23853000,24768000
12,Interest Income ,- -,- -
13,Interest Expense (Gain),758000,760000
14,Depreciation and Amortization,1216000,835000
15,EBITDA,-13309000,-16314000
16,EBITDA ratio,-1.1152,-1.4347
17,Operating Income,-11919000,-13397000
18,Operating Income ratio,-0.9987,-1.1782
19,Total Other Income Expenses (Gains),-3364000,-4512000
20,Income Before Tax,-15283000,-17909000
21,Income Before Tax Ratio,-1.2806,-1.5750
22,Income Tax expense (Gain),- -,- -
23,Net Income,-15283000,-17909000
24,Net Income ratio,-1.2806,-1.5750
25,EPS,-0.43,-0.51
26,EPS Diluted,-0.43,-0.51
27,Weighted Average Shares Outstanding,35135602,35135602
28,Weighted Average Shares Outstanding Diluted,35135602,35135602
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1715768/000171576821000041/0001715768-21-000041-index.htm
30,BALANCE SHEET, , 
31,Cash and Cash Equivalents,2875000,14694000
32,Short-Term Investments,- -,- -
33,Cash and Short-Term Investments,2875000,14694000
34,Net Receivables,709000,844000
35,Inventory,990000,1627000
36,Other Current Assets,783000,1061000
37,Total Current Assets,5357000,18226000
38,PP&E,1770000,1324000
39,Goodwill,1325000,1397000
40,Intangible Assets,1313000,988000
41,Intangible Assets,2638000,2385000
42,Investments,- -,- -
43,Tax Assets,- -,- -
44,Other Non-Current Assets,497000,291000
45,Total Non-Current Assets,4905000,4000000
46,Other Assets,- -,- -
47,Total Assets,10262000,22226000
48,Accounts Payable,2383000,3182000
49,Short-Term Debt,15458000,20153000
50,Tax Payable,- -,- -
51,Deferred Revenue,- -,674000
52,Other Current Liabilities,2847000,2681000
53,Total Current Liabilities,20688000,26690000
54,Long-Term Debt,26169000,15392000
55,Deferred Revenue,- -,- -
56,Deferred Tax Liabilities,- -,- -
57,Other Non-Current Liabilities,85658000,- -
58,Total Non-Current Liabilities,111827000,15392000
59,Other Liabilities,- -,- -
60,Capital Lease Obligations,- -,- -
61,Total Liabilities,132515000,42082000
62,Preferred Stock,- -,- -
63,Common Stock,- -,4000
64,Retained Earnings,-143915000,-161824000
65,Other Comprehensive Income/Loss,-742000,-772000
66,Other Total Stockholders Equity,- -,142736000
67,Total Stockholders Equity,-122253000,-19856000
68,Total Liabilities And Stockholders Equity,10262000,22226000
69,Minority Interest,- -,- -
70,Total Liabilities & Equity,10262000,22226000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1715768/000171576821000041/0001715768-21-000041-index.htm
72,CASH FLOW STATEMENT, , 
73,Net Income,-15283000,-17909000
74,Depreciation and Amortization,1216000,835000
75,Deferred Income Tax,- -,- -
76,Stock Based Compensation,566000,1525000
77,Change in Working Capital,-3422000,-780000
78,Accounts Receivable,-429000,-245000
79,Inventory,-293000,-1072000
80,Accounts Payable,509000,-116000
81,Other Working Capital,-3000000,674000
82,Other Non-Cash Items,4633000,2214000
83,Cash Provided by Operating Activities,-12290000,-14115000
84,CAPEX,-203000,-58000
85,Acquisitions Net,-2698000,-7348000
86,Purchases of Investments,- -,- -
87,Sales/Maturities of Investments,- -,- -
88,Other Investing Activites,- -,- -
89,Cash Used for Investing Activites,-2901000,-7406000
90,Debt Repayment,- -,-50000
91,Common Stock Issued,- -,33387000
92,Common Stock Repurchased,- -,-211000
93,Dividends Paid,- -,- -
94,Other Financing Activites,15000000,32000
95,Cash Used/Provided by Financing Activities,15000000,33158000
96,Effect of Forex Changes on Cash,-3000,182000
97,Net Change In Cash,-194000,11819000
98,Cash at the End of Period,2875000,14694000
99,Cash at the Beginning of Period,3069000,2875000
100,Free Cash Flow,-12493000,-14173000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1715768/000171576821000041/0001715768-21-000041-index.htm
102,false,,
